Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date,StandardDateISO,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
ALIVE,1981-1376,K:LCD-1981-1376*1,Gasteria rawlinsonii,Gasteria rawlinsonii,Gasteria,Asphodelaceae,,N - Natural Source and Progeny,South Africa,13-07-2023,TropicalNursery_Simplified.xlsx,1981,1981-01-01,BestMatch,9.41215,Exact,0,Gasteria rawlinsonii,Gasteria rawlinsonii Oberm.,Gasteria rawlinsonii,3FCBX,Gasteria rawlinsonii Oberm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asphodelaceae|Gasteria|Gasteria rawlinsonii,
ALIVE,1977-2174,K:LCD-1977-2174*1,Sedum pachyphyllum,Sedum pachyphyllum,Sedum,Crassulaceae,,N - Natural Source and Progeny,Mexico,14-01-2025,TropicalNursery_Simplified.xlsx,1977,1977-01-01,BestMatch,9.41215,Exact,0,Sedum pachyphyllum,Sedum pachyphyllum Rose,Sedum pachyphyllum,4W9PK,Sedum pachyphyllum Rose,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Sedum|Sedum pachyphyllum,
ALIVE,2002-1252,K:LCD-2002-1252*3,Masdevallia nidifica,Masdevallia nidifica,Masdevallia,Orchidaceae,,,,14-07-2022,TropicalNursery_Simplified.xlsx,2002,2002-01-01,BestMatch,9.41215,Exact,0,Masdevallia nidifica,Masdevallia nidifica Rchb.f.,Masdevallia nidifica,3YB59,Masdevallia nidifica Rchb.f.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Masdevallia|Masdevallia nidifica,
ALIVE,1995-499,K:LCD-1995-499*1,Streptocarpus ionanthus,Saintpaulia ionantha,Saintpaulia,Gesneriaceae,,N - Natural Source and Progeny,Tanzania,05-01-2023,TropicalNursery_Simplified.xlsx,1995,1995-01-01,BestMatch,9.41180,Exact,0,Saintpaulia ionantha,Saintpaulia ionantha H. Wendl.,Saintpaulia ionantha,78ZR8,Streptocarpus ionanthus subsp. ionanthus,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Gesneriaceae|Didymocarpoideae|Streptocarpus|Streptocarpus ionanthus|Streptocarpus ionanthus ionanthus,
ALIVE,2006-1113,K:LCD-2006-1113*1,Aloe greenii,Aloe greenii,Aloe,Asphodelaceae,,N - Natural Source and Progeny,South Africa,05-01-2022,TropicalNursery_Simplified.xlsx,2006,2006-01-01,BestMatch,9.41206,Exact,0,Aloe greenii,Aloe greenii C.Green ex Rob.,Aloe greenii,8W5YF,Aloe greenii C.Green ex Rob.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asphodelaceae|Aloe|Aloe greenii,
ALIVE,2002-2137,K:LCD-2002-2137*3,Masdevallia tovarensis,Masdevallia tovarensis,Masdevallia,Orchidaceae,,,,20-11-2023,TropicalNursery_Simplified.xlsx,2002,2002-01-01,BestMatch,9.41215,Exact,0,Masdevallia tovarensis,Masdevallia tovarensis Rchb.f.,Masdevallia tovarensis,3YBBK,Masdevallia tovarensis Rchb.f.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Masdevallia|Masdevallia tovarensis,
ALIVE,2007-2178,K:LCD-2007-2178*1,Aloe zebrina,Aloe zebrina,Aloe,Asphodelaceae,,N - Natural Source and Progeny,South Africa,06-01-2022,TropicalNursery_Simplified.xlsx,2007,2007-01-01,BestMatch,9.41215,Exact,0,Aloe zebrina,Aloe zebrina Baker,Aloe zebrina,C482,Aloe zebrina Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asphodelaceae|Aloe|Aloe zebrina,
ALIVE,2000-4337,K:LCD-2000-4337*1,Tillandsia rectangula,Tillandsia rectangula,Tillandsia,Bromeliaceae,,,,17-12-2010,TropicalNursery_Simplified.xlsx,2000,2000-01-01,BestMatch,9.41215,Exact,0,Tillandsia rectangula,Tillandsia rectangula Baker,Tillandsia rectangula,56Y42,Tillandsia rectangula Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Tillandsia|Tillandsia rectangula,
ALIVE,2007-1662,K:LCD-2007-1662*1,Breonia perrieri,Breonia perrieri,Breonia,Rubiaceae,,N - Natural Source and Progeny,Madagascar,12-01-2023,TropicalNursery_Simplified.xlsx,2007,2007-01-01,BestMatch,9.41215,Exact,0,Breonia perrieri,Breonia perrieri Homolle,Breonia perrieri,N9BT,Breonia perrieri Homolle,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Breonia|Breonia perrieri,
ALIVE,1941-16709,K:LCD-1941-16709*1,Laelia anceps,Laelia anceps,Laelia,Orchidaceae,,,,22-08-2024,TropicalNursery_Simplified.xlsx,1941,1941-01-01,BestMatch,9.41215,Exact,0,Laelia anceps,Laelia anceps Lindl.,Laelia anceps,3RTYC,Laelia anceps Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Laelia|Laelia anceps,
ALIVE,2014-813,K:LCD-2014-813*1,Digitalis canariensis,Digitalis canariensis,Digitalis,Plantaginaceae,,,Spain,19-12-2024,TropicalNursery_Simplified.xlsx,2014,2014-01-01,BestMatch,9.41215,Exact,0,Digitalis canariensis,Digitalis canariensis L.,Digitalis canariensis,3637X,Digitalis canariensis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Digitalis|Digitalis canariensis,
ALIVE,1983-1216,K:LCD-1983-1216*1,Cymbidium crassifolium,Cymbidium crassifolium,Cymbidium,Orchidaceae,,N - Natural Source and Progeny,Thailand,30-10-2024,TropicalNursery_Simplified.xlsx,1983,1983-01-01,BestMatch,9.41215,Exact,0,Cymbidium crassifolium,Cymbidium crassifolium Herb.,Cymbidium crassifolium,336FM,Cymbidium crassifolium Herb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Cymbidium|Cymbidium crassifolium,
ALIVE,1997-5260,K:LCD-1997-5260*2,Myoporum laetum,Myoporum laetum,Myoporum,Scrophulariaceae,,N - Natural Source and Progeny,New Zealand,05-12-2024,TropicalNursery_Simplified.xlsx,1997,1997-01-01,BestMatch,9.41215,Exact,0,Myoporum laetum,Myoporum laetum G. Forst.,Myoporum laetum,6S3PZ,Myoporum laetum G. Forst.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Myoporum|Myoporum laetum,
ALIVE,2003-1513,K:LCD-2003-1513*3,Kewa bowkeriana,Kewa bowkeriana,Kewa,Kewaceae,,,,29-12-2024,TropicalNursery_Simplified.xlsx,2003,2003-01-01,BestMatch,9.41215,Exact,0,Kewa bowkeriana,Kewa bowkeriana (Sond.) Christenh.,Kewa bowkeriana,3R6TG,Kewa bowkeriana (Sond.) Christenh.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Kewaceae|Kewa|Kewa bowkeriana,
