Id;Code interne;UID;Numero de specimen cultive;Status de determination;Determination acceptee;Famille;Familie Citation d'auteurs;Familie Hybride;Genre;Genre Citation d'auteurs;Genre Hybride;Espece;Espece Citation d'auteurs;Espece Hybride;Sous-espece;Sous-espece Citation d'auteurs;Sous-espece Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Obtenteur;Date d'obtention;Pays d'obtention;Nom commercial;Nom s  commun s ;Type biologique;Habitat;Code ipen;Objectif de culture;Site;Aire;Groupe;Sous-groupe;Type d'emplacement;Secteur;Jardinier ere ;Etat de l'etiquette;Vivant;Date de mort;Cause de mort;Nom d'acquisition;Geolocalisation;Type de provenance;Type d'acquisition;Sexe;Aire de distribution;Type de culture;Acronyme   Code  interne  du correspondant;Correspondant;Remarque;Remarque sur l'acquisition;Remarque sur la nomenclature;Main courante;Feuillage Particularites;Floraison Particularites;General Particularites;Morphologie;Complements
55062;;f81693e7-33c1-48bb-b7c1-5e13c6dec6ec;19500440I0;Non determine;Silybum marianum L.;Compositae;Giseke;;Silybum;Adans.;;marianum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500440;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Cultive;Groupe;Jardin;;Inconnue;VRAI;;;Silybum marianum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55063;;d8c66606-3229-4290-82a0-0911875c07bc;20190242H0;Non determine;Satureja montana L.;Lamiaceae;Martinov;;Satureja;L.;;montana;L.;;;;;;;;;;;;;;;XX-0-NEU-20190242;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Cultive;Groupe;Jardin;;Inconnue;VRAI;;;Satureja montana L.;;Horticole;J;;;;SAT;Sativa;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55064;ACCID: 17-42;a45731b2-8afb-4659-a270-f9c4a2e9f36f;20170087H0;Non determine;Sium sisarum L.;Apiaceae;Lindl.;;Sium;L.;;sisarum;L.;;;;;;;;;;;;;;;XX-0-NEU-20170087;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Cultive;Groupe;Jardin;;Inconnue;VRAI;;;Sium sisarum L.;;Horticole;J;;;;Biosem;Biosem;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55065;;59019c09-fcef-4104-af62-b2d637df5a5a;20190243H0;Non determine;Coriandrum sativum L.;Apiaceae;Lindl.;;Coriandrum;L.;;sativum;L.;;;;;;;;;;;;;;;XX-0-NEU-20190243;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Cultive;Groupe;Jardin;;Inconnue;VRAI;;;Coriandrum sativum L.;;Horticole;J;;;;SAT;Sativa;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55066;;705edec9-4eb4-4b43-ac14-b5874d43e3e1;20210437H0;Non determine;Nepeta cataria L.;Lamiaceae;Martinov;;Nepeta;L.;;cataria;L.;;;;;;;;;;;;;;;XX-0-NEU-20210437;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Friche;Groupe;Jardin;;Inconnue;VRAI;;;Nepeta cataria L.;;Horticole;J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55068;;b0abd927-4bec-4d81-8653-43ef4de641ce;20190244H0;Non determine;Origanum majorana L.;Lamiaceae;Martinov;;Origanum;Tourn. ex L.;;majorana;L.;;;;;;;;;;;;;;;XX-0-NEU-20190244;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Cultive;Groupe;Jardin;;Inconnue;VRAI;;;Origanum majorana L.;;Horticole;J;;;;SAT;Sativa;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55069;;a7952ad9-765e-4197-af5d-2b5dfb7e7580;20160111C0;Non determine;Pulmonaria officinalis L.;Boraginaceae;Juss.;;Pulmonaria;L.;;officinalis;L.;;;;;;;;;;;;;;;CH-0-NEU-20160111;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Pulmonaria officinalis L.;;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55070;;5e9c303b-43d3-48f5-a659-f142dd3da888;19500441I0;Non determine;Tamus communis L.;;;;;;;communis;L.;;;;;;;;;;;;;;;XX-0-NEU-19500441;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Tamus communis L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55071;;e53d1137-60a6-43bc-b99e-1504805c78e0;19500442I0;Non determine;Bryonia dioica Jacq.;Cucurbitaceae;Juss.;;Bryonia;L.;;dioica;Jacq.;;;;;;;;;;;;;;;XX-0-NEU-19500442;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Bryonia dioica Jacq.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55072;;3b4e5b1f-7859-4f98-81d8-02924e0aae0b;20190223N0;Non determine;Aruncus dioicus (Walter) Fernald;Rosaceae;Juss.;;Aruncus;L.;;dioicus;(Walter) Fernald;;;;;;;;;;;;;;;CH-0-NEU-20190223;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Aruncus dioicus (Walter) Fernald;La Corbatiere, Neuchâtel, Europe, Monde;Sauvage;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
