Numéro de spécimen cultivé;Détermination acceptée;famille;Familie Citation d'auteurs;genre;Genre Citation d'auteurs;Genre Hybride;espece;Espèce Citation d'auteurs;Espèce Hybride;Sous-espèce;Sous-espèce Citation d'auteurs;Sous-espèce Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Code ipen;Secteur
19782154I0;Senecio doria L.;Asteraceae;Giseke;Senecio;L.;;doria;L.;;;;;;;;XX0G19782154;Rocailles
19782147J0;Campanula primulifolia Brot.;Campanulaceae;Juss.;Campanula;L.;;primulifolia;Brot.;;;;;;;;XX0G19782147;Rocailles
19782151I0;Narcissus pseudonarcissus subsp. moschatus (L.) Baker;Amaryllidaceae;J.St.-Hil.;Narcissus;L.;;pseudonarcissus;L.;;moschatus;(L.) Baker;;subsp.;;;XX0G19782151;Rocailles
19782156I0;Asperula tinctoria L.;Rubiaceae;Juss.;Asperula;L.;;tinctoria;L.;;;;;;;;XX0G19782156;Rocailles
19782148I0;Eryngium bourgatii Gouan;Apiaceae;Lindl.;Eryngium;L.;;bourgatii;Gouan;;;;;;;;XX0G19782148;Rocailles
19782160I0;Punica granatum L.  'Legrellei';Lythraceae;J.St.-Hil.;Punica;L.;;granatum;L.;;;;;;;Legrellei;XX0G19782160;Rocailles
19782164I0;Iris foetidissima L.;Iridaceae;Juss.;Iris;L.;;foetidissima;L.;;;;;;;;XX0G19782164;Rocailles
19782549I0;Orlaya grandiflora (L.) Hoffm.;Apiaceae;Lindl.;Orlaya;Hoffm.;;grandiflora;(L.) Hoffm.;;;;;;;;XX0G19782549;Rocailles
19916156J0;Alstroemeria aurea Graham;Alstroemeriaceae;Dumort.;Alstroemeria;L.;;aurea;Graham;;;;;;;;XX0G19916156;Rocailles
19782171I0;Stipa tenacissima L.;Poaceae;Barnhart;Stipa;L.;;tenacissima;L.;;;;;;;;XX0G19782171;Rocailles
19850279N0;Hordelymus europaeus (L.) Harz;Poaceae;Barnhart;Hordelymus;(Jess.) Harz;;europaeus;(L.) Harz;;;;;;;;FR0G19850279;Rocailles
19782172N0;Stipa gigantea Link;Poaceae;Barnhart;Stipa;L.;;gigantea;Link;;;;;;;;PT0G19782172;Rocailles
19861960I0;Helleborus odorus subsp. laxus (Host) Merxm. & Podl.;Ranunculaceae;Juss.;Helleborus;L.;;odorus;Willd.;;laxus;(Host) Merxm. & Podl.;;subsp.;;;XX0G19861960;Rocailles
19781848N0;Vaccinium uliginosum L.;Ericaceae;Juss.;Vaccinium;L.;;uliginosum;L.;;;;;;;;CH0G19781848;Rocailles
19782553I0;Leucojum aestivum L.;Amaryllidaceae;J.St.-Hil.;Leucojum;L.;;aestivum;L.;;;;;;;;XX0G19782553;Rocailles
19782568I0;Potentilla micrantha DC.;Rosaceae;Juss.;Potentilla;L.;;micrantha;DC.;;;;;;;;XX0G19782568;Rocailles
19782563N0;Stachys recta L.;Lamiaceae;Martinov;Stachys;L.;;recta;L.;;;;;;;;CH0G19782563;Rocailles
19782555I0;Dianthus armeria L.;Caryophyllaceae;Juss.;Dianthus;L.;;armeria;L.;;;;;;;;XX0G19782555;Rocailles
19782558I0;Sempervivum calcareum Jord.;Crassulaceae;J.St.-Hil.;Sempervivum;L.;;calcareum;Jord.;;;;;;;;XX0G19782558;Rocailles
19782573N0;Alnus alnobetula (Ehrh.) K.Koch;Betulaceae;Gray;Alnus;Mill.;;alnobetula;(Ehrh.) K.Koch;;;;;;;;CH0G19782573;Rocailles
19781843N0;Carex remota L.;Cyperaceae;Juss.;Carex;L.;;remota;L.;;;;;;;;FR0G19781843;Rocailles
19781849N0;Samolus valerandi L.;Primulaceae;Batsch ex Borkh.;Samolus;L.;;valerandi;L.;;;;;;;;FR0G19781849;Rocailles
19782557N0;Helianthemum nummularium subsp. glabrum (W.D.J.Koch) Wilczek;Cistaceae;Juss.;Helianthemum;Mill.;;nummularium;Mill.;;glabrum;(W.D.J.Koch) Wilczek;;subsp.;;;XX0G19782557;Rocailles
19782577I0;Hypericum androsaemum L.;Hypericaceae;Juss.;Hypericum;Tourn. ex L.;;androsaemum;L.;;;;;;;;XX0G19782577;Rocailles
19782567I0;Polygonatum odoratum (Mill.) Druce;Asparagaceae;Juss.;Polygonatum;Mill.;;odoratum;(Mill.) Druce;;;;;;;;XX0G19782567;Rocailles
19861049N0;Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy;Dryopteridaceae;Herter;Dryopteris;Adans.;;expansa;(C.Presl) Fraser-Jenk. & Jermy;;;;;;;;CH0G19861049;Rocailles
19900154N0;Rosa pimpinellifolia L.;Rosaceae;;Rosa;;;pimpinellifolia;;;;;;;;;FR0G19900154;Rocailles
19916163J0;Campanula armena Steven;Campanulaceae;Juss.;Campanula;L.;;armena;Steven;;;;;;;;XX0G19916163;Rocailles
19782580I0;Laserpitium siler L.;Apiaceae;Lindl.;Laserpitium;L.;;siler;L.;;;;;;;;XX0G19782580;Rocailles
19860944N0;Lomelosia graminifolia (L.) Greuter & Burdet;Caprifoliaceae;Juss.;Lomelosia;Raf.;;graminifolia;(L.) Greuter & Burdet;;;;;;;;IT0G19860944;Rocailles
19782603I0;Larix decidua Mill.;Pinaceae;Spreng. ex Rudolphi;Larix;Mill.;;decidua;Mill.;;;;;;;;XX0G19782603;Rocailles
19781879I0;Pulmonaria officinalis L.;Boraginaceae;Juss.;Pulmonaria;L.;;officinalis;L.;;;;;;;;XX0G19781879;Rocailles
19781871N0;Teucrium scorodonia L.;Lamiaceae;Martinov;Teucrium;L.;;scorodonia;L.;;;;;;;;CH0G19781871;Rocailles
19781854I0;Succisa pratensis Moench;Caprifoliaceae;Juss.;Succisa;Haller;;pratensis;Moench;;;;;;;;XX0G19781854;Rocailles
19782607I0;Alchemilla xanthochlora aggr.;Rosaceae;Juss.;Alchemilla;L.;;xanthochlora;aggr.;;;;;;;;XX0G19782607;Rocailles
19781878H0;Betula nana L.;Betulaceae;Gray;Betula;L.;;nana;L.;;;;;;;;XX0G19781878;Rocailles
19781882I0;Silene saxifraga L.;Caryophyllaceae;Juss.;Silene;L.;;saxifraga;L.;;;;;;;;XX0G19781882;Rocailles
19781883I0;Cicerbita plumieri (L.) Kirschl.;Asteraceae;Giseke;Cicerbita;Wallr.;;plumieri;(L.) Kirschl.;;;;;;;;XX0G19781883;Rocailles
19782597I0;Oxalis acetosella L.;Oxalidaceae;R.Br.;Oxalis;L.;;acetosella;L.;;;;;;;;XX0G19782597;Rocailles
19781887I0;Polygonatum odoratum (Mill.) Druce;Asparagaceae;Juss.;Polygonatum;Mill.;;odoratum;(Mill.) Druce;;;;;;;;XX0G19781887;Rocailles
19782194N0;Artemisia flahaultii Emb. & Maire;Asteraceae;Giseke;Artemisia;L.;;flahaultii;Emb. & Maire;;;;;;;;MA0G19782194;Rocailles
19781888I0;Aconitum napellus subsp. lusitanicum Rouy;Ranunculaceae;Juss.;Aconitum;L.;;napellus;L.;;lusitanicum;Rouy;;subsp.;;;XX0G19781888;Rocailles
19781890I0;Isopyrum thalictroides L.;Ranunculaceae;Juss.;Isopyrum;L.;;thalictroides;L.;;;;;;;;XX0G19781890;Rocailles
19782183I0;Arenaria pungens Lag.;Caryophyllaceae;Juss.;Arenaria;L.;;pungens;Lag.;;;;;;;;XX0G19782183;Rocailles
19782190N0;Iris unguicularis Poir.;Iridaceae;Juss.;Iris;L.;;unguicularis;Poir.;;;;;;;;DZ0G19782190;Rocailles
19782203I0;Sideritis hirsuta L.;Lamiaceae;Martinov;Sideritis;L.;;hirsuta;L.;;;;;;;;XX0G19782203;Rocailles
19782196I0;Macleaya cordata (Willd.) R.Br.;Papaveraceae;Juss.;Macleaya;R.Br.;;cordata;(Willd.) R.Br.;;;;;;;;XX0G19782196;Rocailles
19781891N0;Salix helvetica Vill.;Salicaceae;Mirb.;Salix;L.;;helvetica;Vill.;;;;;;;;CH0G19781891;Rocailles
19782188N0;Onopordum acanthium L.;Asteraceae;Giseke;Onopordum;L.;;acanthium;L.;;;;;;;;CH0G19782188;Rocailles
19783325I0;Adiantum affine Willd.;Pteridaceae;E.D.M.Kirchn.;Adiantum;L.;;affine;Willd.;;;;;;;;XX0G19783325;Rocailles
