Numéro de spécimen cultivé;Détermination acceptée;famille;Familie Citation d'auteurs;genre;Genre Citation d'auteurs;Genre Hybride;espece;Espèce Citation d'auteurs;Espèce Hybride;Sous-espèce;Sous-espèce Citation d'auteurs;Sous-espèce Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Code ipen;Secteur
19851217J0;Paeonia lactiflora Pall.;Paeoniaceae;Raf.;Paeonia;L.;;lactiflora;Pall.;;;;;;;;XX0G19851217;Rocailles
19851261J0;Paeonia algeriensis Chabert;Paeoniaceae;Raf.;Paeonia;L.;;algeriensis;Chabert;;;;;;;;XX0G19851261;Rocailles
19896633N0;Rudbeckia L.;Asteraceae;Giseke;Rudbeckia;L.;;;;;;;;;;;US0G19896633;Rocailles
19851216J0;Paeonia macrophylla (Albov) Lomakin;Paeoniaceae;Raf.;Paeonia;L.;;macrophylla;(Albov) Lomakin;;;;;;;;XX0G19851216;Rocailles
19851260J0;Paeonia tenuifolia L.;Paeoniaceae;Raf.;Paeonia;L.;;tenuifolia;L.;;;;;;;;XX0G19851260;Rocailles
19851262J0;Paeonia mascula subsp. arietina (G.Anderson) Cullen & Heywood;Paeoniaceae;Raf.;Paeonia;L.;;mascula;(L.) Mill.;;arietina;(G.Anderson) Cullen & Heywood;;subsp.;;;XX0G19851262;Rocailles
19896640N0;Geranium macrorrhizum L.;Geraniaceae;Juss.;Geranium;L.;;macrorrhizum;L.;;;;;;;;BG0G19896640;Agriculture et Conservation
19851220N0;Paeonia officinalis subsp. microcarpa (Boiss. & Reut.) Nyman;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;microcarpa;(Boiss. & Reut.) Nyman;;subsp.;;;ES0G19851220;Rocailles
19896638N0;Dianthus petraeus subsp. noeanus (Boiss.) Tutin;Caryophyllaceae;Juss.;Dianthus;L.;;petraeus;Waldst. & Kit.;;noeanus;(Boiss.) Tutin;;subsp.;;;BG0G19896638;Rocailles
19851265J0;Paeonia delavayi Franch.;Paeoniaceae;Raf.;Paeonia;L.;;delavayi;Franch.;;;;;;;;XX0G19851265;Rocailles
19851205H0;Paeonia ×lemoinei Rehder  'Souvenir du Professeur Maxime Cornu';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Souvenir du Professeur Maxime Cornu;XX0G19851205;Rocailles
19851203H0;Paeonia ×lemoinei Rehder  'Mine d'Or';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Mine d'Or;XX0G19851203;Rocailles
19870860J0;Paeonia intermedia C.A.Mey.;Paeoniaceae;Raf.;Paeonia;L.;;intermedia;C.A.Mey.;;;;;;;;XX0G19870860;Rocailles
19860241N0;Silene viscaria (L.) Borkh.;Caryophyllaceae;Juss.;Silene;L.;;viscaria;(L.) Borkh.;;;;;;;;GR0G19860241;Rocailles
19851266I0;Paeonia delavayi Franch.;Paeoniaceae;Raf.;Paeonia;L.;;delavayi;Franch.;;;;;;;;XX0G19851266;Rocailles
19870855J0;Paeonia daurica subsp. macrophylla (Albov) D.Y.Hong;Paeoniaceae;Raf.;Paeonia;L.;;daurica;Andrews;;macrophylla;(Albov) D.Y.Hong;;subsp.;;;XX0G19870855;Rocailles
19851202H0;Paeonia ×lemoinei Rehder  'Renkaku';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Renkaku;XX0G19851202;Rocailles
19851204H0;Paeonia ×lemoinei Rehder  'La Lorraine';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;La Lorraine;XX0G19851204;Rocailles
19870865N0;Paeonia officinalis subsp. huthii Soldano;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;huthii;Soldano;;subsp.;;;FR0G19870865;Rocailles
19851206H0;Paeonia ×lemoinei Rehder  'Sang Lorrain';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Sang Lorrain;XX0G19851206;Rocailles
19887661N0;Astragalus glycyphyllos L.;Fabaceae;;Astragalus;;;glycyphyllos;;;;;;;;;CH0G19887661;Rocailles
19896696N0;Silene vlokii D.Masson;Caryophyllaceae;Juss.;Silene;L.;;vlokii;D.Masson;;;;;;;;ZA0G19896696;Rocailles
20110479N0;Carex spicata Huds.;Cyperaceae;Juss.;Carex;L.;;spicata;Huds.;;;;;;;;NO0G20110479;Rocailles
19861687H0;Iris L.  'Lilli-White';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Lilli-White;XX0G19861687;Entretien général et dendrologie
19800988J1;Elaeagnus angustifolia L.;Elaeagnaceae;Juss.;Elaeagnus;L.;;angustifolia;L.;;;;;;;;XX0G19800988;Entretien général et dendrologie
19887422N0;Dianthus carthusianorum L.;Caryophyllaceae;;Dianthus;;;carthusianorum;;;;;;;;;CH0G19887422;Rocailles
19861612H0;Iris L.  'Spring Waltz';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Spring Waltz;XX0G19861612;Entretien général et dendrologie
19888161N0;Pistacia terebinthus L.;Anacardiaceae;;Pistacia;;;terebinthus;;;;;;;;;FR0G19888161;Rocailles
19860255J0;Paeonia anomala subsp. veitchii (Lynch) D.Y.Hong & K.Y.Pan;Paeoniaceae;Raf.;Paeonia;L.;;anomala;L.;;veitchii;(Lynch) D.Y.Hong & K.Y.Pan;;subsp.;;;XX0G19860255;Rocailles
19896423J0;Ostrya virginiana (Mill.) K.Koch;Betulaceae;Gray;Ostrya;Scop.;;virginiana;(Mill.) K.Koch;;;;;;;;XX0G19896423;Entretien général et dendrologie
19814362N0;Campsis radicans (L.) Seem.;Bignoniaceae;Juss.;Campsis;Lour.;;radicans;(L.) Seem.;;;;;;;;XX0G19814362;Serres
19860210J0;Paeonia officinalis L.;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;;;;;;;XX0G19860210;Rocailles
19896522I0;Akebia quinata (Houtt.) Decne.;Lardizabalaceae;R.Br.;Akebia;Decne.;;quinata;(Houtt.) Decne.;;;;;;;;XX0G19896522;Serres
19896523I0;Passiflora caerulea L.;Passifloraceae;Juss. ex Roussel;Passiflora;L.;;caerulea;L.;;;;;;;;XX0G19896523;Serres
19906048N0;Allium oreoprasum Schrenk;Amaryllidaceae;J.St.-Hil.;Allium;L.;;oreoprasum;Schrenk;;;;;;;;IN0G19906048;Rocailles
19896442I0;Lagerstroemia indica L.;Lythraceae;J.St.-Hil.;Lagerstroemia;L.;;indica;L.;;;;;;;;XX0G19896442;Agriculture et Conservation
19860852J0;Paeonia obovata Maxim.;Paeoniaceae;Raf.;Paeonia;L.;;obovata;Maxim.;;;;;;;;XX0G19860852;Rocailles
19906069N0;Hymenanthera alpina (Kirk) Garn.-Jones;Violaceae;Batsch;Hymenanthera;R.Br.;;alpina;(Kirk) Garn.-Jones;;;;;;;;XX0G19906069;Entretien général et dendrologie
19880101N0;Brachypodium sylvaticum P.Beauv.;Poaceae;Barnhart;Brachypodium;P.Beauv.;;sylvaticum;P.Beauv.;;;;;;;;AM0G19880101;Rocailles
19896433N0;Potentilla erecta (L.) Raeusch.;Rosaceae;Juss.;Potentilla;L.;;erecta;(L.) Raeusch.;;;;;;;;IT0G19896433;Entretien général et dendrologie
19814257J0;Jovibarba sobolifera (Sims) Opiz;Crassulaceae;J.St.-Hil.;Jovibarba;(DC.) Opiz;;sobolifera;(Sims) Opiz;;;;;;;;XX0G19814257;Rocailles
20110416N0;Festuca airoides Lam.;Poaceae;Barnhart;Festuca;L.;;airoides;Lam.;;;;;;;;AT0G20110416;Rocailles
19896761J0;Tricyrtis formosana Baker;Liliaceae;Juss.;Tricyrtis;Wall.;;formosana;Baker;;;;;;;;XX0G19896761;Rocailles
19782984I1;Hepatica nobilis Schreb.;Ranunculaceae;Juss.;Hepatica;Mill.;;nobilis;Schreb.;;;;;;;;XX0G19782984;Rocailles
19832656N0;Athyrium filix-femina (L.) Roth;Aspleniaceae;Newman;Athyrium;Roth;;filix-femina;(L.) Roth;;;;;;;;CH0G19832656;Rocailles
19896541J0;Gunnera manicata André;Gunneraceae;Meisn.;Gunnera;L.;;manicata;André;;;;;;;;XX0G19896541;Rocailles
19782993I0;Campanula persicifolia L.;Campanulaceae;Juss.;Campanula;L.;;persicifolia;L.;;;;;;;;XX0G19782993;Rocailles
19783044N0;Aster amellus L.;Asteraceae;Giseke;Aster;L.;;amellus;L.;;;;;;;;XX0G19783044;Rocailles
19800348I3;Spiraea trilobata L.;Rosaceae;Juss.;Spiraea;L.;;trilobata;L.;;;;;;;;XX0G19800348;Entretien général et dendrologie
19800322I1;Syringa ×chinensis Willd.;Oleaceae;Hoffmanns. & Link;Syringa;L.;;×chinensis;Willd.;VRAI;;;;;;;XX0G19800322;Entretien général et dendrologie
19790025I0;Rhododendron reticulatum D.Don;Ericaceae;Juss.;Rhododendron;L.;;reticulatum;D.Don;;;;;;;;XX0G19790025;Entretien général et dendrologie
19790275I0;Rhododendron ovatum (Lindl.) Planch. ex Maxim.;Ericaceae;Juss.;Rhododendron;L.;;ovatum;(Lindl.) Planch. ex Maxim.;;;;;;;;XX0G19790275;Entretien général et dendrologie
19831059N1;Rhododendron yedoense var. poukhanense (H.Lév.) Nakai;Ericaceae;Juss.;Rhododendron;L.;;yedoense;Regel;;poukhanense;(H.Lév.) Nakai;;var.;;;XX0G19831059;Entretien général et dendrologie
19896192N0;Fraxinus mandshurica Rupr.;Oleaceae;Hoffmanns. & Link;Fraxinus;L.;;mandshurica;Rupr.;;;;;;;;XX0G19896192;Entretien général et dendrologie
19906074H0;Sarcococca hookeriana var. digyna Franch.;Buxaceae;Dumort.;Sarcococca;Lindl.;;hookeriana;Baill.;;digyna;Franch.;;var.;;;XX0G19906074;Rocailles
19800251N1;Platanus orientalis L.;Platanaceae;T.Lestib.;Platanus;L.;;orientalis;L.;;;;;;;;GR0G19800251;Entretien général et dendrologie
19896367I1;Poncirus trifoliata (L.) Raf.;Rutaceae;Juss.;Poncirus;Raf.;;trifoliata;(L.) Raf.;;;;;;;;XX0G19896367;Rocailles
19861034J0;Paeonia ludlowii (Stern & G.Taylor) D.Y.Hong;Paeoniaceae;Raf.;Paeonia;L.;;ludlowii;(Stern & G.Taylor) D.Y.Hong;;;;;;;;XX0G19861034;Entretien général et dendrologie
19860659N0;Dittrichia viscosa (L.) Greuter;Asteraceae;Giseke;Dittrichia;Greuter;;viscosa;(L.) Greuter;;;;;;;;PT0G19860659;Rocailles
19820920N0;Teucrium asiaticum L.;Lamiaceae;Martinov;Teucrium;L.;;asiaticum;L.;;;;;;;;ES0G19820920;Rocailles
19861657H0;Iris L.  'Glazed Orange';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Glazed Orange;XX0G19861657;Entretien général et dendrologie
19790333I0;Camellia ×sp. hort.;Theaceae;Mirb.;Camellia;L.;;×sp.;hort.;VRAI;;;;;;;XX0G19790333;Entretien général et dendrologie
19861615H0;Iris L.  'Latin Lover';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Latin Lover;XX0G19861615;Entretien général et dendrologie
19790341I0;Camellia ×sp. hort.;Theaceae;Mirb.;Camellia;L.;;×sp.;hort.;VRAI;;;;;;;XX0G19790341;Entretien général et dendrologie
19861591N0;Corylus americana Marshall;Betulaceae;Gray;Corylus;L.;;americana;Marshall;;;;;;;;US0G19861591;Entretien général et dendrologie
19896676N0;Rumex alpestris Jacq.;Polygonaceae;Juss.;Rumex;L.;;alpestris;Jacq.;;;;;;;;CH0G19896676;Entretien général et dendrologie
19896681J0;Saxifraga cuneifolia L.;Saxifragaceae;Juss.;Saxifraga;L.;;cuneifolia;L.;;;;;;;;XX0G19896681;Rocailles
19896685I0;Haberlea rhodopensis Friv.;Gesneriaceae;Rich. & Juss.;Haberlea;Friv.;;rhodopensis;Friv.;;;;;;;;XX0G19896685;Rocailles
19861713N0;Carpinus cordata Blume;Betulaceae;Gray;Carpinus;L.;;cordata;Blume;;;;;;;;XX0G19861713;Entretien général et dendrologie
19790086I0;Picea glehnii (F.Schmidt) Mast.;Pinaceae;Spreng. ex Rudolphi;Picea;A.Dietr.;;glehnii;(F.Schmidt) Mast.;;;;;;;;XX0G19790086;Entretien général et dendrologie
19790319I0;Pieris formosa (Wall.) D.Don;Ericaceae;Juss.;Pieris;D.Don;;formosa;(Wall.) D.Don;;;;;;;;XX0G19790319;Entretien général et dendrologie
19790305I0;Pieris taiwanensis Hayata;Ericaceae;Juss.;Pieris;D.Don;;taiwanensis;Hayata;;;;;;;;XX0G19790305;Entretien général et dendrologie
19790207I0;Leucothoe fontanesiana (Steud.) Sleumer;Ericaceae;Juss.;Leucothoe;D.Don;;fontanesiana;(Steud.) Sleumer;;;;;;;;XX0G19790207;Entretien général et dendrologie
19790232I0;Rhododendron caucasicum Pall.;Ericaceae;Juss.;Rhododendron;L.;;caucasicum;Pall.;;;;;;;;XX0G19790232;Entretien général et dendrologie
19871111H0;Paeonia ×lemoinei Rehder  'Alice Harding';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Alice Harding;XX0G19871111;Rocailles
19790004J0;Pernettya mucronata (L. f.) G. Don  'Alba';Ericaceae;Juss.;Pernettya;Gaudich.;;mucronata;(L. f.) G.Don;;;;;;;Alba;XX0G19790004;Entretien général et dendrologie
19861273J0;Toona sinensis (A.Juss.) M.Roem.;Meliaceae;Juss.;Toona;(Endl.) M.Roem.;;sinensis;(A.Juss.) M.Roem.;;;;;;;;XX0G19861273;Entretien général et dendrologie
19871133I0;Pinus sylvestris L.  'Globosa Viridis';Pinaceae;Spreng. ex Rudolphi;Pinus;L.;;sylvestris;L.;;;;;;;Globosa Viridis;XX0G19871133;Rocailles
19870719N0;Quercus macrocarpa Michx.;Fagaceae;Dumort.;Quercus;L.;;macrocarpa;Michx.;;;;;;;;US0G19870719;Entretien général et dendrologie
19870737I0;Quercus muehlenbergii Engelm.;Fagaceae;Dumort.;Quercus;L.;;muehlenbergii;Engelm.;;;;;;;;XX0G19870737;Rocailles
19870449J0;Pinus nigra subsp. pallasiana (Lamb.) Holmboe;Pinaceae;Spreng. ex Rudolphi;Pinus;L.;;nigra;J.F.Arnold;;pallasiana;(Lamb.) Holmboe;;subsp.;;;XX0G19870449;Entretien général et dendrologie
19881405I0;Galanthus fosteri Baker;Amaryllidaceae;J.St.-Hil.;Galanthus;L.;;fosteri;Baker;;;;;;;;XX0G19881405;Rocailles
19881407I0;Galanthus plicatus M.Bieb.;Amaryllidaceae;J.St.-Hil.;Galanthus;L.;;plicatus;M.Bieb.;;;;;;;;XX0G19881407;Rocailles
19896276I0;Hemerocallis L.  'Purple Waters';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Purple Waters;XX0G19896276;Entretien général et dendrologie
19896277H0;Hemerocallis L.  'Red Waves';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Red Waves;XX0G19896277;Entretien général et dendrologie
19896291H0;Hemerocallis L.  'Cortez Cove';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Cortez Cove;XX0G19896291;Entretien général et dendrologie
19896295H0;Hemerocallis L.  'Scarlock';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Scarlock;XX0G19896295;Entretien général et dendrologie
19800820I0;Betula potaninii Batalin;Betulaceae;Gray;Betula;L.;;potaninii;Batalin;;;;;;;;XX0G19800820;Entretien général et dendrologie
19896292H0;Hemerocallis L.  'Frans Hals';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Frans Hals;XX0G19896292;Entretien général et dendrologie
19896283H0;Hemerocallis L.  'Frances Fay';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Frances Fay;XX0G19896283;Entretien général et dendrologie
19896279H0;Hemerocallis L.  'Commandment';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Commandment;XX0G19896279;Entretien général et dendrologie
19896288H0;Hemerocallis L.  'Hope Diamond';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Hope Diamond;XX0G19896288;Entretien général et dendrologie
19896280H0;Hemerocallis L.  'Yardley Rose';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Yardley Rose;XX0G19896280;Entretien général et dendrologie
19896284H0;Hemerocallis L.  'Neyron Rose';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Neyron Rose;XX0G19896284;Entretien général et dendrologie
19800818I0;Betula pendula Roth;Betulaceae;Gray;Betula;L.;;pendula;Roth;;;;;;;;XX0G19800818;Entretien général et dendrologie
19896290H0;Hemerocallis L.  'Persian Market';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Persian Market;XX0G19896290;Entretien général et dendrologie
19896282H0;Hemerocallis L.  'Dancing Shiva';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Dancing Shiva;XX0G19896282;Entretien général et dendrologie
19896287H0;Hemerocallis L.  'Bess Ross';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Bess Ross;XX0G19896287;Entretien général et dendrologie
19896294H0;Hemerocallis L.  'Something';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Something;XX0G19896294;Entretien général et dendrologie
19896281H0;Hemerocallis L.  'Gay Cravat';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Gay Cravat;XX0G19896281;Entretien général et dendrologie
19896289H0;Hemerocallis L.  'Butterscotch Ruffle';Asphodelaceae;Juss.;Hemerocallis;L.;;;;;;;;;;Butterscotch Ruffle;XX0G19896289;Entretien général et dendrologie
19800881I0;Viburnum lentago L.;Viburnaceae;Raf.;Viburnum;L.;;lentago;L.;;;;;;;;XX0G19800881;Entretien général et dendrologie
19800821I0;Betula kirghisorum Sav.-Rycz.;Betulaceae;Gray;Betula;L.;;kirghisorum;Sav.-Rycz.;;;;;;;;XX0G19800821;Entretien général et dendrologie
19800880I0;Aesculus indica (Cambess.) Hook.;Sapindaceae;Juss.;Aesculus;L.;;indica;(Cambess.) Hook.;;;;;;;;XX0G19800880;Entretien général et dendrologie
19800882I0;Aesculus indica (Cambess.) Hook.;Sapindaceae;Juss.;Aesculus;L.;;indica;(Cambess.) Hook.;;;;;;;;XX0G19800882;Entretien général et dendrologie
19800883I0;Cedrus atlantica (Endl.) Carrière  'Fastigiata';Pinaceae;Spreng. ex Rudolphi;Cedrus;Trew;;atlantica;(Endl.) Carrière;;;;;;;Fastigiata;XX0G19800883;Entretien général et dendrologie
19851369I0;Iris pseudacorus L.;Iridaceae;Juss.;Iris;L.;;pseudacorus;L.;;;;;;;;XX0G19851369;Rocailles
19896800N0;Pieris japonica (Thunb.) G.Don;Ericaceae;Juss.;Pieris;D.Don;;japonica;(Thunb.) G.Don;;;;;;;;XX0G19896800;Entretien général et dendrologie
19896548N0;Iberis procumbens Lange;Brassicaceae;Burnett;Iberis;L.;;procumbens;Lange;;;;;;;;PT0G19896548;Rocailles
19851371I0;Sparganium erectum L.;Typhaceae;Juss.;Sparganium;L.;;erectum;L.;;;;;;;;XX0G19851371;Rocailles
19801088I0;Picea breweriana S.Watson;Pinaceae;Spreng. ex Rudolphi;Picea;A.Dietr.;;breweriana;S.Watson;;;;;;;;XX0G19801088;Entretien général et dendrologie
19896370I0;Diospyros lotus L.;Ebenaceae;Gürke;Diospyros;L.;;lotus;L.;;;;;;;;CH0G19896370;Entretien général et dendrologie
19801090I0;Corylus L.;Betulaceae;Gray;Corylus;L.;;;;;;;;;;;XX0G19801090;Entretien général et dendrologie
19801092I0;Akebia quinata (Houtt.) Decne.;Lardizabalaceae;R.Br.;Akebia;Decne.;;quinata;(Houtt.) Decne.;;;;;;;;XX0G19801092;Entretien général et dendrologie
19896496N0;Crataegus chrysocarpa Ashe;Rosaceae;Juss.;Crataegus;L.;;chrysocarpa;Ashe;;;;;;;;CA0G19896496;Entretien général et dendrologie
19896373N0;Viola odorata L.;Violaceae;Batsch;Viola;L.;;odorata;L.;;;;;;;;CH0G19896373;Rocailles
19801078I0;Wisteria sinensis (Sims) Sweet  'Alba';Fabaceae;Juss.;Wisteria;Nutt.;;sinensis;(Sims) Sweet;;;;;;;Alba;XX0G19801078;Entretien général et dendrologie
19801079J0;Ehretia dicksonii Hance;Boraginaceae;Juss.;Ehretia;P.Browne;;dicksonii;Hance;;;;;;;;CH0G19801079;Entretien général et dendrologie
19814308I0;Pseudotsuga macrocarpa (Vasey) Mayr;Pinaceae;Spreng. ex Rudolphi;Pseudotsuga;Carrière;;macrocarpa;(Vasey) Mayr;;;;;;;;XX0G19814308;Entretien général et dendrologie
19896208N0;Rosa macrophylla Lindl.;Rosaceae;Juss.;Rosa;L.;;macrophylla;Lindl.;;;;;;;;NP0G19896208;Entretien général et dendrologie
19906655N0;Paeonia anomala L.;Paeoniaceae;Raf.;Paeonia;L.;;anomala;L.;;;;;;;;RU0G19906655;Rocailles
19790268I0;Rhododendron scabrifolium Franch.;Ericaceae;Juss.;Rhododendron;L.;;scabrifolium;Franch.;;;;;;;;XX0G19790268;Entretien général et dendrologie
19801110I0;Chimonanthus praecox (L.) Link;Calycanthaceae;Lindl.;Chimonanthus;Lindl.;;praecox;(L.) Link;;;;;;;;XX0G19801110;Entretien général et dendrologie
19801107I0;Pyracantha fortuneana (Maxim.) H.L.Li;Rosaceae;Juss.;Pyracantha;M.Roem.;;fortuneana;(Maxim.) H.L.Li;;;;;;;;XX0G19801107;Entretien général et dendrologie
19790183I0;Rhododendron thomsonii Hook.f.;Ericaceae;Juss.;Rhododendron;L.;;thomsonii;Hook.f.;;;;;;;;XX0G19790183;Entretien général et dendrologie
19801103I0;Fagus sylvatica L.;Fagaceae;Dumort.;Fagus;L.;;sylvatica;L.;;;;;;;;XX0G19801103;Entretien général et dendrologie
19801105I0;Corylus avellana L.;Betulaceae;Gray;Corylus;L.;;avellana;L.;;;;;;;;XX0G19801105;Entretien général et dendrologie
19801125H0;Abies pinsapo Boiss.;Pinaceae;Spreng. ex Rudolphi;Abies;Mill.;;pinsapo;Boiss.;;;;;;;;XX0G19801125;Entretien général et dendrologie
19801102I0;Fagus sylvatica L.;Fagaceae;Dumort.;Fagus;L.;;sylvatica;L.;;;;;;;;XX0G19801102;Entretien général et dendrologie
19801108J0;Choisya ternata Kunth;Rutaceae;Juss.;Choisya;Kunth;;ternata;Kunth;;;;;;;;XX0G19801108;Entretien général et dendrologie
19801128I0;Pinus nigra subsp. salzmannii (Dunal) Franco;Pinaceae;Spreng. ex Rudolphi;Pinus;L.;;nigra;J.F.Arnold;;salzmannii;(Dunal) Franco;;subsp.;;;XX0G19801128;Entretien général et dendrologie
19801104I0;Tilia tomentosa Moench;Malvaceae;Juss.;Tilia;L.;;tomentosa;Moench;;;;;;;;XX0G19801104;Entretien général et dendrologie
19790016I0;Rhododendron vernicosum Franch.;Ericaceae;Juss.;Rhododendron;L.;;vernicosum;Franch.;;;;;;;;XX0G19790016;Entretien général et dendrologie
19814446I0;×Amelasorbus jackii Rehder;Rosaceae;Juss.;×Amelasorbus;Rehder;VRAI;jackii;Rehder;;;;;;;;XX0G19814446;Agriculture et Conservation
19790015I0;Rhododendron vernicosum Franch.;Ericaceae;Juss.;Rhododendron;L.;;vernicosum;Franch.;;;;;;;;XX0G19790015;Entretien général et dendrologie
19790169I0;Rhododendron thomsonii Hook.f.;Ericaceae;Juss.;Rhododendron;L.;;thomsonii;Hook.f.;;;;;;;;XX0G19790169;Entretien général et dendrologie
19814439J0;Aesculus ×neglecta Lindl.;Sapindaceae;Juss.;Aesculus;L.;;×neglecta;Lindl.;VRAI;;;;;;;XX0G19814439;Entretien général et dendrologie
19801139I0;Tilia platyphyllos Scop.;Malvaceae;Juss.;Tilia;L.;;platyphyllos;Scop.;;;;;;;;XX0G19801139;Entretien général et dendrologie
19801140I0;Tilia tomentosa Moench;Malvaceae;Juss.;Tilia;L.;;tomentosa;Moench;;;;;;;;XX0G19801140;Entretien général et dendrologie
19801143I0;Acer platanoides L.;Sapindaceae;Juss.;Acer;L.;;platanoides;L.;;;;;;;;XX0G19801143;Entretien général et dendrologie
19801155I0;Quercus robur L.;Fagaceae;Dumort.;Quercus;L.;;robur;L.;;;;;;;;XX0G19801155;Entretien général et dendrologie
19801148I0;Quercus robur L.;Fagaceae;Dumort.;Quercus;L.;;robur;L.;;;;;;;;XX0G19801148;Entretien général et dendrologie
19801132I0;Hydrangea quercifolia W.Bartram;Hydrangeaceae;Dumort.;Hydrangea;Gronov.;;quercifolia;W.Bartram;;;;;;;;XX0G19801132;Entretien général et dendrologie
19801136I0;Carpinus betulus L.;Betulaceae;Gray;Carpinus;L.;;betulus;L.;;;;;;;;XX0G19801136;Entretien général et dendrologie
19801162I0;Picea wilsonii Mast.;Pinaceae;Spreng. ex Rudolphi;Picea;A.Dietr.;;wilsonii;Mast.;;;;;;;;XX0G19801162;Entretien général et dendrologie
19814454I0;Hydrangea heteromalla D.Don;Hydrangeaceae;Dumort.;Hydrangea;Gronov.;;heteromalla;D.Don;;;;;;;;XX0G19814454;Entretien général et dendrologie
19790210I0;Rhododendron yakushimanum Nakai;Ericaceae;Juss.;Rhododendron;L.;;yakushimanum;Nakai;;;;;;;;XX0G19790210;Entretien général et dendrologie
19790209I0;Rhododendron yakushimanum Nakai;Ericaceae;Juss.;Rhododendron;L.;;yakushimanum;Nakai;;;;;;;;XX0G19790209;Entretien général et dendrologie
19790077I0;Rhododendron makinoi Tagg;Ericaceae;Juss.;Rhododendron;L.;;makinoi;Tagg;;;;;;;;XX0G19790077;Entretien général et dendrologie
19790075I0;Rhododendron makinoi Tagg;Ericaceae;Juss.;Rhododendron;L.;;makinoi;Tagg;;;;;;;;XX0G19790075;Entretien général et dendrologie
19790078I0;Rhododendron makinoi Tagg;Ericaceae;Juss.;Rhododendron;L.;;makinoi;Tagg;;;;;;;;XX0G19790078;Entretien général et dendrologie
19790257J0;Sycoparrotia semidecidua (Standl.) P.K.Endress;Hamamelidaceae;R.Br.;Sycoparrotia;Endress & Anliker;;semidecidua;(Standl.) P.K.Endress;;;;;;;;XX0G19790257;Entretien général et dendrologie
19790211I0;Rhododendron yakushimanum Nakai;Ericaceae;Juss.;Rhododendron;L.;;yakushimanum;Nakai;;;;;;;;XX0G19790211;Entretien général et dendrologie
19820601J0;Catalpa fargesii Bureau;Bignoniaceae;Juss.;Catalpa;Scop.;;fargesii;Bureau;;;;;;;;XX0G19820601;Entretien général et dendrologie
19820422J0;Tilia americana L.;Malvaceae;Juss.;Tilia;L.;;americana;L.;;;;;;;;XX0G19820422;Entretien général et dendrologie
19820369J0;Platanus occidentalis L.;Platanaceae;T.Lestib.;Platanus;L.;;occidentalis;L.;;;;;;;;XX0G19820369;Entretien général et dendrologie
19820343J0;Diospyros glaucifolia F.P.Metcalf;Ebenaceae;Gürke;Diospyros;L.;;glaucifolia;F.P.Metcalf;;;;;;;;CN0G19820343;Entretien général et dendrologie
19860665N0;Celtis chekiangensis W.C.Cheng & S.Y.Chang;Cannabaceae;Martinov;Celtis;L.;;chekiangensis;W.C.Cheng & S.Y.Chang;;;;;;;;CN0G19860665;Entretien général et dendrologie
19820609J0;Gleditsia japonica Miq.;Fabaceae;Juss.;Gleditsia;L.;;japonica;Miq.;;;;;;;;CN0G19820609;Entretien général et dendrologie
19814464J0;Diospyros kaki var. silvestris Makino;Ebenaceae;Gürke;Diospyros;L.;;kaki;L.f.;;silvestris;Makino;;var.;;;CN0G19814464;Entretien général et dendrologie
19840852J0;Stachyurus praecox Siebold & Zucc.;Stachyuraceae;J.Agardh;Stachyurus;Siebold & Zucc.;;praecox;Siebold & Zucc.;;;;;;;;XX0G19840852;Entretien général et dendrologie
