"Code.emplacement","No.Semis","Taxons","Nom.acquisition","genus","family"
"ArboretumMidiK0","90816","Penstemon barrettiae","Penstemon barrettiae A. Gray","Penstemon","Plantaginaceae"
"ArboretumMidiK0","90817","Chiastophyllum oppositifolium","Chiastophyllum oppositifolium (Ledeb. ex Nordm.)","Chiastophyllum","Crassulaceae"
"ArboretumMidiK0","90818","Iberis pruitii","Iberis pruitii Tineo","Iberis","Brassicaceae"
"ArboretumMidiK0","90819","Haberlea rhodopensis","Haberlea rhodopensis Friv.","Haberlea","Gesneriaceae"
"ArboretumMidiK0","90819","Haberlea rhodopensis","Haberlea rhodopensis Friv.","Haberlea","Gesneriaceae"
"ArboretumMidiK0","90820","Saxifraga spathularis","Saxifraga spathularis","Saxifraga","Saxifragaceae"
"ArboretumMidiK0","851218","Hypericum olympicum var. minus","Hypericum olympicum L. var. minus ","Hypericum","Hypericaceae"
"ArboretumMidiK0","90822","Helianthemum Hybride ‘Pink Double’","Helianthemum  hybridecv",NA,NA
"ArboretumMidiK0","90823","Minuartia plantaginea","Minuartia plantaginea",NA,NA
"ArboretumMidiL0","90826","Betula platyphylla","Betula platyphylla Sukatsch.","Betula","Betulaceae"
"ArboretumMidiL0","20,022","Akebia trifoliata","Akebia trifoliata (Thunb.) Koidz.","Akebia","Lardizabalaceae"
"ArboretumMidiL0","90826","Betula platyphylla","Betula platyphylla Sukatsch.","Betula","Betulaceae"
"ArboretumMidiL0","90837","Apios americana","Apios americana Medic.","Apios","Fabaceae"
"ArboretumMidiL0","90827","Taxus baccata","Taxus baccata L.","Taxus","Taxaceae"
"ArboretumMidiL0","773121","Sorbaria grandiflora","Sorbaria grandiflora (Sweet) Maxim.","Sorbaria","Rosaceae"
"ArboretumMidiL0","90840","Lonicera pileata","Lonicera pileata Oliv.","Lonicera","Caprifoliaceae"
"ArboretumMidiL0","4910","Cephalaria alpina","Cephalaria alpina (L.) Roemer et Schultes","Cephalaria","Caprifoliaceae"
"ArboretumMidiL0","90841","Elaeagnus macrophylla","Elaeagnus macrophylla Thunb.","Elaeagnus","Elaeagnaceae"
"ArboretumMidiL0","90832","Genista tournefortii","Genista tournefortii","Genista","Fabaceae"
"ArboretumMidiL0","9570","Cotoneaster Zimmermanii","Cotoneaster Zimmermanii",NA,NA
"ArboretumMidiL0","90845","Elaeagnus x submacrophylla ‘Ebbingii’","Elaeagnus x submacrophylla Serv. cv. ‘'Ebbingii'‘",NA,NA
"ArboretumMidiL0","90846","Lonicera nitida","Lonicera nitida Wils.","Lonicera","Caprifoliaceae"
"ArboretumMidiL0","851120","Rhus chinensis","Rhus chinensis Mill.","Rhus","Anacardiaceae"
"ArboretumMidiL1","9683","Eucommia ulmoides","Eucommia ulmoides Oliver","Eucommia","Eucommiaceae"
"ArboretumMidiL1","90831","Thalictrum flavum","Thalictrum flavum L. subsp. riparium ","Thalictrum","Ranunculaceae"
"ArboretumMidiL1","221728","Liriope spicata","Liriope spicata","Liriope","Asparagaceae"
"ArboretumMidiL1","90834","Aruncus dioicus","Aruncus dioicus (Walt.) Fern.","Aruncus","Rosaceae"
"ArboretumMidiL2","90838","Diospyros kaki","Diospyros kaki L.","Diospyros","Ebenaceae"
"ArboretumMidiL2","90839","Arundo donax","Arundo donax L.","Arundo","Poaceae"
"ArboretumMidiL2","825768","Distylium racemosum","Distylium racemosum Sieb. et Zucc.","Distylium","Hamamelidaceae"
"ArboretumMidiL2","90843","Gymnocladus dioicus","Gymnocladus dioicus (L.) K. Koch.","Gymnocladus","Fabaceae"
"ArboretumMidiL2","90844","Tamarix chinensis","Tamarix chinensis Lour.","Tamarix","Tamaricaceae"
"ArboretumMidiL2","825769","Ehretia acuminata","Ehretia thyrsiflora (S. & Z.) Nakai","Ehretia","Boraginaceae"
"ArboretumMidiL2","90848","Acer monspessulanum","Acer monspessulanum L.","Acer","Sapindaceae"
"ArboretumMidiL2","825401","Ulmus parvifolia","Ulmus parvifolia Jacq.","Ulmus","Ulmaceae"
"ArboretumMidiL2","90851","Acer saccharinum","Acer saccharinum L.","Acer","Sapindaceae"
"ArboretumMidiL2","90852","Thuja orientalis","Thuja orientalis L.","Thuja","Cupressaceae"
"ArboretumMidiL2","90853","Betula sp.","Betula sp.",NA,NA
"ArboretumMidiL2","90854","Ostrya carpinifolia","Ostrya carpinifolia Scop.","Ostrya","Betulaceae"
"ArboretumMidiL2","220087","Laburnum alpinum","Laburnum alpinum (Mill.) Bercht. & J.Presl","Laburnum","Fabaceae"
"ArboretumMidiL2","221731","Elaeagnus angustifolia","Elaeagnus angustifolia","Elaeagnus","Elaeagnaceae"
"ArboretumMidiM","90865","Euonymus fortunei var. radicans","Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans ","Euonymus","Celastraceae"
"ArboretumMidiM","221732","","Rosa moschata 'Trier'",NA,NA
"ArboretumMidiM","221733","Cerastium tomentosum","Cerastium tomentosum","Cerastium","Caryophyllaceae"
"ArboretumMidiM","90866","Teucrium chamaedrys","Teucrium chamaedrysfl. albo","Teucrium","Lamiaceae"
"ArboretumMidiM","213403","Prunus domestica subsp.  insititia","Prunus ""Damassine""",NA,NA
"ArboretumMidiM
0","220135","Erica carnea","Erica carnea L.","Erica","Ericaceae"
"ArboretumMidiM0","90855","Pinus mugo var. pumilio","Pinus mugo Turrapumilio","Pinus","Pinaceae"
"ArboretumMidiM0","90856","Betula nana","Betula nana L.","Betula","Betulaceae"
"ArboretumMidiM0","90857","Pinus mugo","Pinus mugo Turra subsp. mugo ","Pinus","Pinaceae"
"ArboretumMidiM0","90861","Ranunculus aconitifolius subsp. typicus","Ranunculus aconitifolius L. subsp. typicus ",NA,NA
"ArboretumMidiM1","90868","Hamamelis virginiana","Hamamelis virginiana L.","Hamamelis","Hamamelidaceae"
"ArboretumMidiM1","90870","Juniperus x pfitzeriana","Juniperus chinensis""pfitzeriana""","Juniperus","Cupressaceae"
"ArboretumMidiN","90891","Crataegus monogyna","Crataegus monogyna Jacq.","Crataegus","Rosaceae"
"ArboretumMidiN","94251","Zanthoxylum americanum","Zanthoxylum americanum Mill.","Zanthoxylum","Rutaceae"
"ArboretumMidiN","221734","Kniphofia sp.","Kniphoffia sp.",NA,NA
"ArboretumMidiN","90894","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria Medicus","Vincetoxicum","Apocynaceae"
"ArboretumMidiN","90896","Pteridium aquilinum","Pteridium aquilinum (L.) Kuhn","Pteridium","Dennstaedtiaceae"
"ArboretumMidiN0","719858","Geum heterocarpum","Geum heterocarpum Boiss.","Geum","Rosaceae"
"ArboretumMidiN0","90859","Crocus sp.","Crocus sp.",NA,NA
"ArboretumMidiN0","90860","Potentilla sp.","Potentilla sp.",NA,NA
"ArboretumMidiN0","893008","Caragana arborescens","Caragana arborescens Lam.","Caragana","Fabaceae"
"ArboretumMidiN0","90871","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90872","Centranthus ruber","Centranthus ruber","Centranthus","Caprifoliaceae"
"ArboretumMidiN0","90873","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90874","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90875","Dianthus roysii","Dianthus gratianopolitanus cv. ‘'Royzii'‘",NA,NA
"ArboretumMidiN0","90876","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90877","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90878","Aubrieta x cultorum ‘Winterberg’","Aubrieta 'Winterberg'",NA,NA
"ArboretumMidiN0","90879","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90880","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90881","Acantholimon sp.","Acantholimon sp.",NA,NA
"ArboretumMidiN0","90882","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90883","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90884","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90885","Aubrieta sp.","Aubrieta sp.",NA,NA
"ArboretumMidiN0","90886","Dianthus roysii","Dianthus  gratianopolitanus'Royzii'",NA,NA
"ArboretumMidiN0","90887","Aubrieta x cultorum ‘Winterberg’","Aubrieta 'Winterberg'",NA,NA
"ArboretumMidiN0","90889","Juniperus communis","Juniperus communis L.","Juniperus","Cupressaceae"
"ArboretumMidiN0","90890","Crataegus laevigata","Crataegus laevigata (Poiret) DC.","Crataegus","Rosaceae"
"ArboretumMidiN0","90892","Haplopappus glutinosus","Haplopappus coronopifolius DC.","Haplopappus","Asteraceae"
"ArboretumMidiN0","96101","Cistus populifolius subsp. major","Cistus populifolius subsp. major ","Cistus","Cistaceae"
"ArboretumMidiN0","90895","Vinca major","Vinca major L.","Vinca","Apocynaceae"
"ArboretumOuest0","9259","Acer hybride ‘Ougon - Itaya’","Acer japonicum cv. ‘ ""Ougon - Itaya""‘",NA,NA
"ArboretumOuest0","200403","Cotoneaster horizontalis","Cotoneaster horizontalis Decne","Cotoneaster","Rosaceae"
"ArboretumOuest0","200403","Cotoneaster horizontalis","Cotoneaster horizontalis Decne","Cotoneaster","Rosaceae"
"ArboretumOuest0","200403","Cotoneaster horizontalis","Cotoneaster horizontalis Decne","Cotoneaster","Rosaceae"
"ArboretumOuest0","200399","Cotoneaster praecox","Cotonoeaster praecox (Bois et Berthault) Vilmorin-Andrieux","Cotoneaster","Rosaceae"
"ArboretumOuest0","200442","Phyllodoce aleutica","Phyllodoce aleutica (Spreng.) A. Heller","Phyllodoce","Ericaceae"
"ArboretumOuest0","200401","Anemone blanda ‘Radar’","Anemone ""Radar""",NA,NA
"ArboretumOuest0","200402","Cotoneaster rotundifolius","Cotoneaster rotundifolius Wall. ex Lindl.","Cotoneaster","Rosaceae"
"ArboretumOuest0","9344","Cotoneaster discolor","Cotoneaster discolor","Cotoneaster","Rosaceae"
"ArboretumOuest0","200405","Crocus korolkowii","Crocus korolkowii Maw ex Regel","Crocus","Iridaceae"
"ArboretumOuest0","8516","Cotoneaster horizontalis f. Saxatilis","Cotoneaster horizontalis Dcne.""Saxatilis""",NA,NA
"ArboretumOuest0","200407","Crocus angustifolius","Crocus angustifolius West.","Crocus","Iridaceae"
"ArboretumOuest0","200435","Erica sp.","Erica ",NA,NA
"ArboretumOuest0","8488","Cotoneaster suavis","Cotoneaster suaris","Cotoneaster","Rosaceae"
"ArboretumOuest0","200409","Crocus dalmaticus","Crocus dalmaticus Vis.","Crocus","Iridaceae"
"ArboretumOuest0","794375","Oxydendrum arboreum","Oxydendrun arboreum (L.) DC.","Oxydendrum","Ericaceae"
"ArboretumOuest0","215010","Acer griseum","Acer griseum","Acer","Sapindaceae"
"ArboretumOuest0","200410","Cotoneaster dielsianus","Cotoneaster dielsianus E. Pritz.","Cotoneaster","Rosaceae"
"ArboretumOuest0","8657","Vaccinium uliginosum","Vaccinium uliginosum L.","Vaccinium","Ericaceae"
"ArboretumOuest0","8657","Vaccinium uliginosum","Vaccinium uliginosum L.","Vaccinium","Ericaceae"
"ArboretumOuest0","8657","Vaccinium uliginosum","Vaccinium uliginosum L.","Vaccinium","Ericaceae"
"ArboretumOuest0","8657","Vaccinium uliginosum","Vaccinium uliginosum L.","Vaccinium","Ericaceae"
"ArboretumOuest0","200416","Lavandula sp.","Lavandula ",NA,NA
"ArboretumOuest0","200375","Enkianthus recurvus","Enkianthus recurvus Craib","Enkianthus","Ericaceae"
"ArboretumOuest0","200418","Calamintha nepeta","Calamintha nepeta (L.) Savi subsp.  nepeta ","Calamintha","Lamiaceae"
"ArboretumOuest0","9258","Acer palmatum ‘Shin-De-Shoujou’","Acer palmatum cv. ‘ ""Shin-De-Shoujou""‘",NA,NA
"ArboretumOuest0","200439","Erica sp.","Erica ",NA,NA
"ArboretumOuest0","200376","","Rhododendron -Koshuta 1600-",NA,NA
"ArboretumOuest0","200438","Vaccinium delavayi","Vaccinium delavayi","Vaccinium","Ericaceae"
"ArboretumOuest1","200390","Ribes sanguineum","Ribes sanguineum Pursh","Ribes","Grossulariaceae"
"ArboretumOuest1","200394","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus","Simaroubaceae"
"ArboretumOuest1","5400","Cotoneaster smithii","Cotoneaster smithii ? ""working names""","Cotoneaster","Rosaceae"
"ArboretumOuest1","214045","","",NA,NA
"ArboretumOuest1","214044","Syringa meyeri ‘Palibin’","Syringa meyeri cv. ‘'Palibin'‘",NA,NA
"ArboretumOuest1","214043","","Centaurea bella",NA,NA
"ArboretumOuest1","200392","Ruscus hypophyllum","Ruscus hypophyllum L.","Ruscus","Asparagaceae"
"ArboretumOuest1","200444","Cotoneaster sp.","Cotoneaster ",NA,NA
"ArboretumOuest1","200393","Sasa veitchii ‘minor’","Sasa veitchii Makino & Shibata'minor'",NA,NA
"ArboretumOuest1","200445","Cotoneaster sp.","Cotoneaster ",NA,NA
"ArboretumOuest1","213240","Acer campestre","Acer  campestre","Acer","Sapindaceae"
"ArboretumOuest1","200423","Syringa afghanica","Syringa afghanica Schneid.","Syringa","Oleaceae"
"ArboretumOuest1","200396","Cotoneaster henryanus","Cotoneaster henryanus Rehd. & Wils.","Cotoneaster","Rosaceae"
"ArboretumOuest1","2514","Cotoneaster obscurus","Cotoneaster obscurus Rehd. et  Wils.","Cotoneaster","Rosaceae"
"ArboretumOuest1","215009","Acer pseudo - sieboldianum","Acer pseudo-sieboldianum",NA,NA
"ArboretumOuest1","200420","Cotoneaster multiflorus","Cotoneaster multiflorus Bunge","Cotoneaster","Rosaceae"
"ArboretumOuest1","200421","Cotoneaster simonsii","Cotoneaster simonsii Bak.","Cotoneaster","Rosaceae"
"ArboretumOuest1","200422","Cotoneaster adpressus","Cotoneaster adpressus Bois.","Cotoneaster","Rosaceae"
"ArboretumOuest1","200424","Rosa chinensis ‘minima’","Rosa chinensis Jacq.""minima""",NA,NA
"ArboretumOuest1","200425","Anemone blanda","Anemone blanda Schott et Kotschy","Anemone","Ranunculaceae"
"ArboretumOuest1","200426","Daphne cneorum ‘'Major'’","Daphne cneorum L. var.  'Major' ",NA,NA
"ArboretumOuest1","208021","Ipomoea purpurea","Ipomea purpurea (L.) Rhot","Ipomoea","Convolvulaceae"
"ArboretumOuest1","200427","Othonna cheirifolia","Hertia cheirifolia (L.) O. Kuntze","Othonna","Asteraceae"
"ArboretumOuest1","200428","Gazania pinnata","Gazania pinnata (Thunb.) Less.","Gazania","Asteraceae"
"ArboretumOuest1","200443","Ipomoea hederacea","Ipomaea hederacea Jacq.","Ipomoea","Convolvulaceae"
"ArboretumOuest1","220097","","Aronia melanocarpa var. 'Viking' ",NA,NA
"ArboretumOuest1","221712","Gunnera tinctoria","Gunnera tinctoria","Gunnera","Gunneraceae"
"ArboretumOuest2","200415","","Stachyurus praecox Sieb. et Zucc.",NA,NA
"ArboretumOuest2","200398","Taxus baccata ‘Fastigiata’","Taxus baccata L.""Fastigiata""",NA,NA
"ArboretumOuest2","200430","Acer palmatum ‘Satsuki - Beni’","Acer palmatum cv. ‘ ""Satsuki - Beni""‘",NA,NA
"ArboretumOuest2","200400","Cotoneaster zabelii","Cotoneaster zabelii Schneid.","Cotoneaster","Rosaceae"
"ArboretumOuest2","200411","Stephanandra tanakae","Stephanandra tanakae (Franch. et Sav.) Franch. et Sav.","Stephanandra","Rosaceae"
"ArboretumOuest2","805009","Pinus mugo var. pumilio","Pinus mugo Turra subsp.  pumilio (Haenke) Franco","Pinus","Pinaceae"
"ArboretumOuest2","9260","Acer palmatum ‘Satsuki - Beni’","Acer palmatum Thunb. ex Murr. var. cv. ""Satsuki - Beni"" ",NA,NA
"ArboretumOuest2","893043","Liriodendron chinense","Liriodendron chinensis (Hemsl.) Sarg.","Liriodendron","Magnoliaceae"
"ArboretumOuest2","220105","Acer japonicum ‘Aconitifolium’","Acer  japonicum 'aconitifolium'",NA,NA
"ArboretumOuest2","220104","Acer oliverianum subsp. formosanum","Acer oliverianum subsp. formosanum ","Acer","Sapindaceae"
"ArboretumOuest2","220103","Acer palmatum ‘Sumi Nagashi’","Acer palmatumsumi ndgashi",NA,NA
"ArboretumOuest2","220102","Acer japonicum ‘vitifolium’","Acer japonicum cv. ‘'vitifolium'‘",NA,NA
"ArboretumOuest3","200374","Quercus rubra","Quercus rubra L.","Quercus","Fagaceae"
"ArboretumOuest3","220116","Buxus sempervirens ‘Rotundifolia’","Buxus sempervirens L.",NA,NA
"ArboretumOuest3","220110","Cornus mas","Cornus mas L.","Cornus","Cornaceae"
"ArboretumOuest3","220111","","Cornus officinalis Siebold & Zucc.",NA,NA
"ArboretumOuest3","220112","Prunus laurocerasus","Prunus laurocerasus L.","Prunus","Rosaceae"
"ArboretumOuest3","220113","","Rhododendron sp.",NA,NA
"ArboretumOuest3","220109","Prunus padus","Prunus padus L.","Prunus","Rosaceae"
"ArboretumOuest3","220106","Rhododendron luteum","Rhododendron luteum Sweet","Rhododendron","Ericaceae"
"ArboretumOuest3","200434","Rhododendron yakushimanum","Rhododendron yakushimanam Nakaiyakushimanum","Rhododendron","Ericaceae"
"ArboretumOuest3","220108","Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium","Ericaceae"
"ArboretumOuest3","221207","","Ligustrum sinense",NA,NA
"ArboretumOuest3","221226","Pieris japonica","Pieris japonica","Pieris","Ericaceae"
"ArboretumOuest3","8966","Rhododendron micranthum","Rhododendron micranthum Turcz.","Rhododendron","Ericaceae"
"ArboretumOuest3","220118","","Phyllostachys nigra (Lodd. ex Lindl.) Munro",NA,NA
"ArboretumOuest4","220121","","Cupressus macrocarpa Hartw.",NA,NA
"ArboretumOuest4","200417","Laurus nobilis","Laurus nobilis L.","Laurus","Lauraceae"
"ArboretumOuest4","200419","Juniperus oxycedrus","Juniperus oxycedrus L.","Juniperus","Cupressaceae"
"ArboretumOuest4","221161","Cymbalaria muralis","Cymbalaria muralis","Cymbalaria","Plantaginaceae"
"ArboretumOuest4","221343","Vitis vinifera","Vitis vinifera 'Nero'","Vitis","Vitaceae"
"ArboretumOuest4","90676","Perovskia atriplicifolia","Perovskia atriplicifolia Benth.","Perovskia","Lamiaceae"
"ArboretumOuest4","220120","Rosa rugosa","Rosa rugosa Thunb.","Rosa","Rosaceae"
"ArboretumOuest4","220123","","Rosa x rugosa cv. ‘Thérèse Bugnet‘",NA,NA
"ArboretumOuest4","220122","Umbellularia californica","Umbellularia californica (Hook. & Arn.) Nutt.","Umbellularia","Lauraceae"
"ArboretumOuest4","220119","Vitex agnus-castus","Vitex agnus-castus L.","Vitex","Lamiaceae"
"ArboretumOuest4","221811","Galium odoratum","Galium odoratum","Galium","Rubiaceae"
"ArboretumOuest4","221812","","Polystichum setiferum ",NA,NA
"ArboretumOuest4","221813","Myrrhis odorata","Myrrhis odorata","Myrrhis","Apiaceae"
"ArboretumOuest4","221814","","Mentha x rotundifolia",NA,NA
"ArboretumOuest4","221815","Convallaria majalis","Convallaria majalis","Convallaria","Asparagaceae"
"ArboretumOuest4","221816","Thymus vulgaris","Thymus vulgaris","Thymus","Lamiaceae"
"ArboretumOuest4","221817","Rosmarinus officinalis","Rosmarinus officinalis","Rosmarinus","Lamiaceae"
"ArboretumOuest4","221818","Helichrysum italicum","Helichrysum italicum cv. 'Curry'","Helichrysum","Asteraceae"
"ArboretumOuest4","221819","Narcissus poeticus","Narcissus poeticus var. recurvus","Narcissus","Amaryllidaceae"
"ArboretumOuest4","221820","Salvia sp.","Salvia sp.",NA,NA
"ArboretumOuest4","221821","Lonicera sp.","Lonicera sp.",NA,NA
"ArboretumOuest4","221822","Narcissus poeticus","Narcissus poeticus","Narcissus","Amaryllidaceae"
"CoucheBulbesGélifs","202276","Ornithogalum longibracteatum","Ornithogalum longibracteatum","Ornithogalum","Asparagaceae"
"CoucheBulbesGélifs","96748","","Ophiopogon japonicus (L. f.) Ker-Gawl.",NA,NA
"CoucheBulbesGélifs","70114","","Arisarum simorrhium Dur",NA,NA
"CoucheBulbesGélifs","96760","Commelina tuberosa","Commelina tuberosa L.","Commelina","Commelinaceae"
"CoucheBulbesGélifs","206844","Capparis spinosa subsp. rupestris","Capparis spinosa subsp. inermis Turra","Capparis","Capparaceae"
"CoucheBulbesGélifs","98600","","Lachenalia aloides var. quadricolor ",NA,NA
"CoucheBulbesGélifs","96756","","Amorphophallus konjac K. Koch",NA,NA
"CoucheBulbesGélifs","96766","Chasmanthe aethiopica","Antholyza aethiopica L. var. vittigera (Salisbury) Baker","Chasmanthe","Iridaceae"
"CoucheBulbesGélifs","206538","","Biarum raemseleri",NA,NA
"CoucheBulbesGélifs","96772","","Gladiolus natalensis (Eckl.) Reinw. ex Hook.",NA,NA
"CoucheBulbesGélifs","96769","","Narcissus tazetta L. subsp. italica ",NA,NA
"CoucheBulbesGélifs","97586","","",NA,NA
"CoucheBulbesGélifs","96797","","Albuca melleri",NA,NA
"CoucheBulbesGélifs","96759","","Urginea maritima (L.) Bak.",NA,NA
"CoucheBulbesGélifs","206540","","Urginea maritima (L.) Bak.",NA,NA
"CoucheBulbesGélifs","96812","","Romulea rosea",NA,NA
"CoucheBulbesGélifs","206541","","indéterminé ",NA,NA
"CoucheBulbesGélifs","96781","","Hyacinthoides hispanica X non-scripta",NA,NA
"CoucheBulbesGélifs","80882","Colchicum lusitanicum","Colchicum lusitanicum","Colchicum","Colchicaceae"
"CoucheBulbesGélifs","96807","","Freesia refracta (Jacq.) Eckl. ex Klatt",NA,NA
"CoucheBulbesGélifs","96754","","Zephyranthes atamasco (L.) Herb.",NA,NA
"CoucheBulbesGélifs","96806","","Lycoris radiata (L'Hérit.) Herb.",NA,NA
"CoucheBulbesGélifs","98606","","Lachenalia aloides var. aurea ",NA,NA
"CoucheBulbesGélifs","96750","","Antholyza aethiopica L. var. vittigera (Salisbury) Baker",NA,NA
"CoucheBulbesGélifs","206542","","Pancratium maritimum",NA,NA
"CoucheBulbesGélifs","96793","","Doryanthes excelsa",NA,NA
"CoucheBulbesGélifs","200146","","Zephyranthes minima",NA,NA
"CoucheBulbesGélifs","77337","","Liriope minor",NA,NA
"CoucheBulbesGélifs","96792","","Crinum X powellii",NA,NA
"CoucheBulbesGélifs","88798","Oncostema peruviana","Scilla peruviana L.","Oncostema","Asparagaceae"
"CoucheBulbesGélifs","96800","Oncostema peruviana","Scilla peruviana L.","Oncostema","Asparagaceae"
"CoucheBulbesGélifs","96783","","Biarum carratracense (Haenseler ex Willk.) Font Quer",NA,NA
"CoucheBulbesGélifs","96758","","Eucomis autumnalis (Mill.) Chitt.",NA,NA
"CoucheBulbesGélifs","96801","","Ferraria undulata",NA,NA
"CoucheBulbesGélifs","87204","Iris unguicularis","Iris unguicularis","Iris","Iridaceae"
"CoucheBulbesGélifs","96784","","Watsonia bulbillifera J. W. Math. & L. Bol.",NA,NA
"CoucheBulbesGélifs","96798","","Ferraria undulata",NA,NA
"CoucheBulbesGélifs","96765","","Tulbaghia capensis L.",NA,NA
"CoucheBulbesGélifs","96799","Zephyranthes candida","Zephyranthes candida (Lindl.) Herb.","Zephyranthes","Amaryllidaceae"
"CoucheBulbesGélifs","206537","","Amaryllis bella-donna",NA,NA
"CoucheBulbesGélifs","96774","","Cyanelia capensis",NA,NA
"CoucheBulbesGélifs","200145","","Zephyranthes lindleyana",NA,NA
"CoucheBulbesGélifs","96803","","Aa ",NA,NA
"CoucheBulbesGélifs","96795","","Hypoxis sp.",NA,NA
"CoucheBulbesGélifs","76480","","Aa ",NA,NA
"CoucheBulbesGélifs","206543","","Scilla maritima",NA,NA
"CoucheBulbesGélifs","96749","","Polygonatum humile",NA,NA
"CoucheBulbesGélifs","96782","","Dasylirion longissimum Lem.",NA,NA
"CoucheBulbesGélifs","97557","","Oxalis deppei Lodd. ex Sweet",NA,NA
"CoucheBulbesGélifs","96757","","Anigozanthos flavidus DC.",NA,NA
"CoucheBulbesGélifs","206535","","Dianella ?? ",NA,NA
"CoucheBulbesGélifs","96817","Iris japonica","Iris japonica Thunb.","Iris","Iridaceae"
"CoucheBulbesGélifs","96814","","Amaryllis bella-donna L.",NA,NA
"CoucheBulbesGélifs","97559","","Iris xiphium L.",NA,NA
"CoucheBulbesGélifs","96777","Liriope graminifolia","Liriope graminifolia","Liriope","Asparagaceae"
"CoucheBulbesGélifs","96818","Beschorneria yuccoides","Beschorneria yuccoides","Beschorneria","Asparagaceae"
"CoucheBulbesGélifs","206536","","Tulbagia ",NA,NA
"CoucheBulbesGélifs","97534","","Eucomis bicolor Bak.",NA,NA
"CoucheBulbesGélifs","97573","","",NA,NA
"CoucheBulbesGélifs","97554","","Dierama pulcherrimum (Hook. f.) Back",NA,NA
"CoucheBulbesGélifs","96751","Anomatheca laxa","Anomatheca laxa (Thunb.) Goldblatt","Anomatheca","Iridaceae"
"CoucheBulbesGélifs","97581","","",NA,NA
"CoucheBulbesGélifs","97575","","",NA,NA
"CoucheBulbesGélifs","97546","","Hermodactylus tuberosus (L.) Mil.",NA,NA
"CoucheBulbesGélifs","96796","","Albuca canadensis",NA,NA
"CoucheBulbesGélifs","75435","","Iris bakeriana M. Foster",NA,NA
"CoucheBulbesGélifs","97545","","Iris bakeriana M. Foster",NA,NA
"CoucheBulbesGélifs","96826","","Crinum bulbispermum (Burm. f.) Milne-Redh. et Schweickerdt",NA,NA
"CoucheBulbesGélifs","96819","Veltheimia bracteata","Veltheimia bracteata Bak.","Veltheimia","Asparagaceae"
"CoucheBulbesGélifs","96825","","Romulea rosea",NA,NA
"CoucheBulbesGélifs","97542","","Zephyranthes tubiflora (L'Hérit.) Schinz",NA,NA
"CoucheBulbesGélifs","97538","","Habranthus tubispathus (L'Hérit.) Traub",NA,NA
"CoucheBulbesGélifs","97583","","",NA,NA
"CoucheBulbesGélifs","97552","Dracunculus vulgaris","Dracunculus  vulgaris Schott","Dracunculus","Araceae"
"CoucheBulbesGélifs","97537","","Sauromatum venosum (Ait.) Kunth",NA,NA
"CoucheBulbesGélifs","77603","","Iris persica L.",NA,NA
"CoucheBulbesGélifs","77448","","Lachenalia unifolia Jacq.",NA,NA
"CoucheBulbesGélifs","97585","","Tigridia pavonia (L.f.) DC.",NA,NA
"CoucheBulbesGélifs","97571","","Geissorhiza imbricata Ker. -Gawl.",NA,NA
"CoucheBulbesGélifs","97539","","Amaryllis bella-donna L.",NA,NA
"CoucheBulbesGélifs","77441","","Barbiana disticha",NA,NA
"CoucheBulbesGélifs","76242","","Lapiedra martinezii Lag.",NA,NA
"CoucheBulbesGélifs","97553","","Aristea cyanea Ait.",NA,NA
"CoucheBulbesGélifs","97567","","Dietes grandiflora",NA,NA
"CoucheBulbesGélifs","96805","","Eucomis comosa (Houtt.) Wehrh.",NA,NA
"CoucheBulbesGélifs","97582","","",NA,NA
"CoucheBulbesGélifs","96748","","Ophiopogon japonicus (L. f.) Ker-Gawl.",NA,NA
"CoucheBulbesGélifs","87204","Iris unguicularis","Iris unguicularis","Iris","Iridaceae"
"CoucheBulbesGélifs","206534","","Eucomis zambeschia",NA,NA
"CoucheBulbesGélifs","97563","","Arisarum vulgare O. Targ.-Tozz.",NA,NA
"CoucheBulbesGélifs","77337","","Liriope minor",NA,NA
"CoucheBulbesGélifs","202204","Lilium monadelphum","Lilium monadelphum","Lilium","Liliaceae"
"CoucheBulbesGélifs","97556","","Tulbaghia violacea Harv.",NA,NA
"CoucheBulbesGélifs","97543","","Riposcis rooperi",NA,NA
"CoucheBulbesGélifs","96782","","Dasylirion longissimum Lem.",NA,NA
"CoucheBulbesGélifs","77591","","Neomarica vittata Spagne",NA,NA
"CoucheBulbesGélifs","206844","Capparis spinosa subsp. rupestris","Capparis spinosa subsp. inermis Turra","Capparis","Capparaceae"
