Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;1962-43701;K:LCD-1962-43701*1;Berberis napaulensis var. napaulensis;Mahonia acanthifolia;Mahonia;Berberidaceae;;;;17-10-2023
ALIVE;1973-12215;K:LCD-1973-12215*2;Rhododendron simsii;Rhododendron simsii;Rhododendron;Ericaceae;;;;22-05-2024
ALIVE;1959-14903;K:LCD-1959-14903*1;Fuchsia microphylla subsp. aprica;Fuchsia microphylla subsp. aprica;Fuchsia;Onagraceae;;N - Natural Source and Progeny;Guatemala;01-08-2024
ALIVE;1991-1632;K:LCD-1991-1632*1;Tecomaria capensis;Tecomaria capensis;Tecomaria;Bignoniaceae;;;;21-08-2023
ALIVE;1948-52201;K:LCD-1948-52201*2;Schotia latifolia;Schotia latifolia;Schotia;Fabaceae;;;;21-06-2022
ALIVE;1986-2802;K:LCD-1986-2802*1;Gymnanthemum amygdalinum;Vernonia amygdalina;Vernonia;Asteraceae;;;;23-06-2022
ALIVE;2005-2481;K:LCD-2005-2481*1;Impatiens balansae;Impatiens balansae;Impatiens;Balsaminaceae;;;;21-11-2024
ALIVE;1980-4525;K:LCD-1980-4525*2;Fuchsia microphylla;Fuchsia microphylla;Fuchsia;Onagraceae;;N - Natural Source and Progeny;Mexico;21-10-2024
ALIVE;1957-72101;K:LCD-1957-72101*1;Ilex cyrtura;Ilex cyrtura;Ilex;Aquifoliaceae;;;;24-05-2024
ALIVE;1996-4618;K:LCD-1996-4618*5;Rhododendron scopulorum;Rhododendron scopulorum;Rhododendron;Ericaceae;;N - Natural Source and Progeny;Bhutan;17-10-2023
ALIVE;1991-1627;K:LCD-1991-1627*1;Vachellia xanthophloea;Acacia xanthophloea;Acacia;Fabaceae;;;;17-10-2024
ALIVE;1986-6008;K:LCD-1986-6008*4;Spathodea campanulata;Spathodea campanulata;Spathodea;Bignoniaceae;;;;23-06-2022
ALIVE;1991-1353;K:LCD-1991-1353*1;Holmskioldia sanguinea;Holmskioldia sanguinea;Holmskioldia;Lamiaceae;;;;10-10-2024
ALIVE;1969-51235;K:LCD-1969-51235*1;Citharexylum ligustrifolium;Citharexylum ligustrifolium;Citharexylum;Verbenaceae;;;;25-07-2022
