Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-2013-1241*3;Etlingera elatior;Princess of Wales Conservatory;01;26;
K:LCD-1988-888*1;Dracaena fragrans 'Lindenii';Princess of Wales Conservatory;01;06;
K:LCD-1990-2292*5;Begonia goudotii;Princess of Wales Conservatory;03;22;
K:LCD-1969-50932*2;Neoregelia spectabilis;Princess of Wales Conservatory;01;06;
K:LCD-1973-20962*3;Jacobinia suberecta;Princess of Wales Conservatory;01;15;
K:LCD-1973-13784*4;Lygodium japonicum;Princess of Wales Conservatory;04;05;
K:LCD-2005-75*4;Pelargonium greytonense;Princess of Wales Conservatory;03;HB;
K:LCD-1994-1111*5;Polypodium;Princess of Wales Conservatory;01;03;CONTAINER
K:LCD-1977-863*2;Aeschynanthus pulcher;Princess of Wales Conservatory;05;01;
K:LCD-1975-6102*1;Aeonium undulatum;Princess of Wales Conservatory;03;22;
K:LCD-1993-3118*3;Hanguana neglecta;Princess of Wales Conservatory;08;01;
K:LCD-1983-1534*2;Nephrolepis cordifolia 'Auriculata';Princess of Wales Conservatory;05;02;
K:LCD-1962-67105*1;Anthurium sellowianum;Princess of Wales Conservatory;01;08;
K:LCD-2013-1176*3;Callipteris prolifera;Princess of Wales Conservatory;04;05;
K:LCD-1981-4183*3;Calathea wiotii;Princess of Wales Conservatory;01;21;
K:LCD-2011-804*2;Passiflora hahnii;Princess of Wales Conservatory;05;04;
K:LCD-2014-927*2;Passiflora xiikzodz;Princess of Wales Conservatory;01;19;
K:LCD-2003-829*2;Phragmipedium Cardinale gx;Princess of Wales Conservatory;06;02;
K:LCD-1973-20201*2;Passiflora sexocellata;Princess of Wales Conservatory;01;16;
K:LCD-1968-30108*2;Culcasia scandens;Princess of Wales Conservatory;01;05;
K:LCD-1977-5421*1;Solanecio buchwaldii;Princess of Wales Conservatory;03;21;
K:LCD-1982-534*4;Piper nigrum;Princess of Wales Conservatory;01;27;
K:LCD-1991-1781*1;Boswellia sacra;Princess of Wales Conservatory;03;05;
K:LCD-1974-3916*2;Chrysothemis pulchella;Princess of Wales Conservatory;01;20;SHELF
K:LCD-1979-2441*2;Philodendron glaziovii;Princess of Wales Conservatory;01;25;
K:LCD-1972-33*2;Neoregelia cruenta;Princess of Wales Conservatory;01;14;
K:LCD-1973-13865*2;Goeppertia rufibarba;Princess of Wales Conservatory;01;28;
K:LCD-1980-1800*1;Myriocarpa stipitata;Princess of Wales Conservatory;04;05;
K:LCD-1995-500*2;Saintpaulia ionantha subsp. grotei;Princess of Wales Conservatory;01;21;
K:LCD-1989-2592*2;Peperomia magnoliifolia 'Variegata';Princess of Wales Conservatory;01;07;
K:LCD-1997-6113*5;Lavandula minutolii var. minutolii;Princess of Wales Conservatory;03;13;
K:LCD-1965-75317*1;Cyphostemma juttae;Princess of Wales Conservatory;03;03;
K:LCD-1988-2071*3;Senecio pyramidatus;Princess of Wales Conservatory;03;21;
K:LCD-2008-1148*2;Cryptanthus whitmanii;Princess of Wales Conservatory;01;12;
K:LCD-2004-2562*1;Pelargonium cucullatum 'Flore Pleno';Princess of Wales Conservatory;03;10;
K:LCD-1970-6171*1;Cibotium hawaiense;Princess of Wales Conservatory;04;09;
K:LCD-1996-1267*1;Rhaphidophora sylvestris;Princess of Wales Conservatory;01;02;
K:LCD-2002-502*5;Nymphaea 'Green Smoke';Princess of Wales Conservatory;01;POND;
K:LCD-2000-2230*1;Lithops salicola;Princess of Wales Conservatory;03;08;
K:LCD-1955-20202*2;Cheiridopsis speciosa;Princess of Wales Conservatory;03;08;
K:LCD-1979-4434*4;Typhonodorum lindleyanum;Princess of Wales Conservatory;01;POND;
K:LCD-1982-1866*2;Echeveria sedoides;Princess of Wales Conservatory;03;16;
K:LCD-1962-44003*3;Echeveria × expatriata;Princess of Wales Conservatory;03;16;
K:LCD-2009-1140*2;Echeveria setosa var. minor;Princess of Wales Conservatory;03;14;
K:LCD-1961-18802*3;Echeveria derenbergii;Princess of Wales Conservatory;03;14;
K:LCD-1988-2077*5;Echeveria leucotricha;Princess of Wales Conservatory;03;16;
K:LCD-1978-1764*3;Crinum erubescens;Princess of Wales Conservatory;01;POND;
K:LCD-1999-4350*4;Anthurium palmatum;Princess of Wales Conservatory;01;09;
K:LCD-1981-2959*3;Aeonium;Princess of Wales Conservatory;03;02;
K:LCD-2001-2920*3;Drosera binata 'Marston Dragon';Princess of Wales Conservatory;09;04;
K:LCD-2005-2356*3;Pelargonium lanceolatum;Princess of Wales Conservatory;10;01;
K:LCD-1990-1113*2;Haemanthus humilis subsp. hirsutus;Princess of Wales Conservatory;10;01;
K:LCD-1975-2223*6;Aeonium undulatum;Princess of Wales Conservatory;03;13;
K:LCD-1976-3775*4;Aeonium lindleyi subsp. lindleyi;Princess of Wales Conservatory;03;13;
K:LCD-1979-815*4;Aeonium haworthii;Princess of Wales Conservatory;03;13;
K:LCD-1976-3788*4;Aeonium percarneum;Princess of Wales Conservatory;03;13;
K:LCD-1977-2665*4;Aeonium vestitum;Princess of Wales Conservatory;03;13;
K:LCD-1976-3798*3;Aeonium ciliatum;Princess of Wales Conservatory;03;13;
K:LCD-1977-3183*3;Aeonium chrysanthum;Princess of Wales Conservatory;03;13;
K:LCD-1976-3801*4;Aeonium hierrense;Princess of Wales Conservatory;03;13;
K:LCD-2010-2062*2;Agave;Princess of Wales Conservatory;03;19;
K:LCD-1959-70406*2;Agave spicata;Princess of Wales Conservatory;03;19;
K:LCD-1988-120*8;Nesocodon mauritianus;Princess of Wales Conservatory;07;03;
K:LCD-1999-31*3;Trichodiadema densum;Princess of Wales Conservatory;10;01;
K:LCD-1961-23503*2;Pelargonium inquinans;Princess of Wales Conservatory;10;01;
K:LCD-2008-612*2;Pinguicula hemiepiphytica;Princess of Wales Conservatory;07;02;
K:LCD-2004-2854*3;Pelargonium cordifolium;Princess of Wales Conservatory;10;01;
K:LCD-1974-2444*2;Haworthia coarctata;Princess of Wales Conservatory;10;01;
K:LCD-1963-66304*2;Haworthia longiana;Princess of Wales Conservatory;10;01;
K:LCD-1986-762*4;Pinguicula esseriana;Princess of Wales Conservatory;07;02;EPIPHYTE
K:LCD-2003-2491*2;Thunia Gatton gx;Princess of Wales Conservatory;01;03;SHELF
K:LCD-1963-67306*8;Arachniodes chinensis;Princess of Wales Conservatory;05;05;
K:LCD-1946-34801*3;Oleandra neriiformis;Princess of Wales Conservatory;04;11;
K:LCD-1963-67306*7;Arachniodes chinensis;Princess of Wales Conservatory;05;02;
K:LCD-1971-2556*4;Selliguea plantaginea;Princess of Wales Conservatory;05;01;
K:LCD-1994-1101*2;Arthropteris palisotii;Princess of Wales Conservatory;04;06;
K:LCD-1962-58001*3;Selaginella serpens;Princess of Wales Conservatory;04;10;
K:LCD-2013-1210*2;Lygodium circinnatum;Princess of Wales Conservatory;04;07;
K:LCD-2001-2919*3;Drosera binata;Princess of Wales Conservatory;09;05;
K:LCD-1998-1499*3;Sarracenia alata × leucophylla;Princess of Wales Conservatory;09;04;
K:LCD-1988-1910*2;Drosera ericksoniae;Princess of Wales Conservatory;09;05;
K:LCD-1998-3994*2;Selaginella braunii;Princess of Wales Conservatory;04;07;
K:LCD-1998-4029*3;Selaginella obtusa;Princess of Wales Conservatory;04;07;
K:LCD-2003-838*2;Paphiopedilum hybrid;Princess of Wales Conservatory;06;02;
K:LCD-1973-5060*3;Davallia elegans;Princess of Wales Conservatory;05;04;
K:LCD-1963-67308*2;Lygodium japonicum;Princess of Wales Conservatory;05;05;
K:LCD-1976-3205*2;Selaginella caulescens;Princess of Wales Conservatory;04;01;
K:LCD-1974-3096*2;Edanyoa difformis;Princess of Wales Conservatory;04;07;
K:LCD-2001-2747*3;Sarracenia minor 'Okefenokee Giant';Princess of Wales Conservatory;09;03;
K:LCD-2012-678*3;Aeonium tabuliforme;Princess of Wales Conservatory;03;13;
K:LCD-1938-85301*2;Odontonema tubaeforme;Princess of Wales Conservatory;01;15;
K:LCD-1994-542*4;Neoregelia cyanea;Princess of Wales Conservatory;01;15;
K:LCD-1971-4163*3;Neoregelia ampullacea;Princess of Wales Conservatory;01;15;
K:LCD-1972-4024*3;Nidularium procerum;Princess of Wales Conservatory;01;15;
K:LCD-2008-1998*4;Vriesea schwackeana;Princess of Wales Conservatory;01;12;
K:LCD-1974-3930*2;Aechmea nudicaulis var. cuspidata;Princess of Wales Conservatory;01;12;
K:LCD-1972-213*5;Canistrum viride;Princess of Wales Conservatory;01;12;
K:LCD-1972-170*2;Quesnelia arvensis;Princess of Wales Conservatory;01;12;
K:LCD-1934-18802*2;Aechmea recurvata var. ortgiesii;Princess of Wales Conservatory;01;12;
K:LCD-1979-3582*2;Canistropsis burchellii;Princess of Wales Conservatory;01;11;
K:LCD-2000-3044*4;Tillandsia samaipatensis;Princess of Wales Conservatory;01;12;
K:LCD-1972-56*3;Neoregelia compacta;Princess of Wales Conservatory;01;12;
K:LCD-2008-2304*2;Neoregelia roethii;Princess of Wales Conservatory;01;15;
K:LCD-2000-3046*3;Guzmania lingulata var. cardinalis;Princess of Wales Conservatory;01;15;
K:LCD-2008-1598*3;Nidularium innocentii;Princess of Wales Conservatory;01;15;
K:LCD-1972-4011*2;Neoregelia johannis;Princess of Wales Conservatory;01;15;
K:LCD-2008-2302*2;Hylaeaicum margaretae;Princess of Wales Conservatory;01;15;
K:LCD-1977-923*2;Hohenbergia edmundoi;Princess of Wales Conservatory;01;15;
K:LCD-2011-802*3;Passiflora antioquiensis;Princess of Wales Conservatory;02;07;
K:LCD-1953-58201*7;Ptychosperma elegans;Princess of Wales Conservatory;02;08;
K:LCD-1963-16006*6;Cibotium glaucum;Princess of Wales Conservatory;02;08;
K:LCD-1992-2097*5;Begonia gehrtii;Princess of Wales Conservatory;02;05;
K:LCD-1969-4110*3;Begonia thiemei;Princess of Wales Conservatory;02;08;
K:LCD-1994-3391*4;Equisetum giganteum;Princess of Wales Conservatory;02;05;
K:LCD-2003-3570*2;Aechmea caudata;Princess of Wales Conservatory;01;02;
K:LCD-1983-4483*2;Hoya;Princess of Wales Conservatory;01;09;
K:LCD-1988-3156*2;Hoya globulosa;Princess of Wales Conservatory;01;11;
K:LCD-1984-3830*2;Hoya longifolia;Princess of Wales Conservatory;01;17;
K:LCD-1974-1315*2;Hoya australis;Princess of Wales Conservatory;01;15;
K:LCD-1972-3683*2;Haworthia transiens;Princess of Wales Conservatory;03;;
K:LCD-1973-12125*5;Doodia aspera;Princess of Wales Conservatory;02;07;
K:LCD-1978-4550*7;Impatiens grandis;Princess of Wales Conservatory;02;03;
K:LCD-1978-337*3;Hedychium ellipticum;Princess of Wales Conservatory;02;03;
K:LCD-1994-3147*3;Sarmienta scandens;Princess of Wales Conservatory;02;04;
K:LCD-1984-2381*6;Impatiens niamniamensis;Princess of Wales Conservatory;02;04;
K:LCD-2014-1346*5;Lobelia boninensis;Princess of Wales Conservatory;02;08;
K:LCD-2013-1176*5;Callipteris prolifera;Princess of Wales Conservatory;02;08;
K:LCD-1974-3096*3;Edanyoa difformis;Princess of Wales Conservatory;02;03;
K:LCD-1998-4024*2;Selaginella microphylla;Princess of Wales Conservatory;02;03;
K:LCD-1991-580*3;Woodwardia radicans;Princess of Wales Conservatory;02;04;
K:LCD-1991-1092*4;Cryosophila warscewiczii;Princess of Wales Conservatory;01;10;
K:LCD-2009-3267*4;Sabal etonia;Princess of Wales Conservatory;01;15;
K:LCD-2008-1197*2;Utricularia longifolia;Princess of Wales Conservatory;08;02;
K:LCD-2008-1998*5;Vriesea schwackeana;Princess of Wales Conservatory;01;02;
K:LCD-2008-1598*4;Nidularium innocentii;Princess of Wales Conservatory;01;02;
K:LCD-1979-3528*6;Aechmea filicaulis;Princess of Wales Conservatory;01;02;
K:LCD-1972-4050*4;Vriesea × retroflexa;Princess of Wales Conservatory;01;02;
K:LCD-1963-72303*5;Rhododendron macgregoriae;Princess of Wales Conservatory;02;05;
K:LCD-1945-22601*7;Impatiens niamniamensis;Princess of Wales Conservatory;02;05;
K:LCD-1979-1772*2;Aechmea chlorophylla;Princess of Wales Conservatory;01;11;
K:LCD-2008-1699*2;Nidularium campos-portoi var. campos-portoi;Princess of Wales Conservatory;01;11;
K:LCD-1981-4671*2;Tillandsia tricolor;Princess of Wales Conservatory;01;11;
K:LCD-1974-832*2;Aechmea alba;Princess of Wales Conservatory;01;11;
K:LCD-1974-3930*3;Aechmea nudicaulis var. cuspidata;Princess of Wales Conservatory;01;15;
K:LCD-1982-1624*2;Aechmea abbreviata;Princess of Wales Conservatory;01;02;
K:LCD-2003-3571*3;Aechmea caudata f. albiflora;Princess of Wales Conservatory;01;02;
K:LCD-1956-52407*2;Agave filifera;Princess of Wales Conservatory;03;12;
K:LCD-1981-4218*2;Rhaphidophora decursiva;Princess of Wales Conservatory;01;08;
K:LCD-1979-215*1;Sansevieria caulescens;Princess of Wales Conservatory;03;21;
K:LCD-1962-2607*3;Blechnum lehmannii;Princess of Wales Conservatory;06;02;
K:LCD-1979-2684*4;Hemionitis achariorum;Princess of Wales Conservatory;04;07;
K:LCD-1981-5648*1;Crinum asiaticum;Princess of Wales Conservatory;01;06;
K:LCD-2003-2351*2;Phragmipedium Albopurpureum gx;Princess of Wales Conservatory;07;03;
K:LCD-1981-4207*3;Sarcophrynium schweinfurthianum var. puberulifolium;Princess of Wales Conservatory;01;21;
K:LCD-1969-17410*5;Rhododendron scopulorum;Princess of Wales Conservatory;05;04;
K:LCD-1978-3835*5;Nematanthus crassifolius;Princess of Wales Conservatory;01;HB;
K:LCD-1964-73301*3;Doodia media;Princess of Wales Conservatory;05;05;
K:LCD-2013-1465*5;Costus comosus var. bakeri;Princess of Wales Conservatory;01;20;
K:LCD-2011-367*2;Gibbaeum dispar;Princess of Wales Conservatory;03;08;
K:LCD-1981-2377*1;Ctenanthe burle-marxii;Princess of Wales Conservatory;01;07;
K:LCD-1974-1421*2;Blechnum serrulatum;Princess of Wales Conservatory;04;06;
K:LCD-1958-63002*3;Senecio medley-woodii;Princess of Wales Conservatory;03;21;
K:LCD-2000-4221*2;Cyrtomium caryotideum;Princess of Wales Conservatory;07;03;
K:LCD-1953-40702*3;Anchomanes difformis;Princess of Wales Conservatory;01;06;
K:LCD-2011-816*2;Passiflora coriacea;Princess of Wales Conservatory;01;15;
K:LCD-2004-2896*2;Barleria strigosa;Princess of Wales Conservatory;01;03;
K:LCD-1988-3814*2;Tillandsia propagulifera;Princess of Wales Conservatory;01;02;
K:LCD-2000-2719*2;Begonia corallina;Princess of Wales Conservatory;01;23;
K:LCD-1973-13745*2;Pyrrosia heteractis;Princess of Wales Conservatory;08;01;TREE
K:LCD-2007-1057*4;Begonia 'Silver Cloud';Princess of Wales Conservatory;05;07;
K:LCD-1985-2346*3;Gasteria pillansii var. pillansii;Princess of Wales Conservatory;03;01;
K:LCD-1973-13198*1;Philodendron squamiferum;Princess of Wales Conservatory;01;26;E7
K:LCD-1977-3747*2;Sansevieria suffruticosa;Princess of Wales Conservatory;03;21;
K:LCD-2000-2174*2;Lithops hookeri;Princess of Wales Conservatory;03;08;
K:LCD-1973-13013*2;Fittonia albivenis 'Gigantea';Princess of Wales Conservatory;01;02;
K:LCD-1979-3155*4;Dieffenbachia seguine;Princess of Wales Conservatory;01;22;
K:LCD-1981-4820*2;Braunsia apiculata;Princess of Wales Conservatory;03;08;
K:LCD-1973-13270*3;Begonia rex 'Pride of St.Albans';Princess of Wales Conservatory;04;03;
K:LCD-1973-13306*1;Dyckia frigida;Princess of Wales Conservatory;03;23;
K:LCD-1965-54701*2;Kleinia galpinii;Princess of Wales Conservatory;03;21;
K:LCD-1981-6375*2;Peperomia abyssinica;Princess of Wales Conservatory;01;27;
K:LCD-1984-8223*3;Pitcairnia recurvata;Princess of Wales Conservatory;01;11;
K:LCD-1976-269*1;Hydnophytum moseleyanum;Princess of Wales Conservatory;01;09;LOG
K:LCD-1973-13121*2;Anthurium regale;Princess of Wales Conservatory;01;06;
K:LCD-1965-52307*2;Hedychium coronarium;Princess of Wales Conservatory;02;03;
K:LCD-1969-1778*2;Peperomia flexicaulis;Princess of Wales Conservatory;01;27;
K:LCD-1988-1935*1;Tillandsia rauhii;Princess of Wales Conservatory;01;11;
K:LCD-2004-2691*4;Pelargonium cordifolium;Princess of Wales Conservatory;03;11;
K:LCD-2012-468*1;Guzmania 'Sugar Belly';Princess of Wales Conservatory;;;
K:LCD-1981-4189*1;Calathea micans;Princess of Wales Conservatory;01;28;
K:LCD-1973-13769*1;Calathea zebrina;Princess of Wales Conservatory;01;28;
K:LCD-1985-5301*1;Yucca baccata;Princess of Wales Conservatory;03;12;
K:LCD-1989-3466*3;Fuchsia arborescens;Princess of Wales Conservatory;02;04;
K:LCD-1979-1054*2;Kabuyea hostifolia;Princess of Wales Conservatory;01;05;
K:LCD-1984-3343*2;Hoya pubicalyx;Princess of Wales Conservatory;04;08;
K:LCD-1988-2069*2;Senecio scaposus;Princess of Wales Conservatory;03;03;
K:LCD-1995-2035*3;Hedychium spicatum;Princess of Wales Conservatory;04;11;
K:LCD-1981-2375*3;Saranthe;Princess of Wales Conservatory;01;29;
K:LCD-2009-506*2;Brownea grandiceps;Princess of Wales Conservatory;01;07;
K:LCD-1999-27*2;Mestoklema tuberosum;Princess of Wales Conservatory;03;07;
K:LCD-2004-2565*1;Pelargonium ribifolium;Princess of Wales Conservatory;03;09;
K:LCD-1973-13270*1;Begonia rex 'Pride of St.Albans';Princess of Wales Conservatory;01;23;
K:LCD-2008-1605*4;Aechmea chantinii;Princess of Wales Conservatory;01;13;
K:LCD-1986-5779*3;Pachyphytum coeruleum;Princess of Wales Conservatory;03;14;
K:LCD-2012-709*3;Senecio macroglossus;Princess of Wales Conservatory;03;21;
K:LCD-1962-20101*1;Dudleya edulis;Princess of Wales Conservatory;03;12;
K:LCD-2002-3436*3;Coelogyne hybrid;Princess of Wales Conservatory;06;04;SHELF
K:LCD-2004-2192*5;Pelargonium tricuspidatum;Princess of Wales Conservatory;03;11;
K:LCD-1977-887*1;Pachystachys coccinea;Princess of Wales Conservatory;01;03;
K:LCD-2000-2120*2;Lithops aucampiae;Princess of Wales Conservatory;03;08;
K:LCD-2000-2133*1;Lithops dinteri subsp. fredericii;Princess of Wales Conservatory;03;08;
K:LCD-1957-27501*3;Justicia carnea;Princess of Wales Conservatory;01;27;
K:LCD-1996-4376*2;Meniscium reticulatum;Princess of Wales Conservatory;04;04;
K:LCD-1994-1111*3;Polypodium;Princess of Wales Conservatory;06;05;
K:LCD-1986-2770*1;Hesperoyucca whipplei;Princess of Wales Conservatory;03;12;
K:LCD-1970-4068*2;Strobilanthes persicifolia;Princess of Wales Conservatory;01;23;
K:LCD-1993-933*3;Graptopetalum pachyphyllum;Princess of Wales Conservatory;03;14;
K:LCD-1980-521*1;Peperomia reticulata;Princess of Wales Conservatory;01;16;
K:LCD-1999-2382*2;Orthophytum glabrum;Princess of Wales Conservatory;01;12;
K:LCD-1981-1972*1;Sansevieria scimitariformis;Princess of Wales Conservatory;03;21;
K:LCD-1957-62801*2;Gasteria angustifolia;Princess of Wales Conservatory;03;21;
K:LCD-2009-872*2;Pleiospilos compactus subsp. canus;Princess of Wales Conservatory;03;08;
K:LCD-1905-45801*2;Sobralia Mirabilis gx;Princess of Wales Conservatory;07;02;
K:LCD-2013-1375*3;Kohleria warszewiczii;Princess of Wales Conservatory;01;21;
K:LCD-1969-18843*4;Arachniodes standishii;Princess of Wales Conservatory;05;05;
K:LCD-1964-34608*1;Crassula pentandra var. phyturus;Princess of Wales Conservatory;03;21;
K:LCD-2005-631*3;Pelargonium transvaalense;Princess of Wales Conservatory;03;11;
K:LCD-1997-6380*4;Xanthosoma sagittifolium;Princess of Wales Conservatory;04;11;
K:LCD-1997-6676*4;Asplenium;Princess of Wales Conservatory;01;08;EPIPHYTE
K:LCD-2011-491*2;Haworthia parksiana;Princess of Wales Conservatory;03;02;
K:LCD-1969-17845*3;Adiantum raddianum 'Lawsonianum';Princess of Wales Conservatory;05;02;
K:LCD-1973-1744*2;Wallisia cyanea;Princess of Wales Conservatory;01;03;TREE
K:LCD-1996-479*2;Cystacanthus turgida;Princess of Wales Conservatory;01;02;
K:LCD-1988-1950*5;Begonia listada;Princess of Wales Conservatory;01;23;
K:LCD-2005-2358*2;Monstera adansonii;Princess of Wales Conservatory;01;09;T1
K:LCD-1981-5659*5;Alpinia aquatica;Princess of Wales Conservatory;01;POND;
K:LCD-1970-4720*5;Aechmea orlandiana;Princess of Wales Conservatory;01;13;
K:LCD-1998-2987*2;Dioscorea cochleariapiculata;Princess of Wales Conservatory;01;23;
K:LCD-1984-2394*1;Dracophilus delaetianus;Princess of Wales Conservatory;03;07;
K:LCD-1998-2989*1;Dioscorea schimperiana;Princess of Wales Conservatory;01;02;
K:LCD-1968-38203*2;Philodendron hederaceum var. hederaceum;Princess of Wales Conservatory;01;18;
K:LCD-1999-592*2;Alpinia katsumadae;Princess of Wales Conservatory;04;10;
K:LCD-2014-1916*3;Macleania cordifolia;Princess of Wales Conservatory;05;HB;
K:LCD-2011-1621*2;Stapelianthus decaryi 'Cristata';Princess of Wales Conservatory;03;02;
K:LCD-1969-17223*1;Pittosporum undulatum;Princess of Wales Conservatory;02;03;
K:LCD-2005-2723*1;Phragmipedium Calurum gx;Princess of Wales Conservatory;06;02;
K:LCD-1985-2818*2;Sansevieria stuckyi;Princess of Wales Conservatory;03;06;
K:LCD-2009-3269*2;Clusia grandiflora;Princess of Wales Conservatory;01;08;
K:LCD-2004-2475*1;Neoregelia carolinae;Princess of Wales Conservatory;01;11;
K:LCD-1989-3521*2;Catharanthus roseus;Princess of Wales Conservatory;01;05;
K:LCD-1991-751*2;Piper sarmentosum;Princess of Wales Conservatory;01;10;
K:LCD-2014-1345*3;Ceropegia fusca;Princess of Wales Conservatory;03;13;
K:LCD-1973-3006*1;Othonna capensis;Princess of Wales Conservatory;03;06;
K:LCD-2004-2776*2;Pelargonium 'Charity';Princess of Wales Conservatory;03;10;
K:LCD-2000-4481*2;Impatiens 'Barlow';Princess of Wales Conservatory;01;20;
K:LCD-2000-3313*3;Psychotria carthagenensis;Princess of Wales Conservatory;01;04;
K:LCD-1973-4422*1;Crassula nudicaulis var. herrei;Princess of Wales Conservatory;03;02;
K:LCD-1999-2161*3;Echeveria cante;Princess of Wales Conservatory;03;18;
K:LCD-1987-1370*3;Saintpaulia ionantha;Princess of Wales Conservatory;01;21;
K:LCD-1969-4933*1;Rhododendron retusum;Princess of Wales Conservatory;02;07;
K:LCD-2008-2305*3;Orthophytum gurkenii;Princess of Wales Conservatory;01;10;
K:LCD-1994-2591*1;Spathiphyllum cochlearispathum;Princess of Wales Conservatory;01;26;
K:LCD-1984-2157*1;Heliconia collinsiana var. collinsiana;Princess of Wales Conservatory;01;28;
K:LCD-1962-56708*2;Stenospermation marantifolium;Princess of Wales Conservatory;01;03;
K:LCD-2011-1424*2;Montrichardia arborescens;Princess of Wales Conservatory;01;26;
K:LCD-1987-13*4;Gesneria pedicellaris;Princess of Wales Conservatory;01;22;
K:LCD-1997-7069*2;Acanthus ueleensis;Princess of Wales Conservatory;05;04;
K:LCD-1986-1808*1;Ficus pumila;Princess of Wales Conservatory;01;02;
K:LCD-2007-1260*2;Pelargonium 'Spanish Angel';Princess of Wales Conservatory;03;10;
K:LCD-1958-38603*3;Ixora williamsii;Princess of Wales Conservatory;01;23;
K:LCD-2008-1603*1;Dyckia encholirioides;Princess of Wales Conservatory;03;23;
K:LCD-1987-4022*1;Dracaena hookeriana;Princess of Wales Conservatory;01;06;
K:LCD-1998-1939*1;Hydrocleys nymphoides;Princess of Wales Conservatory;01;POND;
K:LCD-1950-21101*1;Gasteria;Princess of Wales Conservatory;03;21;
K:LCD-2007-1193*1;Pelargonium grandicalcaratum;Princess of Wales Conservatory;03;09;
K:LCD-1985-3565*2;Echeveria agavoides 'Red Edge';Princess of Wales Conservatory;03;23;
K:LCD-2004-2470*2;Nidularium innocentii;Princess of Wales Conservatory;01;11;
K:LCD-1964-63706*4;Codonanthe picta;Princess of Wales Conservatory;04;HB;
K:LCD-1948-44101*3;Dracaena camerooniana;Princess of Wales Conservatory;06;02;
K:LCD-1967-6607*1;Haworthia limifolia;Princess of Wales Conservatory;03;02;
K:LCD-1999-588*1;Musa velutina;Princess of Wales Conservatory;01;08;
K:LCD-1963-23402*4;Rhododendron lyi;Princess of Wales Conservatory;07;03;
K:LCD-1982-5701*1;Phragmipedium Sedenii gx;Princess of Wales Conservatory;06;02;
K:LCD-1988-2082*3;Sedum furfuraceum;Princess of Wales Conservatory;03;15;
K:LCD-1985-4820*6;Nauplius intermedius;Princess of Wales Conservatory;03;13;
K:LCD-1995-3835*1;Epipremnum pinnatum;Princess of Wales Conservatory;01;29;
K:LCD-1984-1079*1;Philodendron melinonii;Princess of Wales Conservatory;01;06;
K:LCD-1928-48502*1;Moquilea tomentosa;Princess of Wales Conservatory;01;23;
K:LCD-1973-13777*2;Calathea variegata;Princess of Wales Conservatory;01;28;
K:LCD-1967-39802*2;Haworthia retusa;Princess of Wales Conservatory;03;02;
K:LCD-1997-4373*2;Plumbago auriculata;Princess of Wales Conservatory;09;06;
K:LCD-1972-4048*2;Vriesea platynema var. platynema;Princess of Wales Conservatory;01;11;
K:LCD-1979-3137*3;Spathiphyllum cannifolium;Princess of Wales Conservatory;01;03;
K:LCD-2011-644*2;Huernia keniensis;Princess of Wales Conservatory;03;02;
K:LCD-1943-12216*2;Haworthia viscosa var. pseudotortuosa;Princess of Wales Conservatory;03;02;
K:LCD-1966-55225*7;Stromanthe sanguinea;Princess of Wales Conservatory;04;04;
K:LCD-1980-1520*1;Peperomia macrostachyos;Princess of Wales Conservatory;01;27;
K:LCD-1980-1630*2;Lasia spinosa;Princess of Wales Conservatory;01;22;
K:LCD-1981-2377*5;Ctenanthe burle-marxii;Princess of Wales Conservatory;01;26;
K:LCD-1973-12240*5;Oplismenus compositus;Princess of Wales Conservatory;01;20;
K:LCD-1978-3837*2;Pyrostegia venusta;Princess of Wales Conservatory;01;22;E3
K:LCD-2009-3454*2;Agave vilmoriniana;Princess of Wales Conservatory;01;13;
K:LCD-1965-50022*1;Anthurium lindmanianum;Princess of Wales Conservatory;01;26;
K:LCD-1975-605*2;Sansevieria raffillii;Princess of Wales Conservatory;10;02;
K:LCD-1979-3526*1;Aechmea gamosepala var. gamosepala;Princess of Wales Conservatory;01;04;
K:LCD-1973-13397*3;Cyperus involucratus;Princess of Wales Conservatory;01;22;
K:LCD-1973-20423*3;Marattia;Princess of Wales Conservatory;04;05;
K:LCD-1974-3588*2;Spathiphyllum cannifolium;Princess of Wales Conservatory;01;07;
K:LCD-1982-5462*3;Gasteria nitida var. armstrongii;Princess of Wales Conservatory;03;02;
K:LCD-1996-1453*3;Plectranthus cylindraceus;Princess of Wales Conservatory;03;05;
K:LCD-1968-38216*5;Anthurium willdenowii;Princess of Wales Conservatory;01;07;
K:LCD-1964-33125*1;Tectaria paradoxa;Princess of Wales Conservatory;05;03;
K:LCD-1975-2306*2;Haworthia nigra;Princess of Wales Conservatory;03;02;
K:LCD-1998-4080*3;Selaginella kraussiana var. brownii;Princess of Wales Conservatory;05;07;
K:LCD-1962-51903*1;Alocasia macrorrhizos var. rubra;Princess of Wales Conservatory;01;24;
K:LCD-2011-352*2;Lithops olivacea var. nebrownii;Princess of Wales Conservatory;03;08;
K:LCD-2002-2248*2;Nelumbo 'Shiroman';Princess of Wales Conservatory;01;POND;
K:LCD-1969-2261*2;Begonia schmidtiana;Princess of Wales Conservatory;01;23;
K:LCD-1980-1531*8;Anthurium schlechtendalii;Princess of Wales Conservatory;01;14;
K:LCD-1996-2450*1;Larrea tridentata;Princess of Wales Conservatory;03;12;
