Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-1983-2545*2;Ctenanthe burle-marxii var. obscura;Princess of Wales Conservatory;01;22;
K:LCD-1965-58404*4;Acrostichum aureum;Princess of Wales Conservatory;01;06;POND
K:LCD-1966-55221*1;Anthurium lindmanianum;Princess of Wales Conservatory;01;26;
K:LCD-1973-13504*1;Gasteria;Princess of Wales Conservatory;03;21;
K:LCD-2007-1156*4;Pelargonium citronellum;Princess of Wales Conservatory;03;HB;
K:LCD-1973-19558*4;Hemigraphis alternata;Princess of Wales Conservatory;01;23;
K:LCD-1997-5852*1;Rhaphidophora crassifolia;Princess of Wales Conservatory;01;02;
K:LCD-2013-1207*2;Dischidia;Princess of Wales Conservatory;01;28;SHELF
K:LCD-1998-4010*2;Selaginella kraussiana var. aurea;Princess of Wales Conservatory;05;07;
K:LCD-1983-2028*1;Ludwigia peruviana;Princess of Wales Conservatory;01;24;
K:LCD-1979-4444*2;Microsorum pappei;Princess of Wales Conservatory;04;10;
K:LCD-1977-656*4;Calathea fasciata;Princess of Wales Conservatory;01;28;
K:LCD-1963-21601*3;Phlebodium aureum 'Mandaianum';Princess of Wales Conservatory;04;07;
K:LCD-2012-746*3;Petunia exserta;Princess of Wales Conservatory;09;06;
K:LCD-1989-3521*6;Catharanthus roseus;Princess of Wales Conservatory;03;22;
K:LCD-1970-4596*2;Begonia itaguassuensis;Princess of Wales Conservatory;01;23;
K:LCD-1955-25302*2;Agave salmiana;Princess of Wales Conservatory;03;19;
K:LCD-1992-2953*4;Dichorisandra thyrsiflora;Princess of Wales Conservatory;01;07;
K:LCD-1969-51757*2;Aechmea racinae var. racinae;Princess of Wales Conservatory;01;03;TREE
K:LCD-2014-2101*2;Passiflora;Princess of Wales Conservatory;01;28;
K:LCD-1979-808*3;Aeonium lindleyi;Princess of Wales Conservatory;03;13;
K:LCD-2004-2227*2;Pelargonium exstipulatum;Princess of Wales Conservatory;03;11;
K:LCD-1980-2868*2;Pelargonium grandicalcaratum;Princess of Wales Conservatory;03;11;
K:LCD-1964-63706*3;Codonanthe picta;Princess of Wales Conservatory;01;HB;
K:LCD-2011-1446*2;Saintpaulia magungensis;Princess of Wales Conservatory;01;22;
K:LCD-1963-41001*1;Pistia stratiotes;Princess of Wales Conservatory;01;POND;
K:LCD-1990-2728*5;Colysis wrightii;Princess of Wales Conservatory;08;01;
K:LCD-2002-2289*3;Cymbidium Ty + Udai gx 'Silver Anniversary';Princess of Wales Conservatory;07;02;
K:LCD-1959-65108*1;× Cryptbergia;Princess of Wales Conservatory;01;02;
