"species","genus","family","garden"
"Abelia mosanensis","Zabelia","Caprifoliaceae","fr"
"Abeliophyllum distichum","Abeliophyllum","Oleaceae","fr"
"Abelmoschus esculentus","Abelmoschus","Malvaceae","fr"
"Abelmoschus manihot","Abelmoschus","Malvaceae","fr"
"Abelmoschus moschatus","Abelmoschus","Malvaceae","fr"
"Abies alba","Abies","Pinaceae","fr"
"Abies koreana","Abies","Pinaceae","fr"
"Abies nordmanniana","Abies","Pinaceae","fr"
"Abies numidica","Abies","Pinaceae","fr"
"Abies pinsapo","Abies","Pinaceae","fr"
"Abies procera","Abies","Pinaceae","fr"
"Abroma augustum","Abroma","Malvaceae","fr"
"Abrus precatorius","Abrus","Fabaceae","fr"
"Abrus precatorius","Abrus","Fabaceae","fr"
"Abutilon grandifolium","Abutilon","Malvaceae","fr"
"Abutilon theophrasti","Abutilon","Malvaceae","fr"
"Acacia karroo","Vachellia","Fabaceae","fr"
"Acacia senegal","Senegalia","Fabaceae","fr"
"Acaena buchananii","Acaena","Rosaceae","fr"
"Acaena ovina","Acaena","Rosaceae","fr"
"Acaena microphylla","Acaena","Rosaceae","fr"
"Acaena ovina","Acaena","Rosaceae","fr"
"Acaena pinnatifida","Acaena","Rosaceae","fr"
"Acalypha hispida","Acalypha","Euphorbiaceae","fr"
"Acantholimon armenum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon armenum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon glumaceum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon glumaceum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon olivieri","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon venustum","Acantholimon","Plumbaginaceae","fr"
"Acanthus hungaricus","Acanthus","Acanthaceae","fr"
"Acanthus montanus","Acanthus","Acanthaceae","fr"
"Acanthus spinosus","Acanthus","Acanthaceae","fr"
"Acer buergerianum","Acer","Sapindaceae","fr"
"Acer campestre","Acer","Sapindaceae","fr"
"Acer capillipes","Acer","Sapindaceae","fr"
"Acer cappadocicum","Acer","Sapindaceae","fr"
"Acer carpinifolium","Acer","Sapindaceae","fr"
"Acer cissifolium","Acer","Sapindaceae","fr"
"Acer davidii","Acer","Sapindaceae","fr"
"Acer griseum","Acer","Sapindaceae","fr"
"Acer hyrcanum","Acer","Sapindaceae","fr"
"Acer japonicum","Acer","Sapindaceae","fr"
"Acer mono","Acer","Sapindaceae","fr"
"Acer monspessulanum","Acer","Sapindaceae","fr"
"Acer negundo","Acer","Sapindaceae","fr"
"Acer opalus","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer platanoides","Acer","Sapindaceae","fr"
"Acer pseudoplatanus","Acer","Sapindaceae","fr"
"Acer rufinerve","Acer","Sapindaceae","fr"
"Acer saccharinum","Acer","Sapindaceae","fr"
"Acer saccharum","Acer","Sapindaceae","fr"
"Acer saccharum","Acer","Sapindaceae","fr"
"Acer sempervirens","Acer","Sapindaceae","fr"
"Acer tataricum","Acer","Sapindaceae","fr"
"Acer tataricum","Acer","Sapindaceae","fr"
"Achillea clypeolata","Achillea","Asteraceae","fr"
"Achillea collina","Achillea","Asteraceae","fr"
"Achillea collina","Achillea","Asteraceae","fr"
"Achillea filipendulina","Achillea","Asteraceae","fr"
"Achillea macrophylla","Achillea","Asteraceae","fr"
"Achillea macrophylla","Achillea","Asteraceae","fr"
"Achillea millefolium","Achillea","Asteraceae","fr"
"Achillea millefolium","Achillea","Asteraceae","fr"
"Achillea nobilis","Achillea","Asteraceae","fr"
"Achillea ptarmica","Achillea","Asteraceae","fr"
"Achillea sericea","Achillea","Asteraceae","fr"
"Achillea setacea","Achillea","Asteraceae","fr"
"Achillea tomentosa","Achillea","Asteraceae","fr"
"Achillea umbellata","Achillea","Asteraceae","fr"
"Achimenes erecta","Achimenes","Gesneriaceae","fr"
"Achnatherum calamagrostis","Achnatherum","Poaceae","fr"
"Acinos alpinus","Clinopodium","Lamiaceae","fr"
"Acinos arvensis","Clinopodium","Lamiaceae","fr"
"Acis rosea","Acis","Amaryllidaceae","fr"
"Acis valentina","Acis","Amaryllidaceae","fr"
"Acmella oleracea","Acmella","Asteraceae","fr"
"Acmella oleracea","Acmella","Asteraceae","fr"
"Aconitum anthora","Aconitum","Ranunculaceae","fr"
"Aconitum anthora","Aconitum","Ranunculaceae","fr"
"Aconitum carmichaelii","Aconitum","Ranunculaceae","fr"
"Aconitum vulparia","Aconitum","Ranunculaceae","fr"
"Aconitum forrestii","Aconitum","Ranunculaceae","fr"
"Aconitum yamazakii","Aconitum","Ranunculaceae","fr"
"Aconitum napellus","Aconitum","Ranunculaceae","fr"
"Aconitum napellus","Aconitum","Ranunculaceae","fr"
"Aconitum anthora","Aconitum","Ranunculaceae","fr"
"Aconitum variegatum","Aconitum","Ranunculaceae","fr"
"Aconitum variegatum","Aconitum","Ranunculaceae","fr"
"Aconitum vulparia","Aconitum","Ranunculaceae","fr"
"Acorus calamus","Acorus","Acoraceae","fr"
"Acorus calamus","Acorus","Acoraceae","fr"
"Acorus calamus","Acorus","Acoraceae","fr"
"Acorus gramineus","Acorus","Acoraceae","fr"
"Acorus gramineus","Acorus","Acoraceae","fr"
"Macroclinium roseum","Macroclinium","Asteraceae","fr"
"Actaea lata","Pseudoliomera","Ranunculaceae","fr"
"Actinidia arguta","Actinidia","Actinidiaceae","fr"
"Actinidia chinensis","Actinidia","Actinidiaceae","fr"
"Actinidia kolomikta","Actinidia","Actinidiaceae","fr"
"Actinidia polygama","Actinidia","Actinidiaceae","fr"
"Adansonia digitata","Adansonia","Malvaceae","fr"
"Adansonia digitata","Adansonia","Malvaceae","fr"
"Adenophora liliifolia","Adenophora","Campanulaceae","fr"
"Adenophora liliifolia","Adenophora","Campanulaceae","fr"
"Adenostyles alliariae","Adenostyles","Asteraceae","fr"
"Cicerbita alpina","Cicerbita","Asteraceae","fr"
"Adiantum pedatum","Adiantum","Pteridaceae","fr"
"Adonis aestivalis","Adonis","Ranunculaceae","fr"
"Adonis pyrenaica","Adonis","Ranunculaceae","fr"
"Adonis vernalis","Adonis","Ranunculaceae","fr"
"Adonis vernalis","Adonis","Ranunculaceae","fr"
"Adonis vernalis","Adonis","Ranunculaceae","fr"
"Adonis vernalis","Adonis","Ranunculaceae","fr"
"Adonis vernalis","Adonis","Ranunculaceae","fr"
"Adoxa moschatellina","Adoxa","Adoxaceae","fr"
"Adoxa moschatellina","Adoxa","Adoxaceae","fr"
"Aechmea fasciata","Aechmea","Bromeliaceae","fr"
"Aechmea fasciata","Aechmea","Bromeliaceae","fr"
"Aechmea fulgens","Aechmea","Bromeliaceae","fr"
"Aechmea fulgens","Aechmea","Bromeliaceae","fr"
"Aechmea fulgens","Aechmea","Bromeliaceae","fr"
"Aechmea fulgens","Aechmea","Bromeliaceae","fr"
"Aechmea lueddemanniana","Aechmea","Bromeliaceae","fr"
"Aegilops ovata","Aegilops","Poaceae","fr"
"Aegilops speltoides","Aegilops","Poaceae","fr"
"Aegilops tauschii","Aegilops","Poaceae","fr"
"Aegilops ventricosa","Aegilops","Poaceae","fr"
"Aegopodium podagraria","Aegopodium","Apiaceae","fr"
"Aeonium arboreum","Aeonium","Crassulaceae","fr"
"Aeonium arboreum","Aeonium","Crassulaceae","fr"
"Aeonium canariense","Aeonium","Crassulaceae","fr"
"Aeonium canariense","Aeonium","Crassulaceae","fr"
"Aeonium haworthii","Aeonium","Crassulaceae","fr"
"Aeonium haworthii","Aeonium","Crassulaceae","fr"
"Aeonium arboreum","Aeonium","Crassulaceae","fr"
"Aeonium mascaense","Aeonium","Crassulaceae","fr"
"Aeonium sedifolium","Aeonium","Crassulaceae","fr"
"Aeonium simsii","Aeonium","Crassulaceae","fr"
"Aeonium spathulatum","Aeonium","Crassulaceae","fr"
"Aeonium urbicum","Aeonium","Crassulaceae","fr"
"Aeonium urbicum","Aeonium","Crassulaceae","fr"
"Aerangis articulata","Aerangis","Orchidaceae","fr"
"Aerangis articulata","Aerangis","Orchidaceae","fr"
"Aerangis biloba","Aerangis","Orchidaceae","fr"
"Aerangis citrata","Aerangis","Orchidaceae","fr"
"Aerangis kirkii","Aerangis","Orchidaceae","fr"
"Aerangis mystacidii","Aerangis","Orchidaceae","fr"
"Aerangis punctata","Aerangis","Orchidaceae","fr"
"Aeschynanthus fulgens","Aeschynanthus","Gesneriaceae","fr"
"Aeschynanthus longicaulis","Aeschynanthus","Gesneriaceae","fr"
"Aeschynanthus radicans","Aeschynanthus","Gesneriaceae","fr"
"Aesculus flava","Aesculus","Sapindaceae","fr"
"Aesculus hippocastanum","Aesculus","Sapindaceae","fr"
"Aesculus hippocastanum","Aesculus","Sapindaceae","fr"
"Aesculus parviflora","Aesculus","Sapindaceae","fr"
"Aesculus parviflora","Aesculus","Sapindaceae","fr"
"Aesculus flava","Aesculus","Sapindaceae","fr"
"Aethionema grandiflorum","Aethionema","Brassicaceae","fr"
"Aethionema oppositifolium","Noccaea","Brassicaceae","fr"
"Aethionema saxatile","Aethionema","Brassicaceae","fr"
"Aethionema thomasianum","Aethionema","Brassicaceae","fr"
"Aethusa cynapium","Aethusa","Apiaceae","fr"
"Aframomum melegueta","Aframomum","Zingiberaceae","fr"
"Agastache pallidiflora","Agastache","Lamiaceae","fr"
"Agastache rugosa","Agastache","Lamiaceae","fr"
"Agave sisalana","Agave","Asparagaceae","fr"
"Ageratina altissima","Ageratina","Asteraceae","fr"
"Ageratum houstonianum","Ageratum","Asteraceae","fr"
"Aglaonema commutatum","Aglaonema","Araceae","fr"
"Aglaonema modestum","Aglaonema","Araceae","fr"
"Agrimonia eupatoria","Agrimonia","Rosaceae","fr"
"Agrimonia eupatoria","Agrimonia","Rosaceae","fr"
"Agrimonia procera","Agrimonia","Rosaceae","fr"
"Agropyron repens","Elymus","Poaceae","fr"
"Agrostemma githago","Agrostemma","Caryophyllaceae","fr"
"Agrostis capillaris","Agrostis","Poaceae","fr"
"Aichryson laxum","Aichryson","Crassulaceae","fr"
"Ajuga pyramidalis","Ajuga","Lamiaceae","fr"
"Ajuga reptans","Ajuga","Lamiaceae","fr"
"Akebia quinata","Akebia","Lardizabalaceae","fr"
"Akebia quinata","Akebia","Lardizabalaceae","fr"
"Akebia trifoliata","Akebia","Lardizabalaceae","fr"
"Albizia julibrissin","Albizia","Fabaceae","fr"
"Albuca bracteata","Albuca","Asparagaceae","fr"
"Albuca bracteata","Albuca","Asparagaceae","fr"
"Alcea rosea","Alcea","Malvaceae","fr"
"Alchemilla alpina","Alchemilla","Rosaceae","fr"
"Alchemilla conjuncta","Alchemilla","Rosaceae","fr"
"Alchemilla conjuncta","Alchemilla","Rosaceae","fr"
"Alchemilla conjuncta","Alchemilla","Rosaceae","fr"
"Alchemilla erythropoda","Alchemilla","Rosaceae","fr"
"Alchemilla hybrida","Alchemilla","Rosaceae","fr"
"Alchemilla mollis","Alchemilla","Rosaceae","fr"
"Alchemilla plicatula","Alchemilla","Rosaceae","fr"
"Alchemilla vulgaris","Alchemilla","Rosaceae","fr"
"Alisma plantago-aquatica","Alisma","Alismataceae","fr"
"Alkanna orientalis","Alkanna","Boraginaceae","fr"
"Alliaria petiolata","Alliaria","Brassicaceae","fr"
"Allium aflatunense","Allium","Amaryllidaceae","fr"
"Allium altaicum","Allium","Amaryllidaceae","fr"
"Allium ampeloprasum","Allium","Amaryllidaceae","fr"
"Allium angulosum","Allium","Amaryllidaceae","fr"
"Allium angulosum","Allium","Amaryllidaceae","fr"
"Allium atropurpureum","Allium","Amaryllidaceae","fr"
"Allium carinatum","Allium","Amaryllidaceae","fr"
"Allium carinatum","Allium","Amaryllidaceae","fr"
"Allium carolinianum","Allium","Amaryllidaceae","fr"
"Allium cepa","Allium","Amaryllidaceae","fr"
"Allium cepa","Allium","Amaryllidaceae","fr"
"Allium cernuum","Allium","Amaryllidaceae","fr"
"Allium cernuum","Allium","Amaryllidaceae","fr"
"Allium christophii","Allium","Amaryllidaceae","fr"
"Allium fistulosum","Allium","Amaryllidaceae","fr"
"Allium flavum","Allium","Amaryllidaceae","fr"
"Allium flavum","Allium","Amaryllidaceae","fr"
"Allium giganteum","Allium","Amaryllidaceae","fr"
"Allium insubricum","Allium","Amaryllidaceae","fr"
"Allium karataviense","Allium","Amaryllidaceae","fr"
"Allium lusitanicum","Allium","Amaryllidaceae","fr"
"Allium lusitanicum","Allium","Amaryllidaceae","fr"
"Allium lusitanicum","Allium","Amaryllidaceae","fr"
"Allium moly","Allium","Amaryllidaceae","fr"
"Allium narcissiflorum","Allium","Amaryllidaceae","fr"
"Allium nigrum","Allium","Amaryllidaceae","fr"
"Allium nigrum","Allium","Amaryllidaceae","fr"
"Allium obliquum","Allium","Amaryllidaceae","fr"
"Allium oleraceum","Allium","Amaryllidaceae","fr"
"Allium oreophilum","Allium","Amaryllidaceae","fr"
"Allium oschaninii","Allium","Amaryllidaceae","fr"
"Allium paradoxum","Allium","Amaryllidaceae","fr"
"Allium nigrum","Allium","Amaryllidaceae","fr"
"Allium rosenbachianum","Allium","Amaryllidaceae","fr"
"Allium sativum","Allium","Amaryllidaceae","fr"
"Allium sativum","Allium","Amaryllidaceae","fr"
"Allium schoenoprasum","Allium","Amaryllidaceae","fr"
"Allium schubertii","Allium","Amaryllidaceae","fr"
"Allium siculum","Allium","Amaryllidaceae","fr"
"Allium sikkimense","Allium","Amaryllidaceae","fr"
"Allium sphaerocephalon","Allium","Amaryllidaceae","fr"
"Allium sphaerocephalon","Allium","Amaryllidaceae","fr"
"Allium sphaerocephalon","Allium","Amaryllidaceae","fr"
"Allium sphaerocephalon","Allium","Amaryllidaceae","fr"
"Allium sphaerocephalon","Allium","Amaryllidaceae","fr"
"Allium stipitatum","Allium","Amaryllidaceae","fr"
"Allium tel-avivense","Allium","Amaryllidaceae","fr"
"Allium triquetrum","Allium","Amaryllidaceae","fr"
"Allium tuberosum","Allium","Amaryllidaceae","fr"
"Allium tuberosum","Allium","Amaryllidaceae","fr"
"Allium ursinum","Allium","Amaryllidaceae","fr"
"Allium victorialis","Allium","Amaryllidaceae","fr"
"Allium victorialis","Allium","Amaryllidaceae","fr"
"Allium victorialis","Allium","Amaryllidaceae","fr"
"Allium vineale","Allium","Amaryllidaceae","fr"
"Allium carolinianum","Allium","Amaryllidaceae","fr"
"Alnus glutinosa","Alnus","Betulaceae","fr"
"Alnus incana","Alnus","Betulaceae","fr"
"Alnus rugosa","Alnus","Betulaceae","fr"
"Alnus viridis","Alnus","Betulaceae","fr"
"Alnus viridis","Alnus","Betulaceae","fr"
"Alocasia macrorrhiza","Alocasia","Araceae","fr"
"Aloe arborescens","Aloe","Asphodelaceae","fr"
"Aloe aristata","Aristaloe","Asphodelaceae","fr"
"Aloe ciliaris","Aloiampelos","Asphodelaceae","fr"
"Aloe ferox","Aloe","Asphodelaceae","fr"
"Aloe perfoliata","Aloe","Asphodelaceae","fr"
"Aloe secundiflora","Aloe","Asphodelaceae","fr"
"Aloe arborescens","Aloe","Asphodelaceae","fr"
"Aloe arborescens","Aloe","Asphodelaceae","fr"
"Aloe arborescens","Aloe","Asphodelaceae","fr"
"Aloe vera","Aloe","Asphodelaceae","fr"
"Alonsoa caulialata","Alonsoa","Scrophulariaceae","fr"
"Alopecurus pratensis","Alopecurus","Poaceae","fr"
"Alpinia galanga","Alpinia","Zingiberaceae","fr"
"Alpinia officinarum","Alpinia","Zingiberaceae","fr"
"Althaea armeniaca","Althaea","Malvaceae","fr"
"Althaea cannabina","Althaea","Malvaceae","fr"
"Althaea officinalis","Althaea","Malvaceae","fr"
"Alyssoides utriculata","Alyssoides","Brassicaceae","fr"
"Alyssoides utriculata","Alyssoides","Brassicaceae","fr"
"Alyssum alpestre","Odontarrhena","Brassicaceae","fr"
"Alyssum alyssoides","Alyssum","Brassicaceae","fr"
"Alyssum moellendorfianum","Alyssum","Brassicaceae","fr"
"Alyssum montanum","Alyssum","Brassicaceae","fr"
"Alyssum murale","Odontarrhena","Brassicaceae","fr"
"Amaranthus albus","Amaranthus","Amaranthaceae","fr"
"Amaranthus caudatus","Amaranthus","Amaranthaceae","fr"
"Amaranthus cruentus","Amaranthus","Amaranthaceae","fr"
"Amaranthus hypochondriacus","Amaranthus","Amaranthaceae","fr"
"Amaranthus hypochondriacus","Amaranthus","Amaranthaceae","fr"
"Amaranthus retroflexus","Amaranthus","Amaranthaceae","fr"
"Amaryllis belladonna","Amaryllis","Amaryllidaceae","fr"
"Ambrosia trifida","Ambrosia","Asteraceae","fr"
"Amelanchier canadensis","Amelanchier","Rosaceae","fr"
"Amelanchier ovalis","Amelanchier","Rosaceae","fr"
"Amelanchier ovalis","Amelanchier","Rosaceae","fr"
"Amelanchier ovalis","Amelanchier","Rosaceae","fr"
"Ammannia rotundifolia","Rotala","Lythraceae","fr"
"Ammi majus","Ammi","Apiaceae","fr"
"Ammi visnaga","Ammi","Apiaceae","fr"
"Ammi visnaga","Ammi","Apiaceae","fr"
"Ammophila arenaria","Ammophila","Poaceae","fr"
"Amorpha fruticosa","Amorpha","Fabaceae","fr"
"Amorphophallus albus","Amorphophallus","Araceae","fr"
"Amorphophallus konjac","Amorphophallus","Araceae","fr"
"Ampelopsis aconitifolia","Ampelopsis","Vitaceae","fr"
"Ampelopsis glandulosa","Ampelopsis","Vitaceae","fr"
"Ampelopsis glandulosa","Ampelopsis","Vitaceae","fr"
"Amphicarpaea bracteata","Amphicarpaea","Fabaceae","fr"
"Amsonia illustris","Amsonia","Apocynaceae","fr"
"Amsonia orientalis","Amsonia","Apocynaceae","fr"
"Anacamptis sancta","Anacamptis","Orchidaceae","fr"
"Anacyclus pyrethrum","Anacyclus","Asteraceae","fr"
"Anagallis arvensis","Anagallis","Primulaceae","fr"
"Anagallis tenella","Anagallis","Primulaceae","fr"
"Ananas comosus","Ananas","Bromeliaceae","fr"
"Ananas comosus","Ananas","Bromeliaceae","fr"
"Anaphalis margaritacea","Anaphalis","Asteraceae","fr"
"Anchusa arvensis","Anchusa","Boraginaceae","fr"
"Anchusa cespitosa","Anchusa","Boraginaceae","fr"
"Anchusa cespitosa","Anchusa","Boraginaceae","fr"
"Anchusa officinalis","Anchusa","Boraginaceae","fr"
"Andromeda polifolia","Andromeda","Ericaceae","fr"
"Androsace carnea","Androsace","Primulaceae","fr"
"Androsace chamaejasme","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace lactea","Androsace","Primulaceae","fr"
"Androsace muscoidea","Androsace","Primulaceae","fr"
"Androsace sarmentosa","Androsace","Primulaceae","fr"
"Androsace sempervivoides","Androsace","Primulaceae","fr"
"Androsace septentrionalis","Androsace","Primulaceae","fr"
"Androsace villosa","Androsace","Primulaceae","fr"
"Androsace vitaliana","Androsace","Primulaceae","fr"
"Anemone baldensis","Anemone","Ranunculaceae","fr"
"Anemone baldensis","Anemone","Ranunculaceae","fr"
"Anemone blanda","Anemone","Ranunculaceae","fr"
"Anemone blanda","Anemone","Ranunculaceae","fr"
"Anemone canadensis","Anemone","Ranunculaceae","fr"
"Anemone flavescens","Anemone","Ranunculaceae","fr"
"Anemone hupehensis","Anemone","Ranunculaceae","fr"
"Anemone leveillei","Anemone","Ranunculaceae","fr"
"Anemone narcissiflora","Anemone","Ranunculaceae","fr"
"Anemone narcissiflora","Anemone","Ranunculaceae","fr"
"Anemone nemorosa","Anemone","Ranunculaceae","fr"
"Anemone palmata","Anemone","Ranunculaceae","fr"
"Anemone ranunculoides","Anemone","Ranunculaceae","fr"
"Anemone ranunculoides","Anemone","Ranunculaceae","fr"
"Anemone sylvestris","Anemone","Ranunculaceae","fr"
"Anemone virginiana","Anemone","Ranunculaceae","fr"
"Anethum graveolens","Anethum","Apiaceae","fr"
"Angelica archangelica","Angelica","Apiaceae","fr"
"Angelica archangelica","Angelica","Apiaceae","fr"
"Angelica sylvestris","Angelica","Apiaceae","fr"
"Angelica sylvestris","Angelica","Apiaceae","fr"
"Annona cherimola","Annona","Annonaceae","fr"
"Anoda cristata","Anoda","Malvaceae","fr"
"Anredera cordifolia","Anredera","Basellaceae","fr"
"Anthemis arvensis","Anthemis","Asteraceae","fr"
"Anthemis cotula","Anthemis","Asteraceae","fr"
"Anthemis tinctoria","Cota","Asteraceae","fr"
"Anthericum liliago","Anthericum","Asparagaceae","fr"
"Anthericum liliago","Anthericum","Asparagaceae","fr"
"Anthericum ramosum","Anthericum","Asparagaceae","fr"
"Anthericum ramosum","Anthericum","Asparagaceae","fr"
"Anthericum ramosum","Anthericum","Asparagaceae","fr"
"Anthericum ramosum","Anthericum","Asparagaceae","fr"
"Anthoxanthum odoratum","Anthoxanthum","Poaceae","fr"
"Anthriscus cerefolium","Anthriscus","Apiaceae","fr"
"Anthriscus sylvestris","Anthriscus","Apiaceae","fr"
"Anthurium andraeanum","Anthurium","Araceae","fr"
"Anthurium bakeri","Anthurium","Araceae","fr"
"Anthurium gracile","Anthurium","Araceae","fr"
"Anthurium olfersianum","Anthurium","Araceae","fr"
"Anthurium andraeanum","Anthurium","Araceae","fr"
"Anthurium scherzerianum","Anthurium","Araceae","fr"
"Anthyllis montana","Anthyllis","Fabaceae","fr"
"Anthyllis vulneraria","Anthyllis","Fabaceae","fr"
"Anthyllis vulneraria","Anthyllis","Fabaceae","fr"
"Anthyllis vulneraria","Anthyllis","Fabaceae","fr"
"Anthyllis vulneraria","Anthyllis","Fabaceae","fr"
"Anthyllis vulneraria","Anthyllis","Fabaceae","fr"
"Anticlea elegans","Anticlea","Melanthiaceae","fr"
"Anticlea elegans","Anticlea","Melanthiaceae","fr"
"Antigonon leptopus","Antigonon","Polygonaceae","fr"
"Antirrhinum majus","Antirrhinum","Plantaginaceae","fr"
"Aphelandra tetragona","Aphelandra","Acanthaceae","fr"
"Aphyllanthes monspeliensis","Aphyllanthes","Asparagaceae","fr"
"Apium graveolens","Apium","Apiaceae","fr"
"Apium graveolens","Apium","Apiaceae","fr"
"Apium graveolens","Apium","Apiaceae","fr"
"Apium graveolens","Apium","Apiaceae","fr"
"Apocynum venetum","Apocynum","Apocynaceae","fr"
"Aponogeton distachyos","Aponogeton","Aponogetonaceae","fr"
"Aposeris foetida","Aposeris","Asteraceae","fr"
"Aptenia cordifolia","Mesembryanthemum","Aizoaceae","fr"
"Aquilegia alpina","Aquilegia","Ranunculaceae","fr"
"Aquilegia atrata","Aquilegia","Ranunculaceae","fr"
"Aquilegia chrysantha","Aquilegia","Ranunculaceae","fr"
"Aquilegia einseleana","Aquilegia","Ranunculaceae","fr"
"Aquilegia alpina","Aquilegia","Ranunculaceae","fr"
"Aquilegia nigricans","Aquilegia","Ranunculaceae","fr"
"Aquilegia alpina","Aquilegia","Ranunculaceae","fr"
"Aquilegia pyrenaica","Aquilegia","Ranunculaceae","fr"
"Aquilegia pyrenaica","Aquilegia","Ranunculaceae","fr"
"Aquilegia viridiflora","Aquilegia","Ranunculaceae","fr"
"Aquilegia vulgaris","Aquilegia","Ranunculaceae","fr"
"Arabidopsis thaliana","Arabidopsis","Brassicaceae","fr"
"Arabis alpina","Arabis","Brassicaceae","fr"
"Arabis alpina","Arabis","Brassicaceae","fr"
"Arabis bellidifolia","Arabis","Brassicaceae","fr"
"Arabis bellidifolia","Arabis","Brassicaceae","fr"
"Arabis ciliata","Arabis","Brassicaceae","fr"
"Arabis ciliata","Arabis","Brassicaceae","fr"
"Arabis collina","Arabis","Brassicaceae","fr"
"Arabis hirsuta","Arabis","Brassicaceae","fr"
"Arabis hirsuta","Arabis","Brassicaceae","fr"
"Arabis hirsuta","Arabis","Brassicaceae","fr"
"Arabis rosea","Arabis","Brassicaceae","fr"
"Arabis rosea","Arabis","Brassicaceae","fr"
"Arabis scopoliana","Arabis","Brassicaceae","fr"
"Arabis subcoriacea","Arabis","Brassicaceae","fr"
"Arabis subcoriacea","Arabis","Brassicaceae","fr"
"Arabis turrita","Pseudoturritis","Brassicaceae","fr"
"Arachis hypogaea","Arachis","Fabaceae","fr"
"Aralia elata","Aralia","Araliaceae","fr"
"Araucaria araucana","Araucaria","Araucariaceae","fr"
"Arctium lappa","Arctium","Asteraceae","fr"
"Arctium tomentosum","Arctium","Asteraceae","fr"
"Arctostaphylos uva-ursi","Arctostaphylos","Ericaceae","fr"
"Arctostaphylos uva-ursi","Arctostaphylos","Ericaceae","fr"
"Arctostaphylos uva-ursi","Arctostaphylos","Ericaceae","fr"
"Arctotis venusta","Arctotis","Asteraceae","fr"
"Arenaria blepharophylla","Eremogone","Caryophyllaceae","fr"
"Arenaria ciliata","Arenaria","Caryophyllaceae","fr"
"Arenaria ciliata","Arenaria","Caryophyllaceae","fr"
"Arenaria ciliata","Arenaria","Caryophyllaceae","fr"
"Arenaria grandiflora","Arenaria","Caryophyllaceae","fr"
"Arenaria blepharophylla","Eremogone","Caryophyllaceae","fr"
"Arenaria multicaulis","Arenaria","Caryophyllaceae","fr"
"Arenaria procera","Eremogone","Caryophyllaceae","fr"
"Arenaria pulvinata","Eremogone","Caryophyllaceae","fr"
"Arenaria pulvinata","Eremogone","Caryophyllaceae","fr"
"Arenaria pungens","Arenaria","Caryophyllaceae","fr"
"Arenaria serpyllifolia","Arenaria","Caryophyllaceae","fr"
"Arenaria tetraquetra","Arenaria","Caryophyllaceae","fr"
"Arenaria tmolea","Arenaria","Caryophyllaceae","fr"
"Genista pilosa","Genista","Sapotaceae","fr"
"Argemone mexicana","Argemone","Papaveraceae","fr"
"Argyranthemum frutescens","Argyranthemum","Asteraceae","fr"
"Aristolochia arborea","Aristolochia","Aristolochiaceae","fr"
"Aristolochia clematitis","Aristolochia","Aristolochiaceae","fr"
"Aristolochia clematitis","Aristolochia","Aristolochiaceae","fr"
"Aristolochia grandiflora","Aristolochia","Aristolochiaceae","fr"
"Aristolochia littoralis","Aristolochia","Aristolochiaceae","fr"
"Aristolochia macrophylla","Aristolochia","Aristolochiaceae","fr"
"Aristolochia rotunda","Aristolochia","Aristolochiaceae","fr"
"Armeria alpina","Armeria","Plumbaginaceae","fr"
"Armeria alpina","Armeria","Plumbaginaceae","fr"
"Armeria arenaria","Armeria","Plumbaginaceae","fr"
"Armeria arenaria","Armeria","Plumbaginaceae","fr"
"Armeria arenaria","Armeria","Plumbaginaceae","fr"
"Armeria arenaria","Armeria","Plumbaginaceae","fr"
"Armeria arenaria","Armeria","Plumbaginaceae","fr"
"Armeria majellensis","Armeria","Plumbaginaceae","fr"
"Armeria maritima","Armeria","Plumbaginaceae","fr"
"Armeria maritima","Armeria","Plumbaginaceae","fr"
"Armeria maritima","Armeria","Plumbaginaceae","fr"
"Armeria trojana","Armeria","Plumbaginaceae","fr"
"Armeria villosa","Armeria","Plumbaginaceae","fr"
"Armoracia rusticana","Armoracia","Brassicaceae","fr"
"Armoracia rusticana","Armoracia","Brassicaceae","fr"
"Arnebia pulchra","Huynhia","Boraginaceae","fr"
"Arnica chamissonis","Arnica","Asteraceae","fr"
"Arnica chamissonis","Arnica","Asteraceae","fr"
"Arnica montana","Arnica","Asteraceae","fr"
"Arnica montana","Arnica","Asteraceae","fr"
"Arnica montana","Arnica","Asteraceae","fr"
"Arrhenatherum elatius","Arrhenatherum","Poaceae","fr"
