"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Canephora madagascariensis","ALIVE","2007-2175","K:LCD-2007-2175*1","Canephora madagascariensis","Canephora","Rubiaceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","genus"
"Canistropsis billbergioides","ALIVE","1973-1474","K:LCD-1973-1474*1","Canistropsis billbergioides","Canistropsis","Bromeliaceae","","","","13-07-2025","genus"
"Canistropsis billbergioides","ALIVE","1979-3581","K:LCD-1979-3581*1","Canistropsis billbergioides","Canistropsis","Bromeliaceae","","","","13-07-2025","genus"
"Canistropsis billbergioides","ALIVE","2008-1001","K:LCD-2008-1001*1","Canistropsis billbergioides","Canistropsis","Bromeliaceae","","","Brazil","13-07-2025","genus"
"Canistropsis burchellii","ALIVE","2006-734","K:LCD-2006-734*1","Canistropsis simulans","Canistropsis","Bromeliaceae","","","","13-07-2025","genus"
"Canistropsis burchellii","ALIVE","1979-3582","K:LCD-1979-3582*1","Canistropsis burchellii","Canistropsis","Bromeliaceae","","","","13-07-2025","genus"
"Canistropsis microps","ALIVE","1982-3857","K:LCD-1982-3857*1","Canistropsis microps","Canistropsis","Bromeliaceae","","N - Natural Source and Progeny","Brazil","13-07-2025","genus"
"Canistropsis microps","ALIVE","1979-1792","K:LCD-1979-1792*1","Canistropsis microps f. bicensis","Canistropsis","Bromeliaceae","","","","13-07-2025","genus"
"Cantua buxifolia","ALIVE","2021-344","K:LCD-2021-344*2","Cantua buxifolia","Cantua","Polemoniaceae","","N - Natural Source and Progeny","","16-03-2025","genus"
"Cantua buxifolia","ALIVE","2021-344","K:LCD-2021-344*3","Cantua buxifolia","Cantua","Polemoniaceae",NA,"N - Natural Source and Progeny","","29-01-2024","genus"
"Caputia oribiensis","ALIVE","2021-104","K:LCD-2021-104*1","Caputia oribiensis","Caputia","Asteraceae","","N - Natural Source and Progeny","South Africa","14-02-2024","genus"
"Cardiochlamys madagascariensis","ALIVE","2009-135","K:LCD-2009-135*1","Cardiochlamys madagascariensis","Cardiochlamys","Convolvulaceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","genus"
"Casasia clusiifolia","ALIVE","2022-1065","K:LCD-2022-1065*1","Casasia clusiifolia","Casasia","Rubiaceae","","","","14-09-2022","genus"
"Cassine micrantha","ALIVE","2007-1652","K:LCD-2007-1652*1","Cassine micrantha","Cassine","Celastraceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","family"
"Catesbaea spinosa","ALIVE","2022-1063","K:LCD-2022-1063*1","Catesbaea spinosa","Catesbaea","Rubiaceae","","","","14-09-2022","genus"
"Celastrus","ALIVE","2024-1860","K:LCD-2024-1860*1","Celastrus","Celastrus","Celastraceae","","N - Natural Source and Progeny","Vietnam","17-06-2025","family"
"Celastrus monospermus","ALIVE","2025-181","K:LCD-2025-181*1","Celastrus monospermus","Celastrus","Celastraceae","W - Wild","","Vietnam","11-03-2025","family"
"Cephalophyllum","ALIVE","2021-789","K:LCD-2021-789*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum","ALIVE","2000-680","K:LCD-2000-680*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","","","12-12-2023","genus"
"Cephalophyllum","ALIVE","2021-170","K:LCD-2021-170*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","21-02-2024","genus"
"Cephalophyllum","ALIVE","2016-933","K:LCD-2016-933*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","","12-12-2023","genus"
"Cephalophyllum","ALIVE","2021-1027","K:LCD-2021-1027*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum","ALIVE","2016-933","K:LCD-2016-933*2","Cephalophyllum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","","12-12-2023","genus"
"Cephalophyllum","ALIVE","2000-682","K:LCD-2000-682*1","Cephalophyllum","Cephalophyllum","Aizoaceae","","","","12-12-2023","genus"
"Cephalophyllum alstonii","ALIVE","1979-1077","K:LCD-1979-1077*1","Cephalophyllum alstonii","Cephalophyllum","Aizoaceae","","","South Africa","12-12-2023","genus"
"Cephalophyllum confusum","ALIVE","2004-2233","K:LCD-2004-2233*1","Cephalophyllum confusum","Cephalophyllum","Aizoaceae","","","Namibia","12-12-2023","genus"
"Cephalophyllum ebracteatum","ALIVE","2017-2462","K:LCD-2017-2462*1","Cephalophyllum namaquanum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum ebracteatum","ALIVE","2021-804","K:LCD-2021-804*1","Cephalophyllum ebracteatum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","02-11-2021","genus"
"Cephalophyllum goodii","ALIVE","2021-1018","K:LCD-2021-1018*1","Cephalophyllum goodii","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum goodii","ALIVE","2021-1035","K:LCD-2021-1035*1","Cephalophyllum goodii","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum herrei","ALIVE","2021-152","K:LCD-2021-152*1","Cephalophyllum herrei","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum numeesense","ALIVE","2021-119","K:LCD-2021-119*1","Cephalophyllum numeesense","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Cephalophyllum pillansii","ALIVE","2021-164","K:LCD-2021-164*1","Cephalophyllum pillansii","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","21-02-2024","genus"
"Cephalophyllum rigidum","ALIVE","2021-1019","K:LCD-2021-1019*1","Cephalophyllum rigidum","Cephalophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","22-02-2025","genus"
"Cerochlamys pachyphylla","ALIVE","2024-1557","K:LCD-2024-1557*1","Cerochlamys pachyphylla","Cerochlamys","Aizoaceae","","","South Africa","29-08-2024","genus"
"Chadsia flammea subsp. flammea","ALIVE","2007-1610","K:LCD-2007-1610*2","Chadsia flammea subsp. flammea","Chadsia","Fabaceae","","N - Natural Source and Progeny","","20-09-2023","genus"
"Chadsia grevei subsp. latifolia","ALIVE","2019-2066","K:LCD-2019-2066*1","Chadsia grevei subsp. latifolia","Chadsia","Fabaceae","","N - Natural Source and Progeny","Madagascar","12-01-2023","genus"
"Chadsia versicolor","ALIVE","2020-993","K:LCD-2020-993*1","Chadsia versicolor","Chadsia","Fabaceae","","N - Natural Source and Progeny","Madagascar","03-07-2023","genus"
"Chaptalia nutans","ALIVE","1983-2018","K:LCD-1983-2018*1","Chaptalia nutans","Chaptalia","Asteraceae",NA,"N - Natural Source and Progeny","Brazil","09-01-2025","genus"
"Chasmanthera dependens","ALIVE","1983-2583","K:LCD-1983-2583*1","Chasmanthera dependens","Chasmanthera","Menispermaceae","","","Ethiopia","23-06-2023","genus"
"Chasmanthera dependens","ALIVE","1983-2583","K:LCD-1983-2583*2","Chasmanthera dependens","Chasmanthera","Menispermaceae","","","Ethiopia","13-02-2024","genus"
"Chasmatophyllum","ALIVE","2000-654","K:LCD-2000-654*1","Chasmatophyllum","Chasmatophyllum","Aizoaceae","","","","12-12-2023","genus"
"Chasmatophyllum musculinum","ALIVE","2000-55","K:LCD-2000-55*1","Chasmatophyllum musculinum","Chasmatophyllum","Aizoaceae","","","","12-12-2023","genus"
"Chasmatophyllum willowmorense","ALIVE","2003-584","K:LCD-2003-584*1","Chasmatophyllum willowmorense","Chasmatophyllum","Aizoaceae","","","","12-12-2023","genus"
"Chassalia boryana","ALIVE","2016-2311","K:LCD-2016-2311*3","Chassalia boryana","Chassalia","Rubiaceae","","N - Natural Source and Progeny","","21-12-2023","genus"
"Chassalia boryana","ALIVE","2012-849","K:LCD-2012-849*1","Chassalia boryana","Chassalia","Rubiaceae","","N - Natural Source and Progeny","","19-12-2023","genus"
"Chassalia boryana","ALIVE","2010-2031","K:LCD-2010-2031*1","Chassalia boryana","Chassalia","Rubiaceae","","N - Natural Source and Progeny","","05-10-2024","genus"
"Chassalia boryana","ALIVE","2016-2311","K:LCD-2016-2311*6","Chassalia boryana","Chassalia","Rubiaceae","","N - Natural Source and Progeny","","28-03-2023","genus"
"Chassalia grandifolia","ALIVE","2010-2032","K:LCD-2010-2032*1","Chassalia grandifolia","Chassalia","Rubiaceae","","N - Natural Source and Progeny","","20-12-2023","genus"
"Chassalia lanceolata","ALIVE","2010-2004","K:LCD-2010-2004*1","Chassalia lanceolata","Chassalia","Rubiaceae","","N - Natural Source and Progeny","Mauritius","16-03-2023","genus"
"Chiococca alba","ALIVE","1978-4441","K:LCD-1978-4441*1","Chiococca alba","Chiococca","Rubiaceae",NA,"","Bermuda","28-07-2022","genus"
"Chloroleucon tortum","ALIVE","1973-12289","K:LCD-1973-12289*2","Chloroleucon tortum","Chloroleucon","Fabaceae","","","","17-06-2025","genus"
"Chondroscaphe atrilinguis","ALIVE","2023-0714","K:LCD-2023-0714*1","Chondroscaphe atrilinguis","Chondroscaphe","Orchidaceae","","","","13-04-2023","genus"
"Chonemorpha fragrans","ALIVE","1957-46110","K:LCD-1957-46110*2","Chonemorpha fragrans","Chonemorpha","Apocynaceae","","","","15-03-2023","genus"
"Chonemorpha fragrans","ALIVE","1957-46110","K:LCD-1957-46110*1","Chonemorpha fragrans","Chonemorpha","Apocynaceae","","","","18-12-2024","genus"
"Christiana africana","ALIVE","2016-1512","K:LCD-2016-1512*2","Christiana africana","Christiana","Malvaceae","","N - Natural Source and Progeny","Madagascar","23-01-2023","genus"
"Christiana africana","ALIVE","2016-1512","K:LCD-2016-1512*1","Christiana africana","Christiana","Malvaceae","","N - Natural Source and Progeny","Madagascar","17-06-2025","genus"
"Chromolaena lucayana","ALIVE","2010-2273","K:LCD-2010-2273*1","Chromolaena lucayana","Chromolaena","Asteraceae","","N - Natural Source and Progeny","Turks and Caicos Islands","05-12-2023","genus"
"Cionosicys pomiformis","ALIVE","2018-2267","K:LCD-2018-2267*1","Cionosicys pomiformis","Cionosicys","Cucurbitaceae","","N - Natural Source and Progeny","Cayman Islands","05-12-2023","genus"
"Citharexylum berlandieri","ALIVE","1973-12402","K:LCD-1973-12402*1","Citharexylum berlandieri","Citharexylum","Verbenaceae",NA,"","","28-11-2024","genus"
"Citharexylum ilicifolium","ALIVE","1973-12321","K:LCD-1973-12321*1","Citharexylum ilicifolium","Citharexylum","Verbenaceae",NA,"","","29-01-2024","genus"
"Citharexylum ligustrifolium","ALIVE","1969-51235","K:LCD-1969-51235*1","Citharexylum ligustrifolium","Citharexylum","Verbenaceae",NA,"","","25-07-2022","genus"
"Cleisomeria pilosulum","ALIVE","2025-704","K:LCD-2025-704*1","Cleisomeria pilosulum","Cleisomeria","Orchidaceae","G - Garden","","","30-05-2025","genus"
"Cleyera japonica","ALIVE","1966-19101","K:LCD-1966-19101*1","Cleyera japonica","Cleyera","Pentaphylacaceae",NA,"N - Natural Source and Progeny","Nepal","24-05-2024","genus"
"Cleyera japonica","ALIVE","1973-18237","K:LCD-1973-18237*1","Cleyera japonica","Cleyera","Pentaphylacaceae",NA,"","","24-05-2024","genus"
"Clinanthus incarnatus","ALIVE","2018-1889","K:LCD-2018-1889*1","Clinanthus incarnatus","Clinanthus","Amaryllidaceae","","","Peru","15-01-2025","genus"
"Clinanthus incarnatus","ALIVE","1976-39","K:LCD-1976-39*1","Clinanthus incarnatus","Clinanthus","Amaryllidaceae","","N - Natural Source and Progeny","Peru","08-07-2025","genus"
"Clinanthus incarnatus","ALIVE","2018-1888","K:LCD-2018-1888*1","Clinanthus incarnatus","Clinanthus","Amaryllidaceae","","","Peru","08-07-2025","genus"
"Clinanthus incarnatus","ALIVE","1976-3598","K:LCD-1976-3598*1","Clinanthus incarnatus","Clinanthus","Amaryllidaceae","","N - Natural Source and Progeny","Peru","08-07-2025","genus"
"Clinanthus incarnatus","ALIVE","2018-1888","K:LCD-2018-1888*2","Clinanthus incarnatus","Clinanthus","Amaryllidaceae","","","Peru","05-10-2024","genus"
"Clinanthus variegatus","ALIVE","2018-1890","K:LCD-2018-1890*1","Clinanthus variegatus","Clinanthus","Amaryllidaceae","","","Peru","08-07-2025","genus"
"Clowesia dodsoniana","ALIVE","2022-914","K:LCD-2022-914*1","Clowesia dodsoniana","Clowesia","Orchidaceae","","","","05-06-2024","genus"
"Clowesia dodsoniana","ALIVE","1987-1982","K:LCD-1987-1982*3","Clowesia dodsoniana","Clowesia","Orchidaceae","","N - Natural Source and Progeny","Mexico","08-03-2024","genus"
"Clowesia russelliana","ALIVE","2003-370","K:LCD-2003-370*1","Clowesia russelliana","Clowesia","Orchidaceae","","","","05-01-2023","genus"
"Clowesia russelliana","ALIVE","1999-3004","K:LCD-1999-3004*1","Clowesia russelliana","Clowesia","Orchidaceae","","","Ecuador","08-03-2024","genus"
"Clowesia russelliana","ALIVE","1982-4235","K:LCD-1982-4235*4","Clowesia russelliana","Clowesia","Orchidaceae","","","","17-08-2023","genus"
"Cnicothamnus lorentzii","ALIVE","2018-2271","K:LCD-2018-2271*5","Cnicothamnus lorentzii","Cnicothamnus","Asteraceae",NA,"N - Natural Source and Progeny","Argentina","20-02-2025","genus"
"Cnicothamnus lorentzii","ALIVE","2018-2271","K:LCD-2018-2271*4","Cnicothamnus lorentzii","Cnicothamnus","Asteraceae",NA,"N - Natural Source and Progeny","Argentina","20-02-2025","genus"
"Codonorhiza azurea","ALIVE","2020-1457","K:LCD-2020-1457*1","Codonorhiza azurea","Codonorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Codonorhiza corymbosa","ALIVE","2020-1458","K:LCD-2020-1458*2","Codonorhiza corymbosa","Codonorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Codonorhiza fastigiata","ALIVE","2020-1459","K:LCD-2020-1459*2","Codonorhiza fastigiata","Codonorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Colea comorensis","ALIVE","2023-2051","K:LCD-2023-2051*1","Colea comorensis","Colea","Bignoniaceae","","N - Natural Source and Progeny","Comoros","17-06-2025","genus"
"Colea floribunda","ALIVE","1988-2364","K:LCD-1988-2364*2","Colea floribunda","Colea","Bignoniaceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","genus"
"Colea floribunda","ALIVE","1989-3845","K:LCD-1989-3845*2","Colea floribunda","Colea","Bignoniaceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","genus"
"Collabium","ALIVE","2023-1336","K:LCD-2023-1336*1","Collabium","Collabium","Orchidaceae","","N - Natural Source and Progeny","","27-06-2024","genus"
"Colvillea racemosa","ALIVE","1993-224","K:LCD-1993-224*5","Colvillea racemosa","Colvillea","Fabaceae","","N - Natural Source and Progeny","Madagascar","10-12-2024","genus"
"Conocarpus erectus","ALIVE","1993-498","K:LCD-1993-498*1","Conocarpus erectus","Conocarpus","Combretaceae","","N - Natural Source and Progeny","Guyana","22-12-2023","genus"
"Conocarpus erectus","ALIVE","1979-3100","K:LCD-1979-3100*1","Conocarpus erectus","Conocarpus","Combretaceae","","N - Natural Source and Progeny","Bermuda","22-09-2022","genus"
"Coptosperma","ALIVE","2009-3514","K:LCD-2009-3514*1","Coptosperma","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma","ALIVE","2023-1105","K:LCD-2023-1105*1","Coptosperma","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","15-06-2023","genus"
"Coptosperma","ALIVE","2006-1467","K:LCD-2006-1467*1","Coptosperma","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma","ALIVE","2014-1310","K:LCD-2014-1310*1","Coptosperma","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma bernierianum","ALIVE","2007-1646","K:LCD-2007-1646*1","Coptosperma bernierianum","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma cymosum","ALIVE","2003-3545","K:LCD-2003-3545*1","Coptosperma cymosum","Coptosperma","Rubiaceae","","","","22-12-2023","genus"
"Coptosperma nigrescens","ALIVE","2009-250","K:LCD-2009-250*4","Coptosperma nigrescens","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","23-01-2023","genus"
"Coptosperma nigrescens","ALIVE","2008-3095","K:LCD-2008-3095*1","Coptosperma nigrescens","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma nigrescens","ALIVE","2009-250","K:LCD-2009-250*1","Coptosperma nigrescens","Coptosperma","Rubiaceae","","N - Natural Source and Progeny","Madagascar","09-11-2022","genus"
"Coptosperma nigrescens","ALIVE","2009-250","K:LCD-2009-250*2","Coptosperma nigrescens","Coptosperma","Rubiaceae",NA,"N - Natural Source and Progeny","Madagascar","08-08-2024","genus"
"Cordyla madagascariensis","ALIVE","2014-1779","K:LCD-2014-1779*1","Cordyla madagascariensis","Cordyla","Fabaceae","","N - Natural Source and Progeny","Madagascar","25-11-2022","genus"
"Corryocactus aureus","ALIVE","2007-2231","K:LCD-2007-2231*1","Corryocactus aureus","Corryocactus","Cactaceae","","","","10-12-2024","genus"
"Corryocactus aureus","ALIVE","2007-1515","K:LCD-2007-1515*1","Corryocactus aureus","Corryocactus","Cactaceae","","","","19-02-2024","genus"
"Corryocactus ayacuchoensis","ALIVE","2023-0871","K:LCD-2023-0871*1","Corryocactus ayacuchoensis","Corryocactus","Cactaceae","","","","10-05-2023","genus"
"Corryocactus brevistylus","ALIVE","2001-3819","K:LCD-2001-3819*1","Corryocactus brevistylus","Corryocactus","Cactaceae","","","","10-12-2024","genus"
"Corryocactus brevistylus","ALIVE","2007-2019","K:LCD-2007-2019*1","Corryocactus brevistylus","Corryocactus","Cactaceae","","","","10-12-2024","genus"
"Corryocactus erectus","ALIVE","1976-58","K:LCD-1976-58*3","Corryocactus erectus","Corryocactus","Cactaceae","","N - Natural Source and Progeny","Peru","19-02-2024","genus"
"Corryocactus erectus","ALIVE","1976-58","K:LCD-1976-58*2","Corryocactus erectus","Corryocactus","Cactaceae","","N - Natural Source and Progeny","Peru","10-12-2024","genus"
"Corryocactus erectus","ALIVE","1973-13337","K:LCD-1973-13337*2","Corryocactus erectus","Corryocactus","Cactaceae","","","","19-02-2024","genus"
"Corryocactus melanotrichus","ALIVE","1961-50601","K:LCD-1961-50601*2","Corryocactus melanotrichus","Corryocactus","Cactaceae","","","","10-12-2024","genus"
"Corymbia calophylla","ALIVE","2023-0866","K:LCD-2023-0866*1","Corymbia calophylla","Corymbia","Myrtaceae","","","","10-05-2023","genus"
"Cossinia pinnata","ALIVE","2015-436","K:LCD-2015-436*1","Cossinia pinnata","Cossinia","Sapindaceae","","N - Natural Source and Progeny","Reunion","21-12-2023","genus"
"Cossinia pinnata","ALIVE","2010-1956","K:LCD-2010-1956*3","Cossinia pinnata","Cossinia","Sapindaceae","","N - Natural Source and Progeny","Mauritius","22-12-2023","genus"
"Cossinia pinnata","ALIVE","2010-1956","K:LCD-2010-1956*1","Cossinia pinnata","Cossinia","Sapindaceae","","N - Natural Source and Progeny","Mauritius","22-12-2023","genus"
"Cranichis muscosa","ALIVE","2021-449","K:LCD-2021-449*1","Cranichis muscosa","Cranichis","Orchidaceae","","N - Natural Source and Progeny","Costa Rica","10-12-2024","genus"
"Crossopetalum uragoga","ALIVE","2012-609","K:LCD-2012-609*1","Crossopetalum uragoga","Crossopetalum","Celastraceae","","N - Natural Source and Progeny","Cayman Islands","05-12-2023","family"
"Cryptocarya alba","ALIVE","1983-1606","K:LCD-1983-1606*1","Cryptocarya alba","Cryptocarya","Lauraceae",NA,"N - Natural Source and Progeny","Chile","25-01-2024","genus"
"Cryptocarya triplinervis","ALIVE","1970-2112","K:LCD-1970-2112*1","Cryptocarya triplinervis","Cryptocarya","Lauraceae",NA,"N - Natural Source and Progeny","Australia","28-12-2024","genus"
"Cryptostylis arachnites","ALIVE","2023-1309","K:LCD-2023-1309*1","Cryptostylis arachnites","Cryptostylis","Orchidaceae","","N - Natural Source and Progeny","","28-06-2024","genus"
"Cumulopuntia","ALIVE","1986-3798","K:LCD-1986-3798*2","Cumulopuntia","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Bolivia","19-12-2023","genus"
"Cumulopuntia","ALIVE","2008-1171","K:LCD-2008-1171*1","Cumulopuntia","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Bolivia","19-12-2023","genus"
"Cumulopuntia boliviana","ALIVE","2025-342","K:LCD-2025-342*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","W - Wild","","Argentina","02-04-2025","genus"
"Cumulopuntia boliviana","ALIVE","1979-2753","K:LCD-1979-2753*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Argentina","19-12-2023","genus"
"Cumulopuntia boliviana","ALIVE","1979-2748","K:LCD-1979-2748*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Argentina","19-12-2023","genus"
"Cumulopuntia boliviana","ALIVE","2007-698","K:LCD-2007-698*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","","","","19-12-2023","genus"
"Cumulopuntia boliviana","ALIVE","1963-68208","K:LCD-1963-68208*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","","","","19-12-2023","genus"
"Cumulopuntia boliviana","ALIVE","1979-2747","K:LCD-1979-2747*1","Cumulopuntia boliviana","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Argentina","19-12-2023","genus"
"Cumulopuntia sphaerica","ALIVE","1982-1861","K:LCD-1982-1861*1","Cumulopuntia sphaerica","Cumulopuntia","Cactaceae","","N - Natural Source and Progeny","Peru","19-12-2023","genus"
"Cumulopuntia sphaerica","ALIVE","1991-502","K:LCD-1991-502*1","Cumulopuntia sphaerica","Cumulopuntia","Cactaceae","","","Chile","14-01-2025","genus"
"Cumulopuntia subterranea subsp. pulcherrima","ALIVE","2023-0904","K:LCD-2023-0904*1","Cumulopuntia subterranea subsp. pulcherrima","Cumulopuntia","Cactaceae","","","","22-05-2023","genus"
"Cumulopuntia zehnderi","ALIVE","2007-16","K:LCD-2007-16*1","Cumulopuntia zehnderi","Cumulopuntia","Cactaceae","","","Chile","19-12-2023","genus"
"Cunonia capensis","ALIVE","1995-232","K:LCD-1995-232*2","Cunonia capensis","Cunonia","Cunoniaceae",NA,"","","09-01-2025","genus"
"Cyanella aquatica","ALIVE","2012-95","K:LCD-2012-95*1","Cyanella aquatica","Cyanella","Tecophilaeaceae",NA,"","","02-07-2024","genus"
"Cyanella aquatica","ALIVE","2012-95","K:LCD-2012-95*5","Cyanella aquatica","Cyanella","Tecophilaeaceae","","","","22-07-2025","genus"
"Cyclantheropsis parviflora","ALIVE","2021-1194","K:LCD-2021-1194*1","Cyclantheropsis parviflora","Cyclantheropsis","Cucurbitaceae","","N - Natural Source and Progeny","Kenya","13-02-2024","genus"
"Cyclopeltis crenata","ALIVE","2024-0785","K:LCD-2024-0785*1","Cyclopeltis crenata","Cyclopeltis","Polypodiaceae","","","","08-04-2024","genus"
"Cylindrocline commersonii","ALIVE","2010-1943","K:LCD-2010-1943*4","Cylindrocline commersonii","Cylindrocline","Asteraceae",NA,"N - Natural Source and Progeny","Mauritius","09-01-2025","genus"
"Cylindrocline commersonii","ALIVE","2010-1943","K:LCD-2010-1943*2","Cylindrocline commersonii","Cylindrocline","Asteraceae","","N - Natural Source and Progeny","Mauritius","03-09-2024","genus"
"Cylindrocline lorencei","ALIVE","2001-2791","K:LCD-2001-2791*2","Cylindrocline lorencei","Cylindrocline","Asteraceae","","","","03-10-2024","genus"
"Cylindrocline lorencei","ALIVE","2001-2791","K:LCD-2001-2791*1","Cylindrocline lorencei","Cylindrocline","Asteraceae",NA,"","","09-12-2024","genus"
"Cylindrophyllum","ALIVE","2009-930","K:LCD-2009-930*1","Cylindrophyllum","Cylindrophyllum","Aizoaceae","","","","19-12-2023","genus"
"Cylindrophyllum","ALIVE","2018-21","K:LCD-2018-21*1","Cylindrophyllum","Cylindrophyllum","Aizoaceae","","N - Natural Source and Progeny","","19-12-2023","genus"
"Cylindrophyllum hallii","ALIVE","2009-1869","K:LCD-2009-1869*1","Cylindrophyllum hallii","Cylindrophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","19-12-2023","genus"
"Cylindrophyllum hallii","ALIVE","2009-1869","K:LCD-2009-1869*3","Cylindrophyllum hallii","Cylindrophyllum","Aizoaceae","","N - Natural Source and Progeny","South Africa","19-12-2023","genus"
"Cynometra ramiflora","ALIVE","1987-1990","K:LCD-1987-1990*4","Cynometra ramiflora","Cynometra","Fabaceae","","N - Natural Source and Progeny","Christmas Island","20-12-2023","genus"
"Cynometra ramiflora","ALIVE","1987-1990","K:LCD-1987-1990*5","Cynometra ramiflora","Cynometra","Fabaceae","","N - Natural Source and Progeny","Christmas Island","17-06-2025","genus"
"Cyrtochiloides ochmatochila","ALIVE","2021-450","K:LCD-2021-450*1","Cyrtochiloides ochmatochila","Cyrtochiloides","Orchidaceae","","N - Natural Source and Progeny","Costa Rica","24-12-2024","genus"
"Dalbergia","ALIVE","2015-2109","K:LCD-2015-2109*3","Dalbergia","Dalbergia","Fabaceae","","N - Natural Source and Progeny","Madagascar","25-11-2022","genus"
"Dalbergia glaucocarpa","ALIVE","2020-1129","K:LCD-2020-1129*1","Dalbergia glaucocarpa","Dalbergia","Fabaceae","","N - Natural Source and Progeny","Madagascar","20-09-2023","genus"
"Dalbergia pervillei","ALIVE","2018-2264","K:LCD-2018-2264*1","Dalbergia pervillei","Dalbergia","Fabaceae","","N - Natural Source and Progeny","Madagascar","23-01-2023","genus"
"Dalbergia pseudobaronii","ALIVE","2018-2263","K:LCD-2018-2263*1","Dalbergia pseudobaronii","Dalbergia","Fabaceae","","N - Natural Source and Progeny","Madagascar","25-11-2022","genus"
"Dapania pentandra","ALIVE","2011-1503","K:LCD-2011-1503*1","Dapania pentandra","Dapania","Oxalidaceae","","N - Natural Source and Progeny","Madagascar","22-12-2023","genus"
"Daviesia genistifolia","ALIVE","2000-4560","K:LCD-2000-4560*1","Daviesia genistifolia","Daviesia","Fabaceae","","N - Natural Source and Progeny","Australia","27-01-2016","genus"
"Deherainia smaragdina","ALIVE","1969-13985","K:LCD-1969-13985*2","Deherainia smaragdina","Deherainia","Primulaceae","","","","10-06-2025","genus"
"Dendrophylax fawcettii","ALIVE","2022-361","K:LCD-2022-361*1","Dendrophylax fawcettii","Dendrophylax","Orchidaceae","","","","20-12-2024","genus"
"Dendrophylax lindenii","ALIVE","2023-0955","K:LCD-2023-0955*1","Dendrophylax lindenii","Dendrophylax","Orchidaceae","","N - Natural Source and Progeny","","02-01-2024","genus"
"Dendrophylax sallei","ALIVE","2023-1535","K:LCD-2023-1535*1","Dendrophylax sallei","Dendrophylax","Orchidaceae","","","","20-12-2024","genus"
"Dennstaedtia globulifera","ALIVE","1963-28204","K:LCD-1963-28204*1","Dennstaedtia globulifera","Dennstaedtia","Dennstaedtiaceae","","","","05-07-2022","genus"
"Deppea splendens","ALIVE","2015-388","K:LCD-2015-388*3","Deppea splendens","Deppea","Rubiaceae",NA,"","","09-01-2025","genus"
