"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Ania ruybarrettoi","ALIVE","2025-568","K:LCD-2025-568*1","Ania ruybarrettoi","Ania","Orchidaceae","G - Garden","","","13-05-2025","genus"
"Anisotes dumosus","ALIVE","1936-42401","K:LCD-1936-42401*1","Anisotes dumosus","Anisotes","Acanthaceae","","N - Natural Source and Progeny","Tanzania","28-06-2022","genus"
"Antegibbaeum fissoides","ALIVE","1998-3186","K:LCD-1998-3186*1","Antegibbaeum fissoides","Antegibbaeum","Aizoaceae","","","","12-12-2023","genus"
"Antimima","ALIVE","2021-951","K:LCD-2021-951*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","18-11-2021","genus"
"Antimima","ALIVE","2021-790","K:LCD-2021-790*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima","ALIVE","2021-1008","K:LCD-2021-1008*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima","ALIVE","2024-0249","K:LCD-2024-0249*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-02-2024","genus"
"Antimima","ALIVE","2020-1052","K:LCD-2020-1052*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima","ALIVE","2021-1024","K:LCD-2021-1024*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima","ALIVE","2021-1030","K:LCD-2021-1030*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima","ALIVE","2021-936","K:LCD-2021-936*1","Antimima","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima compacta","ALIVE","2021-130","K:LCD-2021-130*1","Antimima compacta","Antimima","Aizoaceae","","N - Natural Source and Progeny","South Africa","12-12-2023","genus"
"Antimima evoluta","ALIVE","2020-475","K:LCD-2020-475*1","Antimima evoluta","Antimima","Aizoaceae","","N - Natural Source and Progeny","","12-12-2023","genus"
"Antimima evoluta","ALIVE","2011-658","K:LCD-2011-658*1","Antimima evoluta","Antimima","Aizoaceae","","N - Natural Source and Progeny","","12-12-2023","genus"
"Antimima roseola","ALIVE","2011-362","K:LCD-2011-362*1","Antimima roseola","Antimima","Aizoaceae","","N - Natural Source and Progeny","","28-10-2021","genus"
"Aoranthe penduliflora","ALIVE","2012-1409","K:LCD-2012-1409*2","Aoranthe penduliflora","Aoranthe","Rubiaceae","","N - Natural Source and Progeny","Tanzania","23-12-2023","genus"
"Aphanopetalum resinosum","ALIVE","1975-1700","K:LCD-1975-1700*1","Aphanopetalum resinosum","Aphanopetalum","Aphanopetalaceae",NA,"","","28-12-2024","genus"
"Aphanopetalum resinosum","ALIVE","1975-1700","K:LCD-1975-1700*1","Aphanopetalum resinosum","Aphanopetalum","Aphanopetalaceae",NA,"","","28-12-2024","family"
"Apodasmia similis","ALIVE","2016-593","K:LCD-2016-593*1","Apodasmia similis","Apodasmia","Restionaceae",NA,"N - Natural Source and Progeny","New Zealand","27-03-2024","genus"
"Araujia sericifera","ALIVE","1989-1358","K:LCD-1989-1358*2","Araujia sericifera","Araujia","Apocynaceae","","","","15-03-2023","genus"
"Archidendron ramiflorum","ALIVE","1987-8074","K:LCD-1987-8074*1","Archidendron ramiflorum","Archidendron","Fabaceae","","N - Natural Source and Progeny","Australia","20-12-2023","genus"
"Archidendron ramiflorum","ALIVE","1987-8074","K:LCD-1987-8074*2","Archidendron ramiflorum","Archidendron","Fabaceae","","N - Natural Source and Progeny","Australia","20-12-2023","genus"
"Ardisiandra wettsteinii","ALIVE","2012-1399","K:LCD-2012-1399*2","Ardisiandra wettsteinii","Ardisiandra","Primulaceae","","N - Natural Source and Progeny","Kenya","13-12-2024","genus"
"Argyrodendron peralatum","ALIVE","1987-8070","K:LCD-1987-8070*1","Argyrodendron peralatum","Argyrodendron","Malvaceae","","N - Natural Source and Progeny","Australia","05-12-2024","genus"
"Argyrodendron peralatum","ALIVE","1987-8070","K:LCD-1987-8070*3","Argyrodendron peralatum","Argyrodendron","Malvaceae",NA,"N - Natural Source and Progeny","Australia","28-12-2024","genus"
"Argyrodendron peralatum","ALIVE","1987-8070","K:LCD-1987-8070*5","Argyrodendron peralatum","Argyrodendron","Malvaceae",NA,"N - Natural Source and Progeny","Australia","28-12-2024","genus"
"Armatocereus","ALIVE","1985-605","K:LCD-1985-605*3","Armatocereus","Armatocereus","Cactaceae","","","","05-01-2023","genus"
"Armatocereus laetus","ALIVE","1953-53602","K:LCD-1953-53602*1","Armatocereus laetus","Armatocereus","Cactaceae","","","","05-01-2023","genus"
"Armatocereus matucanensis","ALIVE","1985-399","K:LCD-1985-399*1","Armatocereus matucanensis","Armatocereus","Cactaceae","","","","15-02-2024","genus"
"Arrojadoa bahiensis","ALIVE","1991-1419","K:LCD-1991-1419*1","Arrojadoa bahiensis","Arrojadoa","Cactaceae","","N - Natural Source and Progeny","Brazil","14-02-2024","genus"
"Arrojadoa penicillata","ALIVE","1995-3800","K:LCD-1995-3800*1","Arrojadoa penicillata","Arrojadoa","Cactaceae","","N - Natural Source and Progeny","Brazil","14-02-2024","genus"
"Arrojadoa rhodantha","ALIVE","1999-2209","K:LCD-1999-2209*1","Arrojadoa rhodantha","Arrojadoa","Cactaceae","","","","14-02-2024","genus"
"Arthrocereus melanurus subsp. magnus","ALIVE","1995-2363","K:LCD-1995-2363*1","Arthrocereus melanurus subsp. magnus","Arthrocereus","Cactaceae","","N - Natural Source and Progeny","Brazil","20-02-2024","genus"
