filename;sample_id;species;NCBITaxonomy_ID;Ionization_mode;garden;dataset;taxon_scientific_name;taxon_accepted_name;taxon_rank;observation_subject;is_wild;qfield_project;latitude;longitude;collection_date;instrument_model;extraction_method;sample_type
20240307_EB_dbgi_001195_01_01.mzML;dbgi_001195;Geranium sibiricum L.;NA;Positive;JBUF;jbuf;Geranium sibiricum;Geranium sibiricum L.;species;NA;0;jbuf;46,792282;7,1569970;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001199_01_01.mzML;dbgi_001199;Oenothera glazioviana Micheli;NA;Positive;JBUF;jbuf;Oenothera glazioviana;Oenothera glazioviana Micheli;species;NA;0;jbuf;46,792260;7,1569967;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001213_01_01.mzML;dbgi_001213;Arabis alpina subsp. alpina;NA;Positive;JBUF;jbuf;Arabis alpina subsp. alpina;Arabis alpina subsp. alpina;subspecies;NA;0;jbuf;46,792175;7,1568546;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001215_01_01.mzML;dbgi_001215;Lythrum hyssopifolia L.;NA;Positive;JBUF;jbuf;Lythrum hyssopifolia;Lythrum hyssopifolia L.;species;NA;0;jbuf;46,792248;7,1570535;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001764_01_01.mzML;dbgi_001764;Raphanus sativus var. niger;NA;Positive;JBUF;jbuf;Raphanus sativus var. niger;Raphanus sativus var. niger;variety;NA;0;jbuf;46,792183;7,1569376;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001773_01_01.mzML;dbgi_001773;Diplotaxis tenuifolia (L.) DC.;NA;Positive;JBUF;jbuf;Diplotaxis tenuifolia;Diplotaxis tenuifolia (L.) DC.;species;NA;0;jbuf;46,792164;7,1568937;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001774_01_01.mzML;dbgi_001774;Brassica rapa subsp. rapa;NA;Positive;JBUF;jbuf;Brassica rapa subsp. rapa;Brassica rapa subsp. rapa;subspecies;NA;0;jbuf;46,792170;7,1569853;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001777_01_01.mzML;dbgi_001777;Brassica oleracea L.;NA;Positive;JBUF;jbuf;Brassica oleracea;Brassica oleracea L.;species;NA;0;jbuf;46,792160;7,1570830;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001781_01_01.mzML;dbgi_001781;Erysimum perofskianum Fisch. & C.A.Mey.;NA;Positive;JBUF;jbuf;Erysimum perofskianum;Erysimum perofskianum Fisch. & C.A.Mey.;species;NA;0;jbuf;46,792206;7,1567790;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001788_01_01.mzML;dbgi_001788;Neslia paniculata (L.) Desv.;NA;Positive;JBUF;jbuf;Neslia paniculata;Neslia paniculata (L.) Desv.;species;NA;0;jbuf;46,792213;7,1567590;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001799_01_01.mzML;dbgi_001799;Polanisia dodecandra (L.) DC.;NA;Positive;JBUF;jbuf;Polanisia dodecandra;Polanisia dodecandra (L.) DC.;species;NA;0;jbuf;46,792210;7,1568440;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001804_01_01.mzML;dbgi_001804;Beta vulgaris L.;NA;Positive;JBUF;jbuf;Beta vulgaris;Beta vulgaris L.;species;NA;0;jbuf;46,792114;7,1568520;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001805_01_01.mzML;dbgi_001805;Gypsophila fastigiata L.;NA;Positive;JBUF;jbuf;Gypsophila fastigiata;Gypsophila fastigiata L.;species;NA;0;jbuf;46,792140;7,1568640;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001809_01_01.mzML;dbgi_001809;Fagopyrum esculentum Moench;NA;Positive;JBUF;jbuf;Fagopyrum esculentum;Fagopyrum esculentum Moench;species;NA;0;jbuf;46,792107;7,1570050;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001823_01_01.mzML;dbgi_001823;Hesperis matronalis L.;NA;Positive;JBUF;jbuf;Hesperis matronalis;Hesperis matronalis L.;species;NA;0;jbuf;46,792194;7,1568880;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001827_01_01.mzML;dbgi_001827;Matthiola sinuata (L.) W.T.Aiton;NA;Positive;JBUF;jbuf;Matthiola sinuata;Matthiola sinuata (L.) W.T.Aiton;species;NA;0;jbuf;46,792194;7,1568770;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001828_01_01.mzML;dbgi_001828;Hirschfeldia incana (L.) Lagr.-Foss.;NA;Positive;JBUF;jbuf;Hirschfeldia incana;Hirschfeldia incana (L.) Lagr.-Foss.;species;NA;0;jbuf;46,792156;7,1569270;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001836_01_01.mzML;dbgi_001836;Amaranthus hypochondriacus L.;NA;Positive;JBUF;jbuf;Amaranthus hypochondriacus;Amaranthus hypochondriacus L.;species;NA;0;jbuf;46,792103;7,1568933;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001837_01_01.mzML;dbgi_001837;Saponaria officinalis L.;NA;Positive;JBUF;jbuf;Saponaria officinalis;Saponaria officinalis L.;species;NA;0;jbuf;46,792133;7,1568685;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001838_01_01.mzML;dbgi_001838;Petrorhagia prolifera (L.) P.W.Ball & Heywood;NA;Positive;JBUF;jbuf;Petrorhagia prolifera;Petrorhagia prolifera (L.) P.W.Ball & Heywood;species;NA;0;jbuf;46,792140;7,1568522;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001841_01_01.mzML;dbgi_001841;Amaranthus retroflexus L.;NA;Positive;JBUF;jbuf;Amaranthus retroflexus;Amaranthus retroflexus L.;species;NA;0;jbuf;46,792095;7,1569366;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001848_01_01.mzML;dbgi_001848;Amaranthus hypochondriacus L.;NA;Positive;JBUF;jbuf;Amaranthus hypochondriacus;Amaranthus hypochondriacus L.;species;NA;0;jbuf;46,792100;7,1569220;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001857_01_01.mzML;dbgi_001857;Dianthus armeria L.;NA;Positive;JBUF;jbuf;Dianthus armeria;Dianthus armeria L.;species;NA;0;jbuf;46,792130;7,1569223;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001858_01_01.mzML;dbgi_001858;Rheum rhaponticum L.;NA;Positive;JBUF;jbuf;Rheum rhaponticum;Rheum rhaponticum L.;species;NA;1;jbuf;46,792103;7,1571336;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001859_01_01.mzML;dbgi_001859;Atriplex hortensis L.;NA;Positive;JBUF;jbuf;Atriplex hortensis;Atriplex hortensis L.;species;NA;0;jbuf;46,792114;7,1568575;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001860_01_01.mzML;dbgi_001860;Sabulina juniperina (L.) Dillenb. & Kadereit;NA;Positive;JBUF;jbuf;Sabulina juniperina;Sabulina juniperina (L.) Dillenb. & Kadereit;species;NA;0;jbuf;46,792126;7,1569333;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001861_01_01.mzML;dbgi_001861;Scleranthus annuus L.;NA;Positive;JBUF;jbuf;Scleranthus annuus;Scleranthus annuus L.;species;NA;0;jbuf;46,792120;7,1569276;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001862_01_01.mzML;dbgi_001862;Dianthus chinensis L.;NA;Positive;JBUF;jbuf;Dianthus chinensis;Dianthus chinensis L.;species;NA;0;jbuf;46,792130;7,1569110;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001863_01_01.mzML;dbgi_001863;Eremogone saxatilis (L.) Ikonn.;NA;Positive;JBUF;jbuf;Eremogone saxatilis;Eremogone saxatilis (L.) Ikonn.;species;NA;1;jbuf;46,792118;7,1569370;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001867_01_01.mzML;dbgi_001867;Dysphania botrys (L.) Mosyakin & Clemants;NA;Positive;JBUF;jbuf;Dysphania botrys;Dysphania botrys (L.) Mosyakin & Clemants;species;NA;0;jbuf;46,792110;7,1568794;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001869_01_01.mzML;dbgi_001869;Mesembryanthemum crystallinum L.;NA;Positive;JBUF;jbuf;Mesembryanthemum crystallinum;Mesembryanthemum crystallinum L.;species;NA;0;jbuf;46,792126;7,1568340;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001870_01_01.mzML;dbgi_001870;Cerastium tomentosum L.;NA;Positive;JBUF;jbuf;Cerastium tomentosum;Cerastium tomentosum L.;species;NA;0;jbuf;46,792114;7,1569586;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001873_01_01.mzML;dbgi_001873;Amaranthus caudatus L.;NA;Positive;JBUF;jbuf;Amaranthus caudatus;Amaranthus caudatus L.;species;NA;0;jbuf;46,792100;7,1569140;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001875_01_01.mzML;dbgi_001875;Brassica oleracea L.;NA;Positive;JBUF;jbuf;Brassica oleracea;Brassica oleracea L.;species;NA;0;jbuf;46,792164;7,1570187;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001884_01_01.mzML;dbgi_001884;Silene baccifera (L.) Durande;NA;Positive;JBUF;jbuf;Silene baccifera;Silene baccifera (L.) Durande;species;NA;0;jbuf;46,792145;7,1568513;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001893_01_01.mzML;dbgi_001893;Camelina sativa (L.) Crantz;NA;Positive;JBUF;jbuf;Camelina sativa;Camelina sativa (L.) Crantz;species;NA;0;jbuf;46,792220;7,1567655;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001894_01_01.mzML;dbgi_001894;Dianthus hyssopifolius L.;NA;Positive;JBUF;jbuf;Dianthus hyssopifolius;Dianthus hyssopifolius L.;species;NA;0;jbuf;46,792126;7,1568960;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001895_01_01.mzML;dbgi_001895;Dianthus giganteus d'Urv.;NA;Positive;JBUF;jbuf;Dianthus giganteus;Dianthus giganteus d'Urv.;species;NA;0;jbuf;46,792126;7,1569014;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001910_01_01.mzML;dbgi_001910;Blitum capitatum L.;NA;Positive;JBUF;jbuf;Blitum capitatum;Blitum capitatum L.;species;NA;0;jbuf;46,792114;7,1568610;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001912_01_01.mzML;dbgi_001912;Rumex acetosa L.;NA;Positive;JBUF;jbuf;Rumex acetosa;Rumex acetosa L.;species;NA;0;jbuf;46,792103;7,1570983;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001915_01_01.mzML;dbgi_001915;Indigofera heterantha Wall. ex Brandis;NA;Positive;JBUF;jbuf;Indigofera heterantha;Indigofera heterantha Wall. ex Brandis;species;NA;0;jbuf;46,792267;7,1572127;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001922_01_01.mzML;dbgi_001922;Phaseolus vulgaris L.;NA;Positive;JBUF;jbuf;Phaseolus vulgaris;Phaseolus vulgaris L.;species;NA;0;jbuf;46,792244;7,1572060;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001928_01_01.mzML;dbgi_001928;Cylindropuntia imbricata subsp. imbricata;NA;Positive;JBUF;jbuf;Cylindropuntia imbricata subsp. imbricata;Cylindropuntia imbricata subsp. imbricata;subspecies;NA;1;jbuf;46,792187;7,1566930;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001935_01_01.mzML;dbgi_001935;Anthyllis vulneraria subsp. alpestris (Kit.) Asch. & Graebn.;NA;Positive;JBUF;jbuf;Anthyllis vulneraria subsp. alpestris;Anthyllis vulneraria subsp. alpestris (Kit.) Asch. & Graebn.;subspecies;NA;0;jbuf;46,792180;7,1571710;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002240_01_01.mzML;dbgi_002240;Salix alba var. vitellina (L.) Stokes;NA;Positive;JBUF;jbuf;Salix alba var. vitellina;Salix alba var. vitellina (L.) Stokes;variety;NA;0;jbuf;46,792175;7,1572948;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002246_01_01.mzML;dbgi_002246;Euphorbia marginata Pursh;NA;Positive;JBUF;jbuf;Euphorbia marginata;Euphorbia marginata Pursh;species;NA;0;jbuf;46,792100;7,1572213;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002247_01_01.mzML;dbgi_002247;Euonymus europaeus L.;NA;Positive;JBUF;jbuf;Euonymus europaeus;Euonymus europaeus L.;species;NA;0;jbuf;46,792213;7,1573043;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002250_01_01.mzML;dbgi_002250;Polygala vulgaris L.;NA;Positive;JBUF;jbuf;Polygala vulgaris;Polygala vulgaris L.;species;NA;0;jbuf;46,792496;7,1570888;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002253_01_01.mzML;dbgi_002253;Euphorbia amygdaloides subsp. semiperfoliata (Viv.) Radcl.-Sm.;NA;Positive;JBUF;jbuf;Euphorbia amygdaloides subsp. semiperfoliata;Euphorbia amygdaloides subsp. semiperfoliata (Viv.) Radcl.-Sm.;subspecies;NA;0;jbuf;46,792107;7,1572146;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002265_01_01.mzML;dbgi_002265;Hypericum perforatum subsp. perforatum;NA;Positive;JBUF;jbuf;Hypericum perforatum subsp. perforatum;Hypericum perforatum subsp. perforatum;subspecies;NA;0;jbuf;46,792110;7,1571927;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002272_01_01.mzML;dbgi_002272;Hypericum ascyron L.;NA;Positive;JBUF;jbuf;Hypericum ascyron;Hypericum ascyron L.;species;NA;0;jbuf;46,792120;7,1572075;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002275_01_01.mzML;dbgi_002275;Veronica serpyllifolia var. serpyllifolia;NA;Positive;JBUF;jbuf;Veronica serpyllifolia var. serpyllifolia;Veronica serpyllifolia var. serpyllifolia;variety;NA;0;jbuf;46,792550;7,1568260;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002277_01_01.mzML;dbgi_002277;Datura stramonium var. godronii Danert;NA;Positive;JBUF;jbuf;Datura stramonium var. godronii;Datura stramonium var. godronii Danert;variety;NA;0;jbuf;46,792545;7,1566377;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002279_01_01.mzML;dbgi_002279;Veronica spicata subsp. spicata;NA;Positive;JBUF;jbuf;Veronica spicata subsp. spicata;Veronica spicata subsp. spicata;subspecies;NA;0;jbuf;46,792550;7,1567984;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002288_01_01.mzML;dbgi_002288;Exochorda racemosa (Lindl.) Rehder;NA;Positive;JBUF;jbuf;Exochorda racemosa;Exochorda racemosa (Lindl.) Rehder;species;NA;0;jbuf;46,792362;7,1572866;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002294_01_01.mzML;dbgi_002294;Medicago sativa L.;NA;Positive;JBUF;jbuf;Medicago sativa;Medicago sativa L.;species;NA;0;jbuf;46,792202;7,1572210;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002312_01_01.mzML;dbgi_002312;Linum grandiflorum Desf.;NA;Positive;JBUF;jbuf;Linum grandiflorum;Linum grandiflorum Desf.;species;NA;0;jbuf;46,792140;7,1572614;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002321_01_01.mzML;dbgi_002321;Digitalis lutea L.;NA;Positive;JBUF;jbuf;Digitalis lutea;Digitalis lutea L.;species;NA;0;jbuf;46,792553;7,1567793;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002332_01_01.mzML;dbgi_002332;Cladrastis kentukea (Dum.Cours.) Rudd;NA;Positive;JBUF;jbuf;Cladrastis kentukea;Cladrastis kentukea (Dum.Cours.) Rudd;species;NA;0;jbuf;46,792297;7,1572313;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002335_01_01.mzML;dbgi_002335;Veronica fruticulosa L.;NA;Positive;JBUF;jbuf;Veronica fruticulosa;Veronica fruticulosa L.;species;NA;0;jbuf;46,792545;7,1568165;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002338_01_01.mzML;dbgi_002338;Albizia julibrissin Durazz.;NA;Positive;JBUF;jbuf;Albizia julibrissin;Albizia julibrissin Durazz.;species;NA;0;jbuf;46,792427;7,1572084;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002356_01_01.mzML;dbgi_002356;Pilea microphylla (L.) Liebm.;NA;Positive;JBUF;jbuf;Pilea microphylla;Pilea microphylla (L.) Liebm.;species;NA;0;jbuf;46,792160;7,1572350;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002359_01_01.mzML;dbgi_002359;Ricinus communis L.;NA;Positive;JBUF;jbuf;Ricinus communis;Ricinus communis L.;species;NA;0;jbuf;46,792100;7,1572165;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002365_01_01.mzML;dbgi_002365;Nothofagus antarctica (G.Forst.) Oerst.;NA;Positive;JBUF;jbuf;Nothofagus antarctica;Nothofagus antarctica (G.Forst.) Oerst.;species;NA;0;jbuf;46,792255;7,1573320;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002374_01_01.mzML;dbgi_002374;Melicytus crassifolius (Hook.fil.) Garn.-Jones;NA;Positive;JBUF;jbuf;Melicytus crassifolius;Melicytus crassifolius (Hook.fil.) Garn.-Jones;species;NA;0;jbuf;46,792156;7,1572650;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002375_01_01.mzML;dbgi_002375;Oxalis triangularis A.St.-Hil.;NA;Positive;JBUF;jbuf;Oxalis triangularis;Oxalis triangularis A.St.-Hil.;species;NA;0;jbuf;46,792133;7,1572127;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002385_01_01.mzML;dbgi_002385;Leptopus chinensis (Bunge) Pojark.;NA;Positive;JBUF;jbuf;Leptopus chinensis;Leptopus chinensis (Bunge) Pojark.;species;NA;0;jbuf;46,792084;7,1571940;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002388_01_01.mzML;dbgi_002388;Hypericum prolificum L.;NA;Positive;JBUF;jbuf;Hypericum prolificum;Hypericum prolificum L.;species;NA;0;jbuf;46,792126;7,1572010;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002390_01_01.mzML;dbgi_002390;Parietaria officinalis L.;NA;Positive;JBUF;jbuf;Parietaria officinalis;Parietaria officinalis L.;species;NA;0;jbuf;46,792156;7,1572430;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002425_01_01.mzML;dbgi_002425;Antirrhinum majus L.;NA;Positive;JBUF;jbuf;Antirrhinum majus;Antirrhinum majus L.;species;NA;0;jbuf;46,792557;7,1567640;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002429_01_01.mzML;dbgi_002429;Nicotiana glutinosa L.;NA;Positive;JBUF;jbuf;Nicotiana glutinosa;Nicotiana glutinosa L.;species;NA;0;jbuf;46,792534;7,1567097;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002433_01_01.mzML;dbgi_002433;Myosotis sylvatica Ehrh. ex Hoffm.;NA;Positive;JBUF;jbuf;Myosotis sylvatica;Myosotis sylvatica Ehrh. ex Hoffm.;species;NA;0;jbuf;46,792560;7,1566434;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002437_01_01.mzML;dbgi_002437;Nicotiana rustica L.;NA;Positive;JBUF;jbuf;Nicotiana rustica;Nicotiana rustica L.;species;NA;0;jbuf;46,792534;7,1567160;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002443_01_01.mzML;dbgi_002443;Prunus serrula Franch.;NA;Positive;JBUF;jbuf;Prunus serrula;Prunus serrula Franch.;species;NA;0;jbuf;46,792507;7,1573143;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002452_01_01.mzML;dbgi_002452;Brugmansia insignis (Barb.Rodr.) Lockwood ex R.E.Schult.;NA;Positive;JBUF;jbuf;Brugmansia insignis;Brugmansia insignis (Barb.Rodr.) Lockwood ex R.E.Schult.;species;NA;0;jbuf;46,792550;7,1566076;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002454_01_01.mzML;dbgi_002454;Cerinthe major L.;NA;Positive;JBUF;jbuf;Cerinthe major;Cerinthe major L.;species;NA;0;jbuf;46,792557;7,1565250;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002469_01_01.mzML;dbgi_002469;Petunia axillaris (Lam.) Britton, Sterns & Poggenb.;NA;Positive;JBUF;jbuf;Petunia axillaris;Petunia axillaris (Lam.) Britton, Sterns & Poggenb.;species;NA;0;jbuf;46,792530;7,1567470;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002478_01_01.mzML;dbgi_002478;Penstemon digitalis Nutt.;NA;Positive;JBUF;jbuf;Penstemon digitalis;Penstemon digitalis Nutt.;species;NA;0;jbuf;46,792553;7,1566987;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002482_01_01.mzML;dbgi_002482;Veronica chamaedrys L.;NA;Positive;JBUF;jbuf;Veronica chamaedrys;Veronica chamaedrys L.;species;NA;0;jbuf;46,792545;7,1568213;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002483_01_01.mzML;dbgi_002483;Borago officinalis L.;NA;Positive;JBUF;jbuf;Borago officinalis;Borago officinalis L.;species;NA;0;jbuf;46,792576;7,1565920;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002487_01_01.mzML;dbgi_002487;Aegonychon purpurocaeruleum (L.) Holub;NA;Positive;JBUF;jbuf;Aegonychon purpurocaeruleum;Aegonychon purpurocaeruleum (L.) Holub;species;NA;0;jbuf;46,792570;7,1565614;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002489_01_01.mzML;dbgi_002489;Solanum melongena L.;NA;Positive;JBUF;jbuf;Solanum melongena;Solanum melongena L.;species;NA;0;jbuf;46,792538;7,1565570;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002493_01_01.mzML;dbgi_002493;Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.;NA;Positive;JBUF;jbuf;Cymbalaria muralis;Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.;species;NA;0;jbuf;46,792553;7,1567287;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002496_01_01.mzML;dbgi_002496;Solanum viride G.Forst. ex Biehler;NA;Positive;JBUF;jbuf;Solanum viride;Solanum viride G.Forst. ex Biehler;species;NA;0;jbuf;46,792540;7,1565610;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002498_01_01.mzML;dbgi_002498;Cynoglossum officinale L.;NA;Positive;JBUF;jbuf;Cynoglossum officinale;Cynoglossum officinale L.;species;NA;0;jbuf;46,792564;7,1566586;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002501_01_01.mzML;dbgi_002501;Solanum pyracanthos Lam.;NA;Positive;JBUF;jbuf;Solanum pyracanthos;Solanum pyracanthos Lam.;species;NA;0;jbuf;46,792540;7,1565650;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002509_01_01.mzML;dbgi_002509;Nicotiana langsdorffii Schrank;NA;Positive;JBUF;jbuf;Nicotiana langsdorffii;Nicotiana langsdorffii Schrank;species;NA;0;jbuf;46,792534;7,1567035;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002519_01_01.mzML;dbgi_002519;Galium sylvaticum L.;NA;Positive;JBUF;jbuf;Galium sylvaticum;Galium sylvaticum L.;species;NA;0;jbuf;46,792520;7,1569295;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002521_01_01.mzML;dbgi_002521;Datura innoxia Mill.;NA;Positive;JBUF;jbuf;Datura innoxia;Datura innoxia Mill.;species;NA;0;jbuf;46,792545;7,1566230;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002523_01_01.mzML;dbgi_002523;Solanum dulcamara L.;NA;Positive;JBUF;jbuf;Solanum dulcamara;Solanum dulcamara L.;species;NA;0;jbuf;46,792530;7,1565430;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002532_01_01.mzML;dbgi_002532;Myosotis arvensis (L.) Hill;NA;Positive;JBUF;jbuf;Myosotis arvensis;Myosotis arvensis (L.) Hill;species;NA;0;jbuf;46,792570;7,1566460;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002536_01_01.mzML;dbgi_002536;Veronica prostrata subsp. prostrata;NA;Positive;JBUF;jbuf;Veronica prostrata subsp. prostrata;Veronica prostrata subsp. prostrata;subspecies;NA;0;jbuf;46,792550;7,1568340;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002542_01_01.mzML;dbgi_002542;Asyneuma canescens (Waldst. & Kit.) Griseb. & Schenk;NA;Positive;JBUF;jbuf;Asyneuma canescens;Asyneuma canescens (Waldst. & Kit.) Griseb. & Schenk;species;NA;0;jbuf;46,792618;7,1570363;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_002543_01_01.mzML;dbgi_002543;Campanula latifolia L.;NA;Positive;JBUF;jbuf;Campanula latifolia;Campanula latifolia L.;species;NA;0;jbuf;46,792606;7,1570597;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
