filename;sample_id;species;NCBITaxonomy_ID;Ionization_mode;garden;dataset;taxon_scientific_name;taxon_accepted_name;taxon_rank;observation_subject;is_wild;qfield_project;latitude;longitude;collection_date;instrument_model;extraction_method;sample_type
250414_ML_Metabo_DDA_sample_729_nr8.mzML;dbgi_003592;Eupatorium cannabinum L.;NA;Positive;JBN;jbn;Eupatorium cannabinum;Eupatorium cannabinum L.;species;Leaf;0;jbn;46,999756;6,9346485;20240823143514;LCMS – Synapt XS;MeOH/H2O;plant specimen
250414_ML_Metabo_DDA_sample_730_nr8.mzML;dbgi_003665;Campanula poscharskyana Degen;NA;Positive;JBN;jbn;Campanula poscharskyana;Campanula poscharskyana Degen;species;Leaf;0;jbn;46,999523;6,9339337;20240826105023;LCMS – Synapt XS;MeOH/H2O;plant specimen
250414_ML_Metabo_DDA_sample_731_nr8.mzML;dbgi_003782;Aralia elata (Miq.) Seem.;NA;Positive;JBN;jbn;Aralia elata;Aralia elata (Miq.) Seem.;species;Leaf;0;jbn;46,999683;6,9346743;20240823144712;LCMS – Synapt XS;MeOH/H2O;plant specimen
250414_ML_Metabo_DDA_sample_732_nr8.mzML;dbgi_001957;Filipendula ulmaria (L.) Maxim.;NA;Positive;JBN;jbn;Filipendula ulmaria;Filipendula ulmaria (L.) Maxim.;species;Leaf;0;jbn;47,000214;6,9350057;20240708122332;LCMS – Synapt XS;MeOH/H2O;plant specimen
250414_ML_Metabo_DDA_sample_733_nr8.mzML;dbgi_003676;Ehretia dicksonii Hance;NA;Positive;JBN;jbn;Ehretia dicksonii;Ehretia dicksonii Hance;species;Leaf;0;jbn;46,999714;6,9347320;20240823145958;LCMS – Synapt XS;MeOH/H2O;plant specimen
250414_ML_Metabo_DDA_sample_735_nr8.mzML;dbgi_002214;Alchemilla mollis (Buser) Rothm.;NA;Positive;JBN;jbn;Alchemilla mollis;Alchemilla mollis (Buser) Rothm.;species;Leaf;0;jbn;46,999554;6,9338484;20240813143415;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_736_nr8.mzML;dbgi_003761;Dipelta floribunda Maxim.;NA;Positive;JBN;jbn;Dipelta floribunda;Dipelta floribunda Maxim.;species;Leaf;0;jbn;46,999660;6,9346100;20240823152304;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_737_nr8.mzML;dbgi_003713;Petrophytum caespitosum (Nutt.) Rydb.;NA;Positive;JBN;jbn;Petrophytum caespitosum;Petrophytum caespitosum (Nutt.) Rydb.;species;Leaf;1;jbn;46,999657;6,9341620;20240826131148;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_738_nr8.mzML;dbgi_002021;Nicotiana tabacum L.;NA;Positive;JBN;jbn;Nicotiana tabacum;Nicotiana tabacum L.;species;Leaf;0;jbn;46,999570;6,9337870;20240813142453;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_739_nr8.mzML;dbgi_002150;Atadinus pumilus subsp. pumilus;NA;Positive;JBN;jbn;Atadinus pumilus subsp. pumilus;Atadinus pumilus subsp. pumilus;subspecies;Leaf;0;jbn;47,000050;6,9346523;20240722101224;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_740_nr8.mzML;dbgi_003716;Punica granatum L.;NA;Positive;JBN;jbn;Punica granatum;Punica granatum L.;species;Leaf;0;jbn;46,999645;6,9339914;20240826114912;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_741_nr8.mzML;dbgi_003569;Glycyrrhiza glabra L.;NA;Positive;JBN;jbn;Glycyrrhiza glabra;Glycyrrhiza glabra L.;species;Leaf;1;jbn;46,999590;6,9342265;20240826142621;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_742_nr8.mzML;dbgi_003938;Echinops ritro L.;NA;Positive;JBN;jbn;Echinops ritro;Echinops ritro L.;species;Leaf;0;jbn;46,999540;6,9339128;20240826110126;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_743_nr8.mzML;dbgi_002119;Convallaria majalis L.;NA;Positive;JBN;jbn;Convallaria majalis;Convallaria majalis L.;species;Leaf;0;jbn;46,999523;6,9338220;20240813141915;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_744_nr8.mzML;dbgi_003447;Alyssum wulfenianum Bernh.;NA;Positive;JBN;jbn;Alyssum wulfenianum;Alyssum wulfenianum Bernh.;species;Leaf;0;jbn;47,000120;6,9347630;20240726163336;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_745_nr8.mzML;dbgi_003795;Patzkea paniculata (L.) G.H.Loos;NA;Positive;JBN;jbn;Patzkea paniculata;Patzkea paniculata (L.) G.H.Loos;species;Leaf;1;jbn;46,999535;6,9344206;20240823160824;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_746_nr8.mzML;dbgi_003684;Triosteum pinnatifidum Maxim.;NA;Positive;JBN;jbn;Triosteum pinnatifidum;Triosteum pinnatifidum Maxim.;species;Leaf;0;jbn;46,999596;6,9345690;20240823152845;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_747_nr8.mzML;dbgi_002075;Hemerocallis lilioasphodelus L.;NA;Positive;JBN;jbn;Hemerocallis lilioasphodelus;Hemerocallis lilioasphodelus L.;species;Leaf;0;jbn;47,000100;6,9348400;20240712102543;LCMS – Synapt XS;MeOH/H2O;plant specimen
