"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10563,"Southern South America",-65.381907,-34.697447,"Temperate Grasslands, Savannas & Shrublands",14.19024,715.79811,"Acaena magellanica"
10670,"Falkland Is.",-59.372346,-51.739824,"Temperate Grasslands, Savannas & Shrublands",6.41358,543.56319,"Acaena magellanica"
10763,"Marion-Prince Edward Is.",37.760157,-46.859559,"Tundra",4.14349,2424.97579,"Acaena magellanica"
11895,"Nuble, Chile",-71.927593,-36.622174,"Temperate Broadleaf & Mixed Forests",11.21632,1151.17468,"Acaena magellanica"
12051,"Region de Tarapaca, Chile",-69.406359,-20.13889,"Deserts & Xeric Shrublands",11.88552,47.69339,"Acaena magellanica"
12052,"Region de los Lagos, Chile",-72.898155,-42.036202,"Temperate Broadleaf & Mixed Forests",8.75457,1909.68204,"Acaena magellanica"
12053,"Region de los Rios, Chile",-72.573935,-40.066766,"Temperate Broadleaf & Mixed Forests",9.74835,1947.58677,"Acaena magellanica"
12054,"Region de Arica y Parinacota, Chile",-69.622148,-18.430458,"Montane Grasslands & Shrublands",8.79445,171.36834,"Acaena magellanica"
12106,"Bio-Bio excl. Nuble, Chile",-72.431147,-37.48525,"Temperate Broadleaf & Mixed Forests",10.92893,1398.39304,"Acaena magellanica"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acaena magellanica"
12283,"West Sub-Antarctic Islands",-58.622208,-60.212087,"Rock and Ice",-1.67157,631.54675,"Acaena magellanica"
152,"West Falkland",-60.111132,-51.750925,"Temperate Grasslands, Savannas & Shrublands",6.4766,512.77554,"Acaena ovalifolia"
153,"East Falkland",-58.75274,-51.740234,"Temperate Grasslands, Savannas & Shrublands",6.36915,568.05602,"Acaena ovalifolia"
10011,"Región de Coquimbo, Chile",-70.869666,-30.60707,"Mediterranean Forests, Woodlands & Scrub",9.50298,143.39193,"Acaena ovalifolia"
10106,"Province of Buenos Aires, Argentina",-60.565978,-36.683527,"Temperate Grasslands, Savannas & Shrublands",15.20353,857.70849,"Acaena ovalifolia"
10107,"Province of Catamarca, Argentina",-66.952444,-27.332183,"Montane Grasslands & Shrublands",11.27693,224.79936,"Acaena ovalifolia"
10109,"Province of Chubut, Argentina",-68.523217,-43.789626,"Temperate Grasslands, Savannas & Shrublands",10.17411,270.15421,"Acaena ovalifolia"
10115,"Province of Jujuy, Argentina",-65.762191,-23.317464,"Montane Grasslands & Shrublands",10.84815,323.45389,"Acaena ovalifolia"
10120,"Province of Neuquén, Argentina",-70.117979,-38.635625,"Temperate Grasslands, Savannas & Shrublands",10.01265,483.52187,"Acaena ovalifolia"
10121,"Province of Río Negro, Argentina",-67.229001,-40.406811,"Temperate Grasslands, Savannas & Shrublands",12.22086,290.14577,"Acaena ovalifolia"
10122,"Province of Salta, Argentina",-64.819941,-24.29609,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.90733,560.98028,"Acaena ovalifolia"
10123,"Province of Santa Cruz, Argentina",-69.941441,-48.812707,"Temperate Grasslands, Savannas & Shrublands",8.12664,247.71471,"Acaena ovalifolia"
10128,"Province of Tierra del Fuego, Argentina",-67.401351,-54.332021,"Temperate Broadleaf & Mixed Forests",4.9626,475.4672,"Acaena ovalifolia"
10129,"Province of Tucamán, Argentina",-65.365698,-26.943792,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17.98941,684.92036,"Acaena ovalifolia"
10137,"Región del Libertador General Bernardo O'Higgins, Chile",-71.065066,-34.429129,"Mediterranean Forests, Woodlands & Scrub",12.35973,668.49925,"Acaena ovalifolia"
10138,"Región del Maule, Chile",-71.416519,-35.576152,"Temperate Broadleaf & Mixed Forests",10.81338,857.8813,"Acaena ovalifolia"
10142,"Región Aisén del General Carlos Ibáñez del Campo, Chile",-73.260413,-46.419656,"Temperate Broadleaf & Mixed Forests",5.87897,1813.34791,"Acaena ovalifolia"
10143,"Región de Magallanes y de la Antártica Chilena, Chile",-71.900464,-52.479004,"Temperate Broadleaf & Mixed Forests",5.01213,1584.32127,"Acaena ovalifolia"
10144,"Región Metropolitana de Santiago, Chile",-70.654034,-33.585428,"Mediterranean Forests, Woodlands & Scrub",9.82966,465.96336,"Acaena ovalifolia"
10337,"Region del Beni, Bolivia",-65.15385,-13.856612,"Tropical & Subtropical Grasslands, Savannas & Shrublands",26.00123,1740.44446,"Acaena ovalifolia"
10338,"Bolivia",-64.656757,-16.713338,"Tropical & Subtropical Moist Broadleaf Forests",20.86361,1157.31951,"Acaena ovalifolia"
10339,"Region de Chuquisaca, Bolivia",-64.29024,-20.038661,"Tropical & Subtropical Dry Broadleaf Forests",18.68702,623.58551,"Acaena ovalifolia"
10340,"Region de Cochabamba, Bolivia",-65.632917,-17.232165,"Tropical & Subtropical Moist Broadleaf Forests",18.27144,1691.55413,"Acaena ovalifolia"
10346,"Region de Tarija, Bolivia",-63.883076,-21.592586,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.61632,720.58255,"Acaena ovalifolia"
10348,"Ecuador",-78.772805,-1.42844,"Tropical & Subtropical Moist Broadleaf Forests",20.877,1986.02324,"Acaena ovalifolia"
10349,"Department of Azuay, Ecuador",-79.14646,-3.013809,"Tropical & Subtropical Moist Broadleaf Forests",12.9496,894.15289,"Acaena ovalifolia"
10350,"Department of Bolívar, Ecuador",-79.102318,-1.590536,"Tropical & Subtropical Moist Broadleaf Forests",15.58289,1255.03634,"Acaena ovalifolia"
10351,"Department of Cañar, Ecuador",-79.024438,-2.529456,"Tropical & Subtropical Moist Broadleaf Forests",13.90164,1099.06573,"Acaena ovalifolia"
10352,"Department of Carchi, Ecuador",-78.048646,0.740405,"Tropical & Subtropical Moist Broadleaf Forests",14.23784,1406.10909,"Acaena ovalifolia"
10353,"Department of Chimborazo, Ecuador",-78.715937,-1.968477,"Tropical & Subtropical Moist Broadleaf Forests",9.70327,870.67256,"Acaena ovalifolia"
10359,"Department of Imbabura, Ecuador",-78.355858,0.405882,"Tropical & Subtropical Moist Broadleaf Forests",14.61071,1189.00258,"Acaena ovalifolia"
10360,"Department of Loja, Ecuador",-79.654551,-4.08874,"Tropical & Subtropical Moist Broadleaf Forests",19.59761,854.63108,"Acaena ovalifolia"
10364,"Department of Napo, Ecuador",-76.904372,-0.732701,"Tropical & Subtropical Moist Broadleaf Forests",21.59286,3043.61092,"Acaena ovalifolia"
10366,"Department of Pichincha, Ecuador",-78.781099,-0.153038,"Tropical & Subtropical Moist Broadleaf Forests",16.90715,1806.23981,"Acaena ovalifolia"
10368,"Department of Tungurahua, Ecuador",-78.504716,-1.290867,"Tropical & Subtropical Moist Broadleaf Forests",10.38118,990.41992,"Acaena ovalifolia"
10406,"Peru",-74.356518,-9.173383,"Tropical & Subtropical Moist Broadleaf Forests",19.39205,1586.88659,"Acaena ovalifolia"
10487,"Department of Boyacá, Colombia",-73.121763,5.759532,"Tropical & Subtropical Moist Broadleaf Forests",15.43706,1773.04661,"Acaena ovalifolia"
10488,"Department of Caldas, Colombia",-75.338999,5.332028,"Tropical & Subtropical Moist Broadleaf Forests",19.31007,2261.94369,"Acaena ovalifolia"
10495,"Department of Cundinamarca, Colombia",-74.125722,4.76467,"Tropical & Subtropical Moist Broadleaf Forests",17.62216,1883.98003,"Acaena ovalifolia"
10502,"Department of Nariño, Colombia",-77.867388,1.562548,"Tropical & Subtropical Moist Broadleaf Forests",20.65796,2928.68871,"Acaena ovalifolia"
10505,"Department of Quindío, Colombia",-75.690183,4.478234,"Tropical & Subtropical Moist Broadleaf Forests",17.81045,1870.19315,"Acaena ovalifolia"
10506,"Department of Risaralda, Colombia",-75.921449,5.068082,"Tropical & Subtropical Moist Broadleaf Forests",18.41611,2433.51019,"Acaena ovalifolia"
10509,"Department of Tolima, Colombia",-75.266171,4.044152,"Tropical & Subtropical Moist Broadleaf Forests",19.49856,1776.14582,"Acaena ovalifolia"
10513,"Colombia",-73.086149,3.903453,"Tropical & Subtropical Moist Broadleaf Forests",24.49527,2635.56219,"Acaena ovalifolia"
10563,"Southern South America",-65.381907,-34.697447,"Temperate Grasslands, Savannas & Shrublands",14.19024,715.79811,"Acaena ovalifolia"
10670,"Falkland Is.",-59.372346,-51.739824,"Temperate Grasslands, Savannas & Shrublands",6.41358,543.56319,"Acaena ovalifolia"
11895,"Nuble, Chile",-71.927593,-36.622174,"Temperate Broadleaf & Mixed Forests",11.21632,1151.17468,"Acaena ovalifolia"
12052,"Region de los Lagos, Chile",-72.898155,-42.036202,"Temperate Broadleaf & Mixed Forests",8.75457,1909.68204,"Acaena ovalifolia"
12053,"Region de los Rios, Chile",-72.573935,-40.066766,"Temperate Broadleaf & Mixed Forests",9.74835,1947.58677,"Acaena ovalifolia"
12106,"Bio-Bio excl. Nuble, Chile",-72.431147,-37.48525,"Temperate Broadleaf & Mixed Forests",10.92893,1398.39304,"Acaena ovalifolia"
12283,"West Sub-Antarctic Islands",-58.622208,-60.212087,"Rock and Ice",-1.67157,631.54675,"Acaena ovalifolia"
10015,"Region Rhône-Alpes, France",5.343218,45.439753,"Temperate Broadleaf & Mixed Forests",8.97614,1064.59497,"Achillea odorata"
10071,"Spain mainland",-3.553951,40.390648,"Mediterranean Forests, Woodlands & Scrub",13.1964,632.36368,"Achillea odorata"
10574,"Algeria",2.632362,28.163355,"Deserts & Xeric Shrublands",23.15381,79.65991,"Achillea odorata"
10675,"France incl. Channel Islands and Monaco excl. Corse",2.44973,46.632353,"Temperate Broadleaf & Mixed Forests",10.70229,849.89313,"Achillea odorata"
10761,"Morocco",-6.317546,31.884132,"Mediterranean Forests, Woodlands & Scrub",17.14373,296.4395,"Achillea odorata"
10930,"Yugoslavia",18.724339,44.160241,"Temperate Broadleaf & Mixed Forests",9.82514,907.19853,"Achillea odorata"
10961,"Croatia",16.390939,45.0272,"Temperate Broadleaf & Mixed Forests",11.02759,976.94231,"Achillea odorata"
10978,"Sierra Nevada ",-3.136268,37.070204,"Mediterranean Forests, Woodlands & Scrub",9.3692,663.32221,"Achillea odorata"
11434,"Andorra",1.576058,42.544171,"Temperate Broadleaf & Mixed Forests",4.47476,1307.7407,"Achillea odorata"
12066,"France excl. Corse",2.456035,46.625369,"Temperate Broadleaf & Mixed Forests",10.70401,849.96439,"Achillea odorata"
12071,"Spain mainland incl. Gibraltar and Andorra",-3.549384,40.39244,"Mediterranean Forests, Woodlands & Scrub",13.1884,633.0367,"Achillea odorata"
10071,"Spain mainland",-3.553951,40.390648,"Mediterranean Forests, Woodlands & Scrub",13.1964,632.36368,"Achillea pyrenaica"
10104,"Haute-Garonne, France",1.162563,43.366501,"Temperate Broadleaf & Mixed Forests",12.30159,879.9702,"Achillea pyrenaica"
10675,"France incl. Channel Islands and Monaco excl. Corse",2.44973,46.632353,"Temperate Broadleaf & Mixed Forests",10.70229,849.89313,"Achillea pyrenaica"
11434,"Andorra",1.576058,42.544171,"Temperate Broadleaf & Mixed Forests",4.47476,1307.7407,"Achillea pyrenaica"
12066,"France excl. Corse",2.456035,46.625369,"Temperate Broadleaf & Mixed Forests",10.70401,849.96439,"Achillea pyrenaica"
12071,"Spain mainland incl. Gibraltar and Andorra",-3.549384,40.39244,"Mediterranean Forests, Woodlands & Scrub",13.1884,633.0367,"Achillea pyrenaica"
10428,"Korea Peninsula",127.437918,38.483722,"Temperate Broadleaf & Mixed Forests",8.47623,1103.65898,"Actaea heracleifolia"
10453,"Liaoning",122.607655,41.298915,"Temperate Broadleaf & Mixed Forests",7.83247,667.6288,"Actaea heracleifolia"
10454,"Jilin",126.194004,43.664405,"Temperate Broadleaf & Mixed Forests",4.42852,617.54047,"Actaea heracleifolia"
10455,"Heilongjiang",127.78236,47.841542,"Temperate Broadleaf & Mixed Forests",1.33377,545.45065,"Actaea heracleifolia"
10470,"Sichuan",102.709964,30.615754,"Montane Grasslands & Shrublands",7.44414,856.53643,"Actaea heracleifolia"
