species;mean_wc2.0_bio_30s_01;mean_wc2.0_bio_30s_12;mean_MODCF_meanannual;mean_pet_he_yr;mean_ai_yr;mean_mn30_grd_slope;mean_mn30_grd;mean_3DGlobalVeg_L3C;mean_CHELSA_NFD
Abelia mosanensis;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Abeliophyllum distichum;10.1666566666667;1340.77897333333;63.4530533333333;936.35131;1.50099333333333;0.0701066666666667;364.38717;18.0544633333333;95.3519566666667
Abelmoschus esculentus;19.57965;1357.11715367925;58.9971023113208;1334.73898571429;1.022551;0.0482722169811321;514.476977735849;10.1708131603774;35.4591224528302
Abelmoschus manihot;21.33536171875;1743.11169039062;62.48516796875;1370.89587951613;1.26750322580645;0.053878203125;558.429011484375;10.320691171875;22.1507073809524
Abelmoschus moschatus;23.482956373057;1876.32938782383;65.5194281443299;1445.56013068421;1.39074442105263;0.0498869072164948;374.309230670103;11.7787280927835;5.24869979166667
Abies alba;9.02709974789916;867.733755630252;64.0986613445378;783.032833361345;1.18890176470588;0.0701596638655462;517.78295210084;11.2514531092437;87.3304946218487
Abies koreana;9.08926818181818;1169.04920363636;67.7178572727273;802.964171818182;1.41433727272727;0.0558627272727273;398.336070909091;14.3143572727273;83.3556036363636
Abies nordmanniana;8.39564784615385;860.064208307692;64.1167649230769;795.116811846154;1.12140876923077;0.0640047692307692;554.823046307692;10.2701289230769;99.2230736923077
Abies numidica;13.3787475;905.1514425;55.291295;1087.326695;1.090555;0.0590625;521.816475;8.918275;45.297735
Abies pinsapo;12.2164188888889;916.162178333333;56.6902777777778;1000.63735722222;0.985172222222222;0.0851344444444444;849.849525555556;11.1239222222222;59.2847966666667
Abies procera;7.65810178571429;1051.74131107143;67.3502103571429;709.462122857143;1.59388428571429;0.0527907142857143;464.372712857143;9.81206142857143;84.1781082142857
Abroma augustum;23.8612633333333;2108.02702611111;68.8017719444444;1501.10912472222;1.429485;0.0479630555555556;376.220874722222;14.9166208333333;4.97997666666667
Abrus precatorius;24.163478503937;1600.51489204724;58.8051622193878;1485.22293797297;1.13134081081081;0.0421777551020408;334.896303622449;8.75375153061225;0.946054315245478
Abrus precatorius;24.163478503937;1600.51489204724;58.8051622193878;1485.22293797297;1.13134081081081;0.0421777551020408;334.896303622449;8.75375153061225;0.946054315245478
Abutilon grandifolium;19.5618494845361;1073.79339742268;52.7648234693878;1367.009115625;0.7903190625;0.064505612244898;585.265840204082;8.46144867346939;11.1152780612245
Abutilon theophrasti;11.7001624137931;806.258767827586;56.4021160824742;1027.796218;0.842641344827586;0.0474101030927835;539.487693058419;9.23558164948454;79.6914894158076
Acacia karroo;18.7245633870968;764.283904677419;46.0482730645161;1467.89090451613;0.565221290322581;0.0458777419354839;898.663780645161;6.73195;11.7075429032258
Acacia senegal;23.3341873684211;936.325643333333;50.3272835087719;1721.3219722807;0.61093701754386;0.0269673684210526;648.327382280702;7.85207070175439;1.34592894736842
Acaena buchananii;10.397215;1710.62726;65.336845;867.642395;1.98027;0.094825;493.44118;11.25067;29.236875
Acaena ovina;16.1729862068966;659.677885517241;47.7325520689655;1337.31359275862;0.559001034482759;0.0271506896551724;338.658181724138;8.34491172413793;1.2745275862069
Acaena microphylla;9.03680666666667;1484.01845166667;67.4113733333333;789.012291666667;1.822425;0.0782983333333333;404.794781666667;13.19721;49.0451883333333
Acaena ovina;16.1729862068966;659.677885517241;47.7325520689655;1337.31359275862;0.559001034482759;0.0271506896551724;338.658181724138;8.34491172413793;1.2745275862069
Acaena pinnatifida;10.0242551724138;808.745199655172;49.0627479310345;1050.18749206897;0.942387586206897;0.0782548275862069;826.890102758621;6.84503068965517;66.0269024137931
Acalypha hispida;23.5118763063063;1861.51885558559;65.7047183035714;1414.40292311927;1.36340788990826;0.0511520535714286;391.71828375;10.922848125;5.92288927927928
Acantholimon armenum;10.275772;609.588782;50.3351;1023.781794;0.611422;0.086282;1285.24524;9.768522;109.821324
Acantholimon armenum;10.275772;609.588782;50.3351;1023.781794;0.611422;0.086282;1285.24524;9.768522;109.821324
Acantholimon glumaceum;8.58779;563.157902;54.25267;969.671094;0.603726;0.088098;1401.02614;11.461346;131.798528
Acantholimon glumaceum;8.58779;563.157902;54.25267;969.671094;0.603726;0.088098;1401.02614;11.461346;131.798528
Acantholimon olivieri;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Acantholimon ulicinum;13.6068358333333;657.14217;46.1881533333333;1083.394375;0.676188333333333;0.0814466666666667;701.579103333333;8.1339775;50.40794
Acantholimon ulicinum;13.6068358333333;657.14217;46.1881533333333;1083.394375;0.676188333333333;0.0814466666666667;701.579103333333;8.1339775;50.40794
Acantholimon ulicinum;13.6068358333333;657.14217;46.1881533333333;1083.394375;0.676188333333333;0.0814466666666667;701.579103333333;8.1339775;50.40794
Acantholimon venustum;10.633445;594.330195;47.772555;1064.9716;0.5703;0.078335;1156.07459;9.724255;100.40775
Acanthus hungaricus;10.9925866666667;761.039044666667;58.4352246666667;961.33811;0.829526666666667;0.068784;561.350128;10.351046;74.5866933333333
Acanthus montanus;24.1455703333333;1507.261002;66.8478416666667;1662.91356833333;0.966873666666667;0.0316726666666667;564.134477;15.4709853333333;0.0166446666666667
Acanthus spinosus;13.6203194117647;806.503319117647;53.7671161764706;998.431391764706;0.879004117647059;0.0817217647058824;466.307740882353;7.84989852941176;31.1735567647059
Acer buergerianum;15.3185944827586;1251.46445068966;64.3502851724138;1118.85161689655;1.13155137931034;0.0618755172413793;630.769732758621;10.4199003448276;48.1532627586207
